 	cet	homme	est	un	brigand	</S>
a23	0.336361	0.182348	0.140807	0.119484	0.121978	0.0990213
a85	0.415807	0.203817	0.13036	0.0966029	0.0796428	0.0737695
a87	0.376801	0.179415	0.0891717	0.0623993	0.103415	0.188798
a23	0.319222	0.229303	0.164625	0.108517	0.0859566	0.0923762
a87	0.27414	0.137352	0.0985055	0.0825328	0.148508	0.258962
a23	0.21289	0.159756	0.146463	0.12999	0.156815	0.194085
a38	0.238342	0.120716	0.08806	0.0798383	0.165007	0.308037
a20	0.47403	0.244302	0.113641	0.0648992	0.0539775	0.0491503
a94	0.282618	0.259763	0.220274	0.133992	0.0654545	0.0378983
a76	0.302294	0.290946	0.22729	0.112949	0.0426103	0.0239101
a94	0.275552	0.267313	0.235837	0.143166	0.0538941	0.0242379
a20	0.249341	0.229084	0.223506	0.181423	0.0805739	0.0360719
a30	0.251913	0.225468	0.229853	0.173648	0.0799234	0.0391948
a14	0.184489	0.163094	0.19276	0.216888	0.156885	0.0858833
a30	0.22264	0.185513	0.17718	0.160715	0.150115	0.103838
a26	0.104595	0.10037	0.130593	0.179396	0.249124	0.235921
a35	0.0418106	0.0455053	0.0834393	0.173591	0.311681	0.343973
a30	0.0896733	0.07248	0.0979038	0.159744	0.262845	0.317354
a2	0.0698958	0.0583297	0.0867264	0.148877	0.258943	0.377228
a76	0.00932218	0.00923379	0.0194038	0.0712923	0.311674	0.579074
a35	0.0095187	0.00726367	0.0136076	0.0470509	0.256342	0.666217
a32	0.0094438	0.00520638	0.00827844	0.0340651	0.197405	0.745602
a26	0.00774562	0.00465734	0.00719202	0.0282454	0.170933	0.781227
a24	0.00982702	0.00630356	0.00934537	0.0315702	0.174591	0.768362
a25	0.00883062	0.00573976	0.00848102	0.0286978	0.166916	0.781335
a38	0.00605743	0.00323221	0.00497711	0.0224624	0.173728	0.789543
a94	0.0039512	0.0019153	0.00280292	0.0137697	0.160514	0.817047
a66	0.00321876	0.00167025	0.00272473	0.0127393	0.143059	0.836588
a54	0.00727754	0.00394229	0.00577371	0.0198359	0.160712	0.802458
a73	0.00380946	0.00241652	0.00496764	0.0230591	0.183906	0.781842
a57	0.00585837	0.00275188	0.00450926	0.0173547	0.148091	0.821435
a87	0.0450051	0.0246615	0.0287234	0.0481463	0.193424	0.660039
</S>	0.0384776	0.0251168	0.0356928	0.0729247	0.258798	0.56899
