 	cette	femme	stérile	désire	ardemment	avoir	un	enfant	</S>
a66	0.256668	0.159415	0.165937	0.157742	0.0827176	0.0558521	0.0538373	0.0388259	0.0290049
a87	0.250536	0.138015	0.136189	0.195919	0.1274	0.0919998	0.0396603	0.0122945	0.00798604
a23	0.19025	0.205556	0.197441	0.230784	0.1451	0.0169762	0.00718578	0.00358259	0.00312403
a93	0.208905	0.199366	0.162663	0.261673	0.14173	0.0135733	0.00404126	0.00309773	0.00495081
a62	0.214601	0.11993	0.167158	0.345075	0.129005	0.01318	0.00489635	0.00298602	0.00316813
a21	0.159614	0.185816	0.217015	0.285416	0.0991319	0.0316296	0.0114089	0.00569413	0.00427561
a56	0.122967	0.14923	0.166086	0.245058	0.198872	0.0738362	0.0212334	0.012357	0.0103615
a34	0.0963555	0.147213	0.177264	0.237895	0.253123	0.0528197	0.0176545	0.0102577	0.00741708
a25	0.092206	0.115296	0.139698	0.221522	0.238222	0.1008	0.0446487	0.0283721	0.0192348
a90	0.0626802	0.0780998	0.0770549	0.0833635	0.109343	0.196692	0.170119	0.122335	0.100313
a25	0.0523419	0.0424521	0.035436	0.0216594	0.0305023	0.115602	0.189116	0.272851	0.24004
a85	0.0250561	0.017182	0.0129592	0.0070165	0.00770078	0.0545741	0.157051	0.327922	0.390538
a5	0.00553355	0.00304007	0.00237821	0.00129209	0.00161432	0.0211868	0.0876136	0.314586	0.562756
a21	0.00377156	0.00210155	0.00162079	0.00163457	0.00152978	0.0139019	0.0614025	0.250548	0.663489
a85	0.00260072	0.00185269	0.00173519	0.00184589	0.00207362	0.0214899	0.0930778	0.284231	0.591093
a6	0.000568053	0.000472859	0.000449681	0.000224019	0.000343561	0.00299399	0.0270821	0.226528	0.741338
a92	0.000438511	0.000309545	0.000315618	0.000321689	0.000690343	0.00471316	0.0259186	0.192397	0.774895
a7	0.0005973	0.000483758	0.000422378	0.000316999	0.000716055	0.00444368	0.0259985	0.197851	0.76917
a26	0.00260188	0.00208597	0.0018579	0.00155241	0.00386682	0.0135485	0.0450544	0.217723	0.71171
a57	0.0491722	0.0415585	0.0372739	0.0508662	0.0303317	0.0433906	0.0871021	0.236235	0.42407
a87	0.19626	0.153442	0.130421	0.1848	0.104221	0.0368597	0.0410943	0.062327	0.0905751
a23	0.154406	0.170708	0.149349	0.225288	0.190611	0.0435122	0.0258495	0.0214582	0.0188186
a87	0.0622436	0.0736108	0.0549003	0.0835285	0.0481205	0.0208079	0.0511983	0.204164	0.401426
a23	0.0167906	0.0200263	0.0177371	0.0272084	0.0232359	0.0220635	0.0737615	0.271002	0.528175
</S>	0.0216136	0.032879	0.0271898	0.0464184	0.0420396	0.048549	0.109176	0.268596	0.403538
