 	le	voleur	s'	éclipse	sur	la	pointe	des	pieds	</S>
a66	0.272836	0.218056	0.16453	0.09955	0.0732092	0.059268	0.0483949	0.024878	0.021937	0.0173404
a87	0.586435	0.24856	0.0926324	0.00985032	0.00834625	0.00939913	0.0135681	0.00945482	0.01119	0.0105641
a23	0.508251	0.27206	0.142651	0.0234952	0.0107658	0.00716802	0.00791194	0.00621571	0.00893642	0.0125449
a13	0.456765	0.234943	0.118436	0.0286229	0.0244424	0.0216041	0.0181831	0.0184618	0.0327311	0.0458109
a57	0.396692	0.170335	0.112262	0.0747675	0.0627277	0.0361354	0.0260471	0.0236342	0.035924	0.0614748
a30	0.305688	0.179225	0.132767	0.125844	0.0743306	0.0450954	0.0354843	0.027646	0.0317628	0.0421576
a13	0.280041	0.184931	0.144161	0.14094	0.0753636	0.0426361	0.0354932	0.0266623	0.0312176	0.0385543
a70	0.121288	0.143057	0.15302	0.183016	0.110495	0.0698292	0.0620055	0.0460374	0.0534076	0.0578432
a4	0.0724649	0.115198	0.147674	0.203504	0.126887	0.0835714	0.0692053	0.0546419	0.0602671	0.0665864
a57	0.0504903	0.108872	0.161034	0.264727	0.140623	0.0729692	0.052981	0.0430602	0.0507728	0.0544705
a13	0.0382882	0.0781648	0.130247	0.256733	0.132518	0.0701764	0.0549421	0.06019	0.0771575	0.101583
a44	0.0325883	0.0544059	0.0994449	0.248178	0.133573	0.0720755	0.0526382	0.0640728	0.0918583	0.151164
a79	0.0174808	0.0257621	0.0535259	0.16938	0.136343	0.0824293	0.0645032	0.0832367	0.13291	0.234429
a44	0.0155191	0.0248151	0.0585119	0.18805	0.178427	0.107322	0.0796051	0.076588	0.107312	0.163849
a96	0.00503437	0.0070521	0.0170881	0.0771586	0.114161	0.0867834	0.0739693	0.0981393	0.179986	0.340628
a5	0.00213691	0.00267653	0.00679784	0.0389903	0.0775614	0.0727473	0.0659063	0.103279	0.208942	0.420962
a36	0.00140087	0.00174461	0.00445768	0.026556	0.0642047	0.0756516	0.0702793	0.120232	0.23102	0.404453
a18	0.0010939	0.000875385	0.00165458	0.00803723	0.0271078	0.0512898	0.053987	0.122413	0.236582	0.496959
a66	0.00155775	0.00108708	0.00191595	0.00480856	0.0202774	0.0441797	0.047621	0.127201	0.240171	0.511181
a18	0.00124368	0.000795317	0.00127062	0.0022501	0.00771687	0.0217314	0.027699	0.113453	0.244102	0.579737
a36	0.00354717	0.00181972	0.00257198	0.00397557	0.0103033	0.0226848	0.0253481	0.0952278	0.229957	0.604564
a27	0.00475278	0.0023082	0.00316149	0.00455968	0.0107004	0.020788	0.0249651	0.0969551	0.235791	0.596018
a82	0.114424	0.0397633	0.0318385	0.0218649	0.0296365	0.037125	0.0388818	0.0952095	0.205934	0.385323
a87	0.159278	0.068433	0.0460211	0.0205912	0.0240641	0.0331637	0.0393172	0.095744	0.199667	0.31372
a23	0.152046	0.0851788	0.0660671	0.0277638	0.0401352	0.0689633	0.0708214	0.109936	0.179058	0.200031
a87	0.133068	0.0683037	0.0526816	0.0376347	0.0535637	0.0723734	0.0783102	0.120939	0.18863	0.194496
a97	0.0531917	0.0299909	0.0264206	0.0290687	0.0590526	0.0960737	0.115147	0.162156	0.221907	0.206991
</S>	0.0654151	0.0454467	0.0414588	0.0324874	0.0629313	0.0821381	0.0992221	0.131722	0.214694	0.224485
