 	les	uns	sont	allés	à	la	pêche	et	les	autres	au	village	</S>
a23	0.11104	0.0540471	0.0424975	0.111647	0.104402	0.0934653	0.0773283	0.0634473	0.0647287	0.066445	0.0710879	0.075789	0.0640748
a54	0.0997461	0.0483158	0.0638275	0.135757	0.11481	0.101086	0.0859715	0.0719938	0.0539901	0.0521955	0.0535594	0.0536042	0.0651436
a73	0.377851	0.190177	0.126022	0.187643	0.0552259	0.0211861	0.01091	0.00702373	0.00511624	0.00455605	0.00417393	0.00476074	0.00535366
a94	0.407824	0.245189	0.114825	0.114447	0.0504538	0.0239331	0.0145988	0.00835064	0.00579091	0.00450471	0.00386163	0.00329681	0.0029246
a76	0.252357	0.263976	0.155685	0.131116	0.0674641	0.0376065	0.0250867	0.0146645	0.00974733	0.00832085	0.00934758	0.0113453	0.0132832
a73	0.142944	0.155306	0.142515	0.149083	0.0927967	0.0663413	0.0526355	0.0395181	0.0297078	0.0262628	0.028765	0.0349228	0.0392024
a94	0.167672	0.179607	0.136233	0.139983	0.0919576	0.0669985	0.0518375	0.0390138	0.027513	0.0218742	0.0224557	0.0259647	0.0288906
a98	0.145435	0.14764	0.152505	0.150912	0.098701	0.0735128	0.0548772	0.0377215	0.0245505	0.0208907	0.0235039	0.0309547	0.0387964
a71	0.0915037	0.0827686	0.129218	0.166552	0.129197	0.106171	0.0842072	0.0567254	0.0328807	0.0245438	0.0252706	0.0306065	0.0403564
a9	0.106741	0.0951956	0.147051	0.146846	0.125018	0.100933	0.077133	0.0522815	0.0276124	0.0208089	0.023764	0.0316911	0.0449237
a38	0.0830646	0.0551375	0.11583	0.141603	0.1443	0.128295	0.107335	0.0705546	0.0325573	0.0212952	0.0229374	0.0308683	0.0462223
a24	0.0795207	0.0517208	0.10154	0.132817	0.138647	0.128941	0.112264	0.0800429	0.0398978	0.0256792	0.0262757	0.0334258	0.0492285
a96	0.072384	0.0584029	0.100612	0.120986	0.130638	0.110258	0.0958187	0.077428	0.0476932	0.034117	0.035096	0.0464976	0.0700692
a90	0.091149	0.066312	0.0777533	0.104526	0.129647	0.124496	0.107186	0.0838378	0.0514034	0.0368302	0.0348764	0.0389885	0.0529945
a76	0.101145	0.0631734	0.0670671	0.0912353	0.104662	0.111574	0.104614	0.0843135	0.0611616	0.0483159	0.0463441	0.0512203	0.0651737
a69	0.0705683	0.0494999	0.0475982	0.0809027	0.0799758	0.100439	0.109306	0.100533	0.0729548	0.0594834	0.0587065	0.0702665	0.0997649
a58	0.0804311	0.0478777	0.058577	0.0868126	0.0792675	0.0987833	0.114219	0.105634	0.072992	0.0538731	0.0516477	0.061439	0.0884466
a84	0.068946	0.0423557	0.0620551	0.0535819	0.0580024	0.0911201	0.126373	0.121023	0.0877625	0.060575	0.0523765	0.0674764	0.108352
a87	0.0695139	0.0443358	0.0756815	0.057011	0.0547617	0.0749383	0.0969181	0.092754	0.0703263	0.0566301	0.0567988	0.0905512	0.159779
a23	0.0145212	0.0121086	0.0292777	0.0290951	0.0421777	0.0662276	0.0950117	0.0964135	0.103425	0.0956561	0.0895975	0.124101	0.202387
a40	0.00912886	0.00849773	0.0325111	0.0355461	0.0450506	0.0611328	0.0805429	0.0790734	0.105154	0.102804	0.0939362	0.134499	0.212123
a20	0.0335764	0.0267938	0.0549355	0.0791619	0.0767704	0.0657361	0.0524111	0.0449288	0.0342731	0.0383077	0.0568157	0.141065	0.295224
a32	0.0672781	0.0567686	0.119196	0.0964479	0.0978586	0.0888282	0.0814572	0.0667224	0.0512347	0.0452334	0.0448636	0.0682611	0.11585
