 	notre	maman	a	un	champ	d'	oseille	</S>
a66	0.265724	0.191801	0.155576	0.141795	0.114543	0.068962	0.0338384	0.0277612
a87	0.233257	0.153174	0.136664	0.144338	0.133572	0.0815638	0.0551337	0.0622988
a99	0.408608	0.262417	0.13579	0.0770322	0.0468701	0.0274313	0.0204529	0.0213985
a30	0.345108	0.249764	0.147663	0.0964361	0.0680003	0.0352553	0.0254656	0.0323084
a53	0.304417	0.211958	0.15312	0.115245	0.0821401	0.0523868	0.0387826	0.0419498
a15	0.298619	0.21945	0.136975	0.102852	0.0731972	0.056676	0.0521621	0.0600688
a79	0.22251	0.190121	0.139992	0.116274	0.0843015	0.085152	0.0885631	0.0730863
a44	0.218568	0.208996	0.164083	0.13707	0.095065	0.0754209	0.0613277	0.0394686
a43	0.169655	0.197919	0.196216	0.155246	0.0964753	0.0700914	0.0639105	0.0504868
a75	0.178478	0.189656	0.195978	0.157291	0.0961592	0.0674209	0.0611412	0.0538757
a5	0.0933519	0.110508	0.143693	0.15898	0.158521	0.146339	0.105131	0.0834749
a75	0.125292	0.133523	0.173863	0.17309	0.143432	0.0995369	0.0752253	0.0760373
a79	0.0447821	0.0634112	0.107202	0.134756	0.155677	0.170402	0.162637	0.161132
a7	0.0550421	0.0792461	0.133477	0.163471	0.167514	0.147727	0.127241	0.126283
a44	0.0373051	0.0567759	0.106381	0.149992	0.194425	0.167919	0.132143	0.155059
a98	0.0386631	0.0530947	0.101443	0.154596	0.200395	0.168083	0.132685	0.151039
a85	0.0144887	0.0215174	0.0462512	0.0786237	0.133698	0.176132	0.233516	0.295774
a47	0.0091375	0.013428	0.0268548	0.0452814	0.0860058	0.157991	0.295363	0.365939
a6	0.00730637	0.00815671	0.0123851	0.0193434	0.0453453	0.11834	0.298628	0.490496
a37	0.00747991	0.00828572	0.0144633	0.0268865	0.0703616	0.173076	0.319825	0.379622
a26	0.0124091	0.0129616	0.017124	0.0256794	0.059222	0.152253	0.307563	0.412788
a11	0.0120943	0.0112359	0.0126718	0.0171035	0.0400137	0.124513	0.274267	0.508101
a12	0.0104705	0.00981097	0.0115293	0.0166372	0.0390645	0.128483	0.280045	0.503959
a36	0.00453917	0.00483348	0.00642331	0.0100412	0.0252551	0.105908	0.308665	0.534335
a2	0.00705981	0.00589511	0.00685177	0.0109743	0.0301894	0.12345	0.301035	0.514544
a57	0.0576893	0.041908	0.0404316	0.0471795	0.0752185	0.149231	0.250653	0.337689
a10	0.164723	0.0929438	0.0687998	0.0630066	0.0775747	0.113593	0.168183	0.251175
a87	0.221244	0.114738	0.0798983	0.069757	0.0858715	0.112339	0.13467	0.181481
a23	0.177512	0.109113	0.0862472	0.0802218	0.104026	0.132245	0.129356	0.181279
a87	0.180185	0.118294	0.0860001	0.0752641	0.0864138	0.119812	0.139025	0.195006
</S>	0.065479	0.0499984	0.0440188	0.0475569	0.0743183	0.135618	0.227613	0.355398
