 	il	faut	danser	traditionnellement	</S>
a15	0.585809	0.299369	0.0771931	0.022462	0.0151665
a66	0.494696	0.314021	0.100492	0.0613823	0.0294082
a87	0.664062	0.226289	0.0620279	0.0243164	0.0233053
a23	0.628885	0.267487	0.0740991	0.0162352	0.0132938
a40	0.471228	0.257964	0.119069	0.0609042	0.0908344
a5	0.46489	0.269776	0.134934	0.0911857	0.0392141
a12	0.262146	0.303649	0.246301	0.111026	0.0768774
a31	0.215388	0.298667	0.324113	0.121223	0.040608
a62	0.213466	0.288907	0.303355	0.136899	0.0573728
a47	0.216142	0.289145	0.300533	0.138729	0.0554512
a88	0.173196	0.250076	0.297323	0.19655	0.0828557
a25	0.126582	0.189541	0.234272	0.298977	0.150628
a94	0.070383	0.0948649	0.143633	0.378644	0.312475
a90	0.0831455	0.0926481	0.0926578	0.289821	0.441728
a25	0.0310109	0.0267238	0.0348729	0.262189	0.645203
a56	0.00611142	0.00708037	0.0157514	0.194887	0.77617
a94	0.0127265	0.0105933	0.0162133	0.10221	0.858257
a90	0.00943353	0.00842305	0.0129693	0.0864878	0.882686
a76	0.00658775	0.00689657	0.0126122	0.0812395	0.892664
a20	0.0057771	0.00566303	0.0097117	0.0715118	0.907336
a7	0.00763605	0.00656878	0.0119183	0.0828923	0.890985
a84	0.0078361	0.0105049	0.0206499	0.125163	0.835846
a87	0.216179	0.138658	0.122304	0.172785	0.350074
a23	0.54914	0.289274	0.113329	0.0316251	0.016633
a87	0.38262	0.225681	0.122969	0.10369	0.16504
</S>	0.117121	0.0744912	0.0757306	0.154361	0.578296
