 	elle	est	d'	un	m'	as-tu-vu	terrible	</S>
a66	0.207715	0.205065	0.18295	0.175838	0.176821	0.0316409	0.0106419	0.00932748
a87	0.232146	0.201822	0.165202	0.173246	0.16346	0.0395397	0.0117589	0.0128255
a23	0.358415	0.243661	0.180175	0.102905	0.0786489	0.0168943	0.00779792	0.0115038
a30	0.330459	0.213155	0.190828	0.099296	0.0672441	0.0263683	0.026174	0.0464753
a53	0.277482	0.228244	0.196522	0.123204	0.094083	0.0278622	0.0228165	0.0297857
a54	0.241559	0.254971	0.197004	0.165797	0.0999157	0.0153365	0.0127371	0.0126809
a79	0.264484	0.245627	0.170428	0.17418	0.0937477	0.0199527	0.0174337	0.014147
a36	0.294515	0.222597	0.144822	0.173712	0.100337	0.0333716	0.0154856	0.0151597
a12	0.226201	0.185506	0.157097	0.191486	0.113377	0.0542273	0.0329115	0.0391934
a21	0.218345	0.182094	0.15966	0.193432	0.138903	0.0555808	0.0231462	0.0288389
a92	0.167628	0.139722	0.143881	0.196861	0.179011	0.0870661	0.0382614	0.0475684
a21	0.0958234	0.103853	0.155429	0.213512	0.207207	0.0969837	0.0546654	0.0725264
a5	0.104879	0.106915	0.153128	0.18585	0.189002	0.120531	0.0649961	0.0746998
a18	0.0777155	0.0754753	0.124512	0.171257	0.188384	0.130177	0.0996337	0.132846
a75	0.0478742	0.039796	0.056387	0.0780072	0.101911	0.139798	0.207888	0.328339
a85	0.0351536	0.0301919	0.0456238	0.0581918	0.0877829	0.17248	0.213047	0.357529
a47	0.00934588	0.00694872	0.00954623	0.0105079	0.0162448	0.0692859	0.286902	0.591219
a85	0.00335227	0.00232897	0.00301875	0.00276714	0.0037506	0.0213236	0.243002	0.720456
a5	0.0016376	0.00110518	0.00140135	0.00134943	0.00223065	0.0214175	0.275787	0.695071
a96	0.0046337	0.00310278	0.00363718	0.00338008	0.00470549	0.0260492	0.254442	0.700049
a66	0.00212359	0.00155071	0.00220499	0.00323127	0.00610739	0.0395539	0.288496	0.656732
a62	0.00107896	0.000832531	0.00116912	0.00190884	0.0032408	0.0189691	0.218787	0.754014
a88	0.000538246	0.000504019	0.000783338	0.00142794	0.0031616	0.0223401	0.210269	0.760976
a9	0.00344802	0.00279488	0.00294079	0.00466002	0.00719204	0.0252268	0.229203	0.724535
a99	0.056668	0.0309921	0.0264987	0.0300855	0.0301557	0.0452929	0.203979	0.576328
a87	0.237803	0.11944	0.0963215	0.0806178	0.0745691	0.0584724	0.112447	0.22033
a97	0.281335	0.172368	0.142218	0.11253	0.0945565	0.0439776	0.0623427	0.0906724
a87	0.184487	0.138719	0.130184	0.109567	0.106582	0.0581407	0.110632	0.161688
a23	0.129221	0.0967747	0.097418	0.080422	0.0855618	0.0775739	0.175744	0.257284
a87	0.110297	0.0514583	0.0378682	0.0304967	0.0302404	0.0438635	0.202007	0.493769
</S>	0.0169607	0.0079181	0.00726178	0.00882774	0.0141422	0.0436665	0.206417	0.694806
