 	faites-moi	passer	j'	amène	mon	enfant	aux	urgences	à	l'	hôpital	</S>
a66	0.330586	0.211193	0.144616	0.106332	0.0818757	0.0422394	0.020096	0.0162323	0.0140137	0.0114958	0.0104885	0.0108313
a87	0.169002	0.165722	0.157247	0.126662	0.0747207	0.0413733	0.0281121	0.0305139	0.0370994	0.038444	0.0559852	0.0751189
a97	0.125225	0.0794505	0.0503079	0.028848	0.0275004	0.0279828	0.0330577	0.100517	0.147524	0.159571	0.132237	0.0877796
a99	0.228319	0.132567	0.0767355	0.0292776	0.0248575	0.0250844	0.0291061	0.0978611	0.111195	0.111586	0.0836215	0.0497893
a62	0.28681	0.146752	0.0909987	0.0384653	0.0292628	0.027402	0.0271406	0.0777386	0.101194	0.0865975	0.053751	0.0338878
a61	0.323916	0.222829	0.153972	0.0590713	0.0380891	0.0312745	0.0232732	0.0343599	0.0480091	0.0374166	0.017308	0.0104816
a62	0.356998	0.243281	0.165128	0.0567044	0.0293959	0.0232422	0.0188887	0.022467	0.0248509	0.0264471	0.0195459	0.0130506
a47	0.356571	0.271611	0.191168	0.0483577	0.0238897	0.017932	0.0141001	0.0145776	0.0160455	0.0180721	0.0163549	0.0113199
a31	0.23523	0.242784	0.231719	0.0923886	0.0440004	0.0277763	0.0224482	0.0226378	0.0203177	0.0217518	0.0214626	0.0174837
a75	0.271477	0.236097	0.192653	0.0770382	0.0395544	0.0259921	0.0230661	0.019626	0.0200105	0.0260743	0.0343792	0.0340318
a85	0.157188	0.195731	0.186962	0.115956	0.0587984	0.0369661	0.0344221	0.0362754	0.0307656	0.0386118	0.0532927	0.0550307
a92	0.100045	0.143805	0.147523	0.155961	0.0904755	0.0614452	0.0532498	0.0430222	0.0342773	0.0385989	0.0587979	0.0727989
a85	0.0567833	0.089503	0.116666	0.216956	0.127075	0.069319	0.0583403	0.0541431	0.0391688	0.0469057	0.0598824	0.0652585
a5	0.0210547	0.0423473	0.065397	0.175155	0.142345	0.103748	0.0881997	0.0684738	0.0487031	0.055913	0.0841556	0.104508
a61	0.0236293	0.0339269	0.0484546	0.151403	0.135791	0.095874	0.0872608	0.074292	0.0668001	0.0714094	0.0911695	0.11999
a62	0.0158909	0.0200654	0.0290739	0.103635	0.12955	0.120643	0.115736	0.10287	0.0775548	0.076559	0.0907394	0.117681
a47	0.0125773	0.0165214	0.0245036	0.0879346	0.124802	0.139379	0.138764	0.117157	0.0868865	0.0792911	0.0779478	0.0942368
a75	0.0153164	0.0214182	0.0324372	0.089845	0.118788	0.138178	0.13599	0.116079	0.0854952	0.0785587	0.075828	0.0920664
a85	0.0020303	0.00326255	0.00645986	0.0427801	0.0724491	0.127864	0.175497	0.161333	0.0871624	0.0856431	0.101844	0.133675
a92	0.00105182	0.00183493	0.00387516	0.0262165	0.0499854	0.105563	0.172279	0.151889	0.101119	0.0983369	0.121288	0.166561
a37	0.00107592	0.00161057	0.00288849	0.0179172	0.0377029	0.087436	0.15702	0.149996	0.12578	0.131842	0.132664	0.154067
a92	0.00107831	0.00180685	0.00329774	0.014768	0.030506	0.065616	0.122789	0.106223	0.106373	0.130541	0.165397	0.251605
a56	0.000772253	0.00114238	0.00208675	0.0100337	0.0221895	0.0543571	0.114068	0.100945	0.0990064	0.131904	0.190153	0.273341
a44	0.000522342	0.000981092	0.00181632	0.0087708	0.0179762	0.0429539	0.0884933	0.0756264	0.0844468	0.126046	0.200838	0.351529
a50	0.000297765	0.000630655	0.0013706	0.00763535	0.0147779	0.0320983	0.0579835	0.0538527	0.0681795	0.118326	0.219059	0.425789
a88	0.0011346	0.00192084	0.004192	0.0144389	0.0190581	0.0323654	0.0535701	0.0646575	0.0792579	0.122533	0.192974	0.413897
a71	0.00115557	0.00231773	0.005585	0.0213743	0.029294	0.0442764	0.0627732	0.0718917	0.0811893	0.116349	0.173042	0.390752
a75	0.0043351	0.00593244	0.00946354	0.0228275	0.0346642	0.0533235	0.0727138	0.0894156	0.101385	0.127755	0.173763	0.304422
a6	0.000238989	0.000403644	0.000739462	0.00325366	0.00672533	0.0229879	0.0572158	0.0641193	0.0567691	0.0924741	0.198298	0.496775
a36	0.000172338	0.000313628	0.000618963	0.0028804	0.00622565	0.0200322	0.049118	0.0617581	0.057768	0.0992346	0.204536	0.497342
a27	0.000515739	0.00109585	0.00248677	0.00944851	0.0142949	0.0364981	0.0702047	0.0803128	0.077544	0.111482	0.183152	0.412965
a82	0.0201001	0.0224072	0.0314727	0.0476244	0.0599471	0.072578	0.0855856	0.0898848	0.0997452	0.115238	0.139949	0.215468
a3	0.0617789	0.0431539	0.0389084	0.0347888	0.0338185	0.0417657	0.0491408	0.100038	0.124116	0.143646	0.145184	0.183662
a97	0.0478912	0.0316532	0.0274183	0.0242761	0.0242794	0.0386698	0.0587103	0.1133	0.141313	0.161106	0.159628	0.171755
a27	0.0231702	0.0151487	0.0136695	0.0199934	0.023933	0.0412796	0.0644745	0.126932	0.14479	0.171274	0.164693	0.190642
</S>	0.0112727	0.00842828	0.00849924	0.0138766	0.0150171	0.0268172	0.0512705	0.12115	0.156257	0.188131	0.191919	0.207362
