 	le	bateau	a	accosté	sur	le	quai	</S>
a66	0.313535	0.271261	0.149484	0.107735	0.0920259	0.0424713	0.0161735	0.00731408
a87	0.461897	0.231039	0.0856733	0.056256	0.0514469	0.0428556	0.0314156	0.0394169
a23	0.372458	0.232149	0.1274	0.0833837	0.0581401	0.0425726	0.0416077	0.0422897
a87	0.335846	0.209394	0.136002	0.108886	0.0789124	0.053136	0.0483972	0.0294265
a40	0.314114	0.198371	0.128764	0.096134	0.0744784	0.062426	0.0760391	0.0496735
a0	0.394154	0.27174	0.144202	0.0786773	0.0506273	0.0217736	0.0198952	0.0189306
a11	0.271992	0.250633	0.232107	0.136453	0.066658	0.0247535	0.0125248	0.00487881
a75	0.240272	0.276875	0.25553	0.143386	0.0526396	0.0175098	0.00947637	0.00431138
a98	0.239334	0.263293	0.207359	0.132489	0.091919	0.0431441	0.0152782	0.00718469
a92	0.155116	0.199065	0.177475	0.152833	0.144539	0.0972839	0.0426191	0.0310688
a37	0.161459	0.245039	0.238636	0.161786	0.0995359	0.0508222	0.0234027	0.01932
a56	0.122246	0.144681	0.182371	0.211759	0.180176	0.0867261	0.0409668	0.0310753
a43	0.0975157	0.113216	0.164954	0.220847	0.205767	0.102908	0.0536747	0.0411173
a21	0.0427039	0.0478222	0.104044	0.199258	0.263233	0.154335	0.0852093	0.103394
a47	0.0503962	0.0466559	0.07219	0.123359	0.172895	0.188779	0.161081	0.184644
a62	0.0277818	0.0236178	0.0383605	0.0885366	0.16607	0.193489	0.201939	0.260206
a47	0.00710315	0.0060992	0.00929095	0.0194954	0.0584176	0.156383	0.279226	0.463985
a62	0.00600155	0.0051176	0.00723656	0.01459	0.0476751	0.153321	0.303308	0.462751
a88	0.00168708	0.00146336	0.00190375	0.00289729	0.0128789	0.0856207	0.33052	0.563029
a93	0.000927782	0.000838578	0.00109144	0.00167453	0.0068885	0.0587217	0.317337	0.61252
a96	0.000799717	0.000762928	0.000954608	0.00148605	0.00632967	0.0513981	0.274421	0.663848
a13	0.000223785	0.000222726	0.000295483	0.000519236	0.00246088	0.024589	0.234964	0.736725
a3	0.000234704	0.000209965	0.000239106	0.000442913	0.00244446	0.0207253	0.212446	0.763257
a87	0.0251831	0.0190183	0.0145939	0.0147351	0.0264586	0.0729423	0.318048	0.50902
a23	0.14644	0.115284	0.0741871	0.0661485	0.0748651	0.115838	0.194364	0.212872
a99	0.0224501	0.0144085	0.00932844	0.00848241	0.0119638	0.0454122	0.221624	0.66633
a97	0.00726694	0.00464496	0.0035882	0.00398524	0.00837614	0.042998	0.222523	0.706617
a87	0.00201071	0.00130905	0.00125947	0.0021809	0.00649302	0.0378381	0.198727	0.750182
</S>	0.00496276	0.003253	0.00269174	0.00398556	0.0102117	0.0437288	0.184747	0.746419
