 	l'	enfant	a	renversé	l'	eau	qui	était	dans	la	marmite	</S>
a66	0.266804	0.179193	0.106176	0.0767292	0.0677759	0.0682214	0.0625642	0.0589245	0.0374564	0.0287718	0.0242002	0.0231838
a87	0.321654	0.163191	0.0878197	0.0532932	0.035766	0.0325644	0.0502924	0.0608664	0.0507688	0.0471534	0.048376	0.048254
a23	0.484345	0.208987	0.090018	0.0410723	0.0238945	0.0190522	0.0247704	0.0233963	0.0184927	0.0171533	0.02159	0.0272284
a53	0.303798	0.123206	0.0728132	0.052277	0.0418777	0.0405018	0.0565566	0.0541726	0.0480972	0.051465	0.0629562	0.0922789
a54	0.345972	0.178257	0.10864	0.0691348	0.0514982	0.046476	0.0507209	0.0438321	0.0290038	0.0267181	0.02427	0.0254779
a92	0.187648	0.181677	0.171596	0.116351	0.0804197	0.056103	0.051912	0.0437351	0.0331902	0.0283626	0.0250853	0.0239197
a37	0.180383	0.206249	0.214605	0.115458	0.0747339	0.0467333	0.0387008	0.0320241	0.0255472	0.022041	0.0213827	0.0221416
a96	0.155766	0.183611	0.233211	0.145338	0.0863927	0.0512822	0.0371434	0.0259209	0.0211184	0.0177658	0.019732	0.0227179
a18	0.100168	0.139917	0.202807	0.173883	0.119419	0.0790221	0.0542696	0.0378917	0.0255992	0.021377	0.021555	0.0240918
a90	0.0571777	0.0865362	0.157156	0.18537	0.145073	0.100107	0.0697191	0.0524519	0.0378839	0.0336399	0.0347428	0.0401434
a15	0.0693037	0.108504	0.165419	0.157851	0.128288	0.0899787	0.0633061	0.0493721	0.0369371	0.0356519	0.0434749	0.0519138
a79	0.0352124	0.0606004	0.10351	0.129094	0.126066	0.103293	0.0825874	0.0695171	0.0558901	0.0573298	0.0780739	0.0988267
a54	0.0362673	0.055181	0.0899767	0.124059	0.131789	0.119215	0.0963851	0.0808563	0.0576637	0.0549744	0.0682551	0.0853775
a47	0.0229816	0.0342286	0.0575354	0.0865069	0.100031	0.110444	0.104108	0.0970874	0.0815499	0.0805468	0.0967147	0.128265
a54	0.0132615	0.0200894	0.0420277	0.0729799	0.0884939	0.104015	0.101517	0.0966344	0.0842786	0.0873709	0.116973	0.172358
a47	0.0142684	0.0193124	0.0356891	0.0686576	0.0896424	0.122516	0.120804	0.110358	0.0889744	0.0824805	0.101436	0.145861
a6	0.0069658	0.00948944	0.0174052	0.0310736	0.0471946	0.0908366	0.109324	0.116822	0.105835	0.105205	0.139647	0.220202
a36	0.0074564	0.00905283	0.0119808	0.0230778	0.0385465	0.0788356	0.101486	0.117801	0.130326	0.123061	0.149998	0.208379
a37	0.00854552	0.00922179	0.00898995	0.0144206	0.0262937	0.057783	0.0739515	0.0836591	0.100688	0.120003	0.192337	0.304107
a43	0.00614784	0.00704701	0.00722323	0.0114113	0.0203139	0.0454488	0.0603655	0.0643148	0.0899459	0.122145	0.212823	0.352814
a56	0.00322067	0.00340755	0.00331086	0.00537078	0.00971002	0.0211873	0.0310686	0.0329686	0.0619423	0.11217	0.257645	0.457998
a94	0.00201454	0.00232974	0.00235326	0.00387221	0.00722351	0.0182335	0.0312177	0.0394315	0.0774922	0.133303	0.259652	0.422877
a11	0.00138992	0.001582	0.00172526	0.00310726	0.00564901	0.0136905	0.0242645	0.0287786	0.0606775	0.120276	0.270042	0.468818
a70	0.00196199	0.00210524	0.00223392	0.00417311	0.00732561	0.0158601	0.0303219	0.0383388	0.0837507	0.156082	0.264669	0.393178
a71	0.00151498	0.00170517	0.00210575	0.00488975	0.00888909	0.0188028	0.0347248	0.0430514	0.0912111	0.168931	0.266109	0.358065
a82	0.0132666	0.0131363	0.0123131	0.0173248	0.0238795	0.0463093	0.0687908	0.0713116	0.108816	0.157766	0.192147	0.274939
a87	0.0903366	0.058435	0.0421918	0.0421385	0.0449878	0.0649741	0.0719872	0.0691382	0.0918332	0.114864	0.135293	0.173821
a23	0.350793	0.155212	0.0858523	0.0583938	0.0445159	0.0457052	0.0430343	0.0404069	0.0438053	0.0425668	0.0427817	0.0469331
a87	0.250314	0.105741	0.0518978	0.0296644	0.0257166	0.0291766	0.0300657	0.0340762	0.0596933	0.0834729	0.133808	0.166373
</S>	0.042451	0.0218003	0.0143379	0.0129129	0.016185	0.023268	0.0306952	0.0384889	0.0727564	0.113312	0.244417	0.369376
