 	il	ne	faut	pas	donner	des	coups	bas	à	son	ami	</S>
a23	0.306645	0.211261	0.162374	0.0982987	0.0488959	0.0341817	0.034816	0.0313424	0.0203929	0.0162353	0.0171459	0.0184113
a79	0.332383	0.178444	0.115238	0.0660965	0.0664997	0.0459932	0.0399293	0.0400122	0.0303082	0.0263851	0.030009	0.0287018
a69	0.210875	0.1397	0.0996228	0.0674914	0.087641	0.0556643	0.0447813	0.048162	0.0455296	0.0513104	0.0664184	0.0828039
a44	0.282662	0.195468	0.150905	0.090988	0.113626	0.0541312	0.028621	0.0283583	0.017815	0.013784	0.011967	0.0116736
a75	0.250485	0.215395	0.173663	0.0947274	0.121909	0.0510113	0.0239421	0.0189874	0.0118172	0.0112485	0.0126208	0.0141928
a92	0.149307	0.151413	0.13904	0.107009	0.192371	0.0969368	0.0454815	0.0335151	0.020708	0.0193194	0.0214837	0.0234147
a75	0.122852	0.129831	0.120215	0.104732	0.218217	0.109361	0.0535976	0.0382937	0.0246765	0.0234374	0.0255797	0.0292068
a70	0.0822632	0.0962364	0.0957246	0.1023	0.193672	0.122083	0.0749181	0.0587035	0.0441112	0.0414246	0.0416616	0.0469008
a61	0.0936577	0.105537	0.117762	0.122768	0.2785	0.1309	0.0529571	0.0346435	0.0181565	0.0157014	0.0142948	0.015122
a75	0.0777164	0.0945086	0.114714	0.14262	0.226661	0.142158	0.0702021	0.0468368	0.0259372	0.0209012	0.0185152	0.0192287
a56	0.0529688	0.0554183	0.060074	0.0787521	0.103211	0.129941	0.128001	0.105952	0.0811395	0.073073	0.0627762	0.0686933
a90	0.0617302	0.0688287	0.0757592	0.102826	0.115975	0.130849	0.124314	0.0995155	0.0680982	0.0565106	0.0462723	0.0493211
a13	0.0443618	0.0496508	0.0513865	0.0675797	0.0923948	0.116432	0.143682	0.117623	0.0921336	0.0835161	0.0683707	0.0728694
a93	0.0517887	0.0573339	0.0572877	0.0701401	0.0651514	0.0895656	0.125941	0.110625	0.0882142	0.0878809	0.0900422	0.10603
a56	0.0236873	0.0260568	0.0258753	0.0376844	0.0499277	0.0905864	0.148878	0.129014	0.126998	0.129847	0.104786	0.10666
a11	0.0211733	0.0239508	0.0242791	0.0349916	0.0441482	0.073772	0.135972	0.131362	0.135863	0.138176	0.11676	0.119553
a90	0.0122041	0.0133081	0.0125474	0.0179053	0.0216807	0.051121	0.129186	0.158614	0.151859	0.14261	0.133452	0.155512
a58	0.00693237	0.00817353	0.00847905	0.0143235	0.0205491	0.052153	0.12372	0.134022	0.150269	0.168343	0.154429	0.158607
a40	0.00261425	0.00261454	0.00250459	0.00420915	0.00563498	0.0179213	0.0577256	0.0868438	0.153941	0.194501	0.216298	0.255191
a44	0.00260164	0.00304078	0.0032443	0.00603165	0.00982939	0.024835	0.0518424	0.0656125	0.105665	0.173249	0.245946	0.308103
a54	0.00132316	0.00146627	0.00146966	0.00282859	0.00476176	0.0146962	0.0415375	0.0634432	0.131378	0.18935	0.246409	0.301336
a47	0.00454733	0.00487982	0.0050366	0.00729593	0.0122905	0.0268849	0.0576529	0.0793253	0.113852	0.171733	0.227682	0.288819
a2	0.00700684	0.00686036	0.0069852	0.00969386	0.0160364	0.027283	0.0542619	0.0866108	0.142069	0.191209	0.217599	0.234385
a57	0.00104273	0.000929274	0.000836419	0.00122322	0.0013943	0.00343979	0.0109312	0.0216263	0.0707592	0.158048	0.318392	0.411378
a87	0.00616658	0.00371094	0.00283749	0.00308083	0.00283498	0.00368079	0.00920958	0.0204443	0.0661614	0.171624	0.297757	0.412493
a23	0.0411186	0.0280937	0.0245288	0.0346434	0.03332	0.0352714	0.0693845	0.122822	0.144576	0.165186	0.15981	0.141246
a87	0.0173457	0.0129716	0.0114795	0.0167526	0.0184213	0.0240543	0.0701964	0.134552	0.190024	0.191014	0.167315	0.145874
</S>	0.00608242	0.0057746	0.00689903	0.0161196	0.016249	0.0309146	0.0733872	0.118935	0.186793	0.20065	0.181532	0.156664
