 	j'	ai	un	abcès	à	la	cuisse	</S>
a66	0.320862	0.169081	0.130018	0.103906	0.0826115	0.0777337	0.0616131	0.0541755
a87	0.123973	0.107659	0.101375	0.107743	0.0928824	0.106987	0.159445	0.199936
a23	0.44285	0.208511	0.103133	0.0685518	0.0429319	0.0411305	0.0483173	0.0445748
a83	0.422985	0.22829	0.120798	0.0801972	0.0418302	0.0342554	0.034782	0.0368621
a71	0.448395	0.178555	0.118108	0.0891149	0.0657498	0.0467289	0.0275069	0.0258419
a9	0.286532	0.224609	0.174017	0.134291	0.0764383	0.0464526	0.030336	0.0273242
a24	0.234373	0.20083	0.185804	0.152512	0.097899	0.0597502	0.0364975	0.0323342
a31	0.197572	0.241738	0.22307	0.185395	0.0855181	0.0360084	0.017215	0.0134834
a47	0.169281	0.22897	0.22814	0.209463	0.0919494	0.0375244	0.0193073	0.0153649
a61	0.20597	0.226573	0.212216	0.182877	0.0812778	0.0419805	0.0263665	0.0227389
a12	0.178759	0.217952	0.211134	0.175361	0.0961868	0.0567884	0.0357793	0.0280395
a96	0.137728	0.170894	0.188487	0.167998	0.117072	0.0904422	0.0693162	0.0580631
a88	0.122929	0.146718	0.166671	0.155847	0.131685	0.113766	0.0885916	0.0737937
a43	0.0559	0.0644753	0.0806027	0.0919762	0.127439	0.179659	0.206942	0.193005
a56	0.0124165	0.0140613	0.0183507	0.0248199	0.0565133	0.143385	0.314711	0.415742
a75	0.0192344	0.0211358	0.0289856	0.0411162	0.0892884	0.199581	0.291318	0.309341
a5	0.00721513	0.00709895	0.010663	0.0159073	0.048062	0.179637	0.312292	0.419125
a61	0.00555164	0.00577101	0.00866146	0.0132478	0.0393981	0.164412	0.320644	0.442313
a21	0.00317972	0.00343983	0.00490966	0.0075144	0.0234021	0.111973	0.325094	0.520487
a12	0.00214843	0.00201669	0.00284213	0.00394599	0.0122622	0.0751853	0.290027	0.611573
a18	0.00180779	0.00176971	0.00234405	0.00324113	0.00892856	0.0530094	0.263676	0.665223
a71	0.0128977	0.0121597	0.0167968	0.0198737	0.0356523	0.108929	0.256675	0.537016
a25	0.0653896	0.0528172	0.0588798	0.0568654	0.0772717	0.138168	0.209211	0.341397
a87	0.15851	0.083352	0.0719603	0.0615778	0.0690529	0.112953	0.178632	0.263962
a23	0.297072	0.140535	0.0958186	0.0685142	0.0557135	0.0730664	0.107401	0.161879
a99	0.194122	0.0971456	0.0701125	0.0549408	0.0431292	0.0710548	0.130667	0.338828
a97	0.0939575	0.041701	0.0310307	0.0258589	0.0278212	0.0812722	0.200379	0.49798
</S>	0.0474997	0.0280162	0.0249343	0.0255741	0.0333892	0.0910091	0.203837	0.54574
