 	si	ce	guérisseur	te	soigne	tu	seras	guéri	</S>
a15	0.323087	0.230538	0.176728	0.102419	0.0822748	0.037919	0.0264324	0.0121256	0.00847525
a66	0.26674	0.158078	0.142198	0.0863492	0.124184	0.0831374	0.0715597	0.0372208	0.0305331
a87	0.356531	0.208844	0.160032	0.0900903	0.0788605	0.0361117	0.0205332	0.0207649	0.0282324
a23	0.32106	0.272648	0.227886	0.0846914	0.0441533	0.014609	0.0116844	0.0109177	0.0123497
a30	0.270169	0.276588	0.221888	0.0993919	0.0497586	0.0157113	0.0154603	0.0171908	0.0338415
a54	0.140805	0.111538	0.10042	0.0872982	0.0835603	0.0687545	0.0932855	0.131946	0.182393
a92	0.1517	0.123223	0.103436	0.137868	0.108176	0.0887191	0.0999632	0.107508	0.0794062
a98	0.0776975	0.0810473	0.0827362	0.135241	0.151282	0.125363	0.12109	0.127614	0.0979298
a15	0.0607631	0.0676365	0.0728958	0.135087	0.163502	0.180484	0.143819	0.0961015	0.0797112
a79	0.0523092	0.0571401	0.068406	0.12454	0.155575	0.170184	0.129979	0.112826	0.12904
a15	0.073398	0.0623643	0.0663984	0.10496	0.12538	0.122166	0.117884	0.146598	0.180851
a98	0.0729159	0.0743544	0.0764196	0.12791	0.160578	0.148938	0.11365	0.112846	0.112388
a15	0.0522117	0.046843	0.0454671	0.0696587	0.0965772	0.0975315	0.128069	0.229868	0.233774
a40	0.0561495	0.0495387	0.041558	0.0645176	0.114121	0.132999	0.160124	0.205073	0.175919
a85	0.0489716	0.038227	0.0345166	0.0488832	0.0940908	0.0963429	0.122912	0.25123	0.264827
a92	0.0311923	0.0265094	0.0225572	0.0289779	0.0586711	0.0759957	0.134488	0.288366	0.333243
a98	0.0186877	0.0163361	0.0130914	0.014448	0.0265725	0.038771	0.121264	0.360318	0.390512
a25	0.00961332	0.00937184	0.00746577	0.0108005	0.0202358	0.0360563	0.121604	0.386025	0.398828
a92	0.00189617	0.00195076	0.00144405	0.00271863	0.00524921	0.0120807	0.089054	0.430413	0.455194
a56	0.00276408	0.00244986	0.00188062	0.00232138	0.00363283	0.00670692	0.0573655	0.402261	0.520618
a93	0.00221928	0.00217496	0.00128829	0.00152072	0.00186521	0.00263932	0.0234289	0.296074	0.668789
a4	0.00245926	0.00261486	0.00143171	0.00185345	0.00209718	0.00298253	0.023481	0.263854	0.699226
a57	0.00322965	0.00311251	0.00186923	0.00288701	0.00363952	0.0059326	0.0342318	0.287236	0.657862
a3	0.00790767	0.00759072	0.00671893	0.014441	0.0196583	0.0369551	0.0860624	0.263318	0.557348
a87	0.175307	0.127936	0.124385	0.0962858	0.0886656	0.0677371	0.0665566	0.104872	0.148255
a23	0.233821	0.184469	0.182893	0.121529	0.0942767	0.053275	0.0407868	0.0435152	0.0454353
a87	0.114801	0.100773	0.100759	0.0528877	0.0251679	0.0147121	0.0325027	0.168387	0.390009
</S>	0.0131822	0.0110125	0.00895264	0.00653804	0.00446645	0.00436809	0.0258173	0.262103	0.66356
