 	notre	maman	a	ramassé	les	champignons	sur	ce	palmier-là	</S>
a66	0.331153	0.220347	0.163348	0.121806	0.0694592	0.0397912	0.024531	0.0136523	0.00822379	0.00768819
a87	0.466048	0.216114	0.122065	0.0672006	0.0354708	0.0209525	0.0173125	0.0171428	0.0149001	0.0227932
a23	0.421203	0.217522	0.151288	0.084136	0.0254561	0.0127414	0.0130261	0.0185379	0.0238193	0.0322702
a99	0.316351	0.184116	0.143197	0.104249	0.0422185	0.0303279	0.029072	0.0407615	0.0387142	0.0709919
a30	0.216566	0.183348	0.211035	0.134501	0.0420006	0.0311014	0.0269093	0.0333976	0.0430394	0.0781019
a53	0.187215	0.198315	0.274151	0.188185	0.040182	0.0261006	0.0190733	0.0197336	0.0199399	0.0271049
a15	0.22903	0.200603	0.248897	0.18311	0.0691965	0.0314873	0.015519	0.00962401	0.00622096	0.0063122
a79	0.166698	0.163662	0.235705	0.198867	0.100844	0.0561539	0.030935	0.0208652	0.0132234	0.0130472
a44	0.169374	0.175616	0.228238	0.18952	0.107878	0.0575901	0.0303247	0.0179684	0.0115821	0.0119089
a32	0.156722	0.153925	0.224282	0.198572	0.106849	0.0605801	0.0370812	0.0265447	0.0176391	0.0178046
a75	0.112111	0.13872	0.214137	0.222193	0.12065	0.0594709	0.0391295	0.0318078	0.029832	0.031949
a5	0.0446519	0.0709958	0.116121	0.158803	0.160296	0.147658	0.103339	0.0759357	0.0616158	0.0605839
a36	0.101811	0.123904	0.164942	0.178996	0.128791	0.102348	0.0694158	0.0502527	0.0419943	0.0375457
a75	0.0437098	0.06825	0.106856	0.159322	0.150089	0.127812	0.0977365	0.0847615	0.0829198	0.0785438
a25	0.0212347	0.0320982	0.0542921	0.121403	0.147663	0.145886	0.127172	0.119693	0.125068	0.10549
a85	0.00934057	0.0241597	0.0443354	0.118035	0.181478	0.165166	0.131796	0.107773	0.107324	0.110592
a6	0.00900965	0.0180986	0.0297885	0.0810826	0.140406	0.149881	0.13776	0.132795	0.156805	0.144374
a0	0.0083661	0.0159854	0.0265937	0.0680129	0.124263	0.172443	0.159424	0.146979	0.152578	0.125355
a56	0.00384642	0.00549541	0.00809452	0.0208962	0.0638112	0.134623	0.17034	0.196396	0.192074	0.204422
a11	0.00474913	0.0047198	0.00578014	0.0130227	0.0459571	0.115818	0.170401	0.228345	0.218903	0.192305
a90	0.00381853	0.00401998	0.00416353	0.00690737	0.022002	0.0728942	0.14355	0.238192	0.252244	0.252208
a94	0.0017905	0.00196679	0.00233662	0.00486666	0.0185308	0.0744483	0.148918	0.252517	0.263002	0.231624
a90	0.000953809	0.00110093	0.00118784	0.00208665	0.00689325	0.0305288	0.0838419	0.208609	0.332925	0.331873
a44	0.000573011	0.000749126	0.000970508	0.00228209	0.00811605	0.034536	0.0867345	0.203773	0.32795	0.334315
a70	0.000412335	0.000526317	0.000572291	0.00104969	0.00367899	0.0186034	0.0569403	0.168309	0.347863	0.402044
a62	0.000258227	0.000351458	0.000361465	0.000659301	0.00225359	0.0116648	0.0394159	0.135733	0.340471	0.468832
a88	0.000299859	0.000358671	0.000346753	0.000614426	0.00213262	0.0102932	0.0378888	0.133355	0.33368	0.481031
a62	0.000280741	0.0003643	0.000333819	0.000533175	0.00163315	0.0074736	0.0262739	0.0929381	0.339564	0.530605
a21	0.000277327	0.000411992	0.000396316	0.00069864	0.00210352	0.00875123	0.0290436	0.0944699	0.341863	0.521984
a12	0.000135032	0.000195659	0.000211008	0.000385364	0.00123288	0.0052972	0.0196916	0.0839384	0.290409	0.598503
a18	0.000101761	0.000139624	0.000147296	0.000261113	0.00080928	0.00361613	0.0147772	0.072923	0.283137	0.624088
a88	0.000272828	0.000410709	0.000396174	0.000623131	0.00195302	0.00811873	0.0243904	0.0753661	0.313583	0.574886
a38	0.000820686	0.00101754	0.000922437	0.00149128	0.00478566	0.0180784	0.0392318	0.0914003	0.320264	0.521988
a9	0.00132636	0.00159834	0.00145036	0.00225094	0.00641261	0.0208424	0.043286	0.0992655	0.307829	0.515739
a87	0.0408203	0.0213959	0.015085	0.0156749	0.0258867	0.0492239	0.0793314	0.13682	0.279792	0.33597
a23	0.229263	0.0954479	0.0463296	0.0347459	0.0474714	0.0614975	0.0801437	0.102992	0.150279	0.15183
a97	0.0411516	0.0176449	0.00849757	0.00855103	0.021037	0.0549265	0.104349	0.194956	0.261669	0.287217
a82	0.0121852	0.00634311	0.00356152	0.00443439	0.0143292	0.0475006	0.101866	0.200187	0.278671	0.330922
</S>	0.00734678	0.00578811	0.00468687	0.00682026	0.0190268	0.04701	0.08614	0.168811	0.265084	0.389286
