 	les	eaux	du	fleuve	sont	agitées	</S>
a87	0.490594	0.16543	0.0993416	0.0590568	0.0544115	0.0634427	0.0677241
a23	0.226087	0.131509	0.115061	0.123703	0.137754	0.126247	0.139639
a83	0.470867	0.182074	0.115838	0.0887487	0.0517881	0.0365881	0.054096
a35	0.367584	0.182546	0.140066	0.116926	0.0853039	0.0611331	0.0464399
a30	0.484271	0.223834	0.140098	0.0916705	0.0352377	0.0151981	0.009691
a35	0.442379	0.23572	0.150898	0.101281	0.0401188	0.0169819	0.0126204
a41	0.39828	0.242979	0.159137	0.110124	0.0492749	0.0224911	0.0177142
a32	0.341445	0.255011	0.168884	0.110362	0.0619199	0.0337393	0.0286383
a38	0.314566	0.263179	0.180706	0.108578	0.0655226	0.0371207	0.0303284
a14	0.265086	0.269428	0.214881	0.122473	0.0665901	0.0352188	0.0263234
a26	0.276828	0.252711	0.171443	0.0943799	0.0802297	0.0664708	0.0579388
a38	0.16274	0.173062	0.158394	0.106979	0.125904	0.135894	0.137025
a94	0.188349	0.195655	0.167315	0.102544	0.110026	0.123064	0.113047
a35	0.144467	0.134052	0.109004	0.0713952	0.115278	0.179907	0.245897
a14	0.0575429	0.0540565	0.0527398	0.0453296	0.111324	0.237668	0.441339
a2	0.0603078	0.0475239	0.0428515	0.0388934	0.104947	0.240939	0.464537
a11	0.0319789	0.0265341	0.0282256	0.029175	0.0672146	0.208717	0.608155
a26	0.00810666	0.00518452	0.00519796	0.00672159	0.0347098	0.195825	0.744255
a35	0.00566181	0.00427714	0.00429966	0.00643553	0.0453365	0.218351	0.715638
a75	0.0039756	0.00225096	0.00222485	0.00339003	0.028344	0.186804	0.77301
a14	0.00391374	0.00247045	0.00274261	0.00472704	0.0404034	0.202548	0.743194
a30	0.00476225	0.00283159	0.00315314	0.00611341	0.046427	0.198294	0.738419
a57	0.0091665	0.00537433	0.00527058	0.00833208	0.0406113	0.163873	0.767372
a87	0.0347736	0.0210159	0.0236414	0.0266865	0.0589347	0.16013	0.674818
a23	0.0201293	0.0157666	0.0249626	0.0334481	0.0827481	0.225027	0.597919
a87	0.0500999	0.0369743	0.0472536	0.0503342	0.0897466	0.212528	0.513063
</S>	0.0423651	0.0275091	0.041589	0.0439174	0.0940567	0.197663	0.5529
