 	le	sorcier	connait	la	maison	du	fou	de	la	même	manière	qu'	un	pêcheur	connait	les	caches	des	poissons	</S>
a66	0.075483	0.0842979	0.0976869	0.0339309	0.0368158	0.0469513	0.0649703	0.0778275	0.110222	0.103444	0.101809	0.0673072	0.0335967	0.0344891	0.0103288	0.00545506	0.00764355	0.003178	0.00242599	0.00213684
a87	0.308551	0.148367	0.0391386	0.0130805	0.0281202	0.0353294	0.0526563	0.0659641	0.0682718	0.0570867	0.0447598	0.0307236	0.00893315	0.00607728	0.00634068	0.00792552	0.0177889	0.0178978	0.0208933	0.0220946
a23	0.321097	0.101408	0.032947	0.0155701	0.0224579	0.0326417	0.0602946	0.081539	0.0880033	0.0684622	0.0622905	0.0382685	0.0126114	0.0114074	0.00557053	0.00419106	0.00695724	0.00660296	0.00985584	0.0178242
a79	0.229683	0.0431258	0.0261912	0.0218077	0.0322381	0.0482056	0.0839112	0.0928237	0.104589	0.0726253	0.0663947	0.0415829	0.0173957	0.0185891	0.0097812	0.00762768	0.0126931	0.01427	0.0203975	0.0360677
a15	0.13708	0.0717371	0.0522403	0.0235763	0.0252712	0.0319736	0.0394682	0.0507465	0.0580801	0.0577656	0.0538001	0.0415232	0.0220635	0.0318145	0.0311957	0.0245363	0.0565838	0.0621454	0.0645746	0.0638237
a92	0.0565866	0.079885	0.0769898	0.0325974	0.0364248	0.0517719	0.0654216	0.0621335	0.0705834	0.0669574	0.0636271	0.0387852	0.0191118	0.0293472	0.0277344	0.0196579	0.0461231	0.0506756	0.0544168	0.0511696
a5	0.066933	0.116739	0.116559	0.0426103	0.0482661	0.0683666	0.0883246	0.0733371	0.0880285	0.0699192	0.0571115	0.0267847	0.0117562	0.0157802	0.0136764	0.0107893	0.021646	0.0221529	0.021421	0.0197986
a85	0.0915217	0.0845256	0.0767276	0.0469998	0.0517072	0.0753828	0.10217	0.0801876	0.0891575	0.0714397	0.0637047	0.0312987	0.0160833	0.0211563	0.0138915	0.01087	0.0235627	0.0184113	0.0162102	0.014992
a6	0.026161	0.0519859	0.0520141	0.0570841	0.061545	0.0693329	0.070059	0.055564	0.0554408	0.0515472	0.0514354	0.0379744	0.0276764	0.0337927	0.0631998	0.0572911	0.0701488	0.0395945	0.0339323	0.0342207
a0	0.0554324	0.0774957	0.0630415	0.0516804	0.0564061	0.0652743	0.0730022	0.0604816	0.0648214	0.058636	0.0589738	0.0430407	0.0302199	0.0360111	0.0356315	0.0299197	0.0416078	0.0290354	0.0318657	0.037423
a75	0.0319746	0.0549523	0.0592692	0.0627049	0.0633741	0.0745025	0.0919012	0.0796605	0.0800879	0.0784631	0.0798858	0.0585869	0.0450685	0.0485284	0.0318019	0.016775	0.0142017	0.00865392	0.00858967	0.0110179
