 	cet	enfant	ne	reste	pas	à	la	maison	comme	son	père	</S>
a66	0.301776	0.153875	0.101999	0.0754344	0.0728988	0.0790341	0.0784296	0.0620834	0.0314528	0.0177576	0.0127278	0.0125319
a87	0.368901	0.183913	0.106675	0.0692452	0.0443197	0.043584	0.0447486	0.0429571	0.0278102	0.0212288	0.0218065	0.0248113
a23	0.376402	0.23284	0.125924	0.0627003	0.0390345	0.0291049	0.0240282	0.0219275	0.0196084	0.0191752	0.0236448	0.0256102
a83	0.289377	0.176805	0.108545	0.0751683	0.0522723	0.0441085	0.0407592	0.0381882	0.0385911	0.0351026	0.0427625	0.0583204
a54	0.209271	0.131957	0.0952272	0.0845032	0.0715482	0.0701188	0.0654581	0.052124	0.0509718	0.0486114	0.0543877	0.0658213
a47	0.19764	0.172133	0.1378	0.125336	0.0903781	0.0754505	0.059975	0.0403389	0.0306964	0.025528	0.023393	0.0213301
a6	0.0911632	0.110974	0.156166	0.172828	0.0998154	0.0713798	0.0494114	0.03701	0.0426197	0.0491754	0.0612568	0.0581999
a79	0.107546	0.116468	0.16179	0.190032	0.1132	0.0791012	0.050751	0.0329363	0.0319371	0.0341112	0.0414535	0.0406741
a98	0.107493	0.11436	0.164561	0.204897	0.132731	0.0914282	0.0546851	0.0309183	0.0235775	0.0223273	0.025801	0.0272205
a6	0.0574904	0.0944754	0.156308	0.200302	0.14742	0.11415	0.0746223	0.0407706	0.027575	0.0245107	0.0298747	0.0325014
a5	0.0872718	0.100845	0.130674	0.164793	0.150554	0.122027	0.080786	0.0442499	0.0284101	0.0252226	0.0300599	0.0351051
a47	0.0825408	0.0831639	0.112352	0.129146	0.140195	0.127948	0.0951383	0.0626834	0.0402122	0.0368385	0.0410469	0.0487352
a62	0.0453879	0.0490634	0.0736974	0.097381	0.14516	0.156943	0.130939	0.0896728	0.055607	0.0477965	0.0502625	0.0580895
a88	0.0376311	0.0369418	0.0490614	0.0626898	0.118674	0.15723	0.156124	0.11866	0.075593	0.0580368	0.059534	0.0698253
a75	0.0264578	0.0255347	0.0332383	0.0430148	0.0896072	0.137872	0.162349	0.146231	0.098411	0.0743802	0.07378	0.0891247
a5	0.00852999	0.00885016	0.0121497	0.0192909	0.0414811	0.0683034	0.098778	0.12582	0.141733	0.144717	0.144674	0.185673
a12	0.0152641	0.0131967	0.0144797	0.0167106	0.0327761	0.056712	0.0910739	0.129243	0.145266	0.141298	0.150785	0.193196
a61	0.0127903	0.0128497	0.0148903	0.0170515	0.0308569	0.0498311	0.0800961	0.110346	0.15008	0.154818	0.161573	0.204816
a21	0.00929808	0.00847433	0.00940468	0.0103228	0.0175922	0.0297281	0.0540091	0.0919664	0.156337	0.199125	0.199656	0.214086
a47	0.00807191	0.00784157	0.00899269	0.00992795	0.0154797	0.0229953	0.0380149	0.0630577	0.123961	0.196094	0.235362	0.270201
a21	0.00677438	0.00724463	0.00836553	0.00928976	0.015339	0.0218727	0.0334814	0.0502677	0.106989	0.184308	0.243616	0.312453
a5	0.00274885	0.00296628	0.00308816	0.00350652	0.00632497	0.00952889	0.0165675	0.0317404	0.0852832	0.186164	0.288036	0.364045
a75	0.00230552	0.00261118	0.00257964	0.00294375	0.00507773	0.00722149	0.0116427	0.0206489	0.0559723	0.153962	0.309916	0.425119
a85	0.00137318	0.00198307	0.0019881	0.00241812	0.0043873	0.00624269	0.0100892	0.0185821	0.0500214	0.138607	0.30452	0.459787
a47	0.000568717	0.000880088	0.000965724	0.0012449	0.00241539	0.00368576	0.00650312	0.0129478	0.0371224	0.11165	0.294355	0.52766
a36	0.00149823	0.00194435	0.00210147	0.00259761	0.00390499	0.00592421	0.0108842	0.02224	0.0602894	0.146227	0.286382	0.456006
a2	0.0218693	0.020194	0.0201452	0.0226852	0.0249876	0.0301612	0.0431125	0.0619554	0.0955071	0.13493	0.209548	0.314904
a57	0.126791	0.0867862	0.0676185	0.053887	0.0551152	0.0562085	0.0570789	0.0526834	0.0586708	0.0806847	0.120434	0.184042
a87	0.265597	0.166955	0.0932589	0.0510111	0.0381068	0.0351338	0.0336469	0.0348386	0.044851	0.0602136	0.0742149	0.102173
a23	0.181981	0.133351	0.079084	0.0434754	0.0343302	0.0384076	0.0485442	0.0632873	0.100316	0.103513	0.0873783	0.0863313
a38	0.11185	0.0835736	0.0514001	0.0311353	0.0263477	0.0322761	0.0430486	0.0619223	0.108307	0.135924	0.154565	0.159651
a37	0.109127	0.0701806	0.0474796	0.0390666	0.0420155	0.0476798	0.0523128	0.0622572	0.0892097	0.121349	0.156359	0.162963
</S>	0.0160761	0.0140478	0.0130059	0.0160368	0.0207722	0.0266141	0.0349783	0.0469236	0.0908779	0.159863	0.247098	0.313706
