 	la	voiture	s'	est	embourbée	dans	la	mare	</S>
a66	0.18243	0.139507	0.135975	0.145011	0.140839	0.122179	0.0699854	0.0363201	0.0277551
a82	0.12308	0.0902606	0.10259	0.112246	0.178664	0.171976	0.101728	0.0596579	0.0597967
a10	0.299541	0.211152	0.149199	0.113565	0.0819554	0.0504974	0.0311771	0.0284155	0.0344982
a38	0.270012	0.237798	0.154228	0.120993	0.0821333	0.0474771	0.0270409	0.0250402	0.0352781
a90	0.298449	0.255499	0.143311	0.119631	0.0796501	0.0420754	0.0233845	0.0183883	0.0196119
a4	0.287683	0.260346	0.147537	0.11766	0.0856097	0.0388981	0.0221177	0.017678	0.0224706
a90	0.235858	0.267259	0.165592	0.133605	0.0992755	0.0433243	0.0228669	0.0155535	0.0166665
a25	0.177248	0.216887	0.161412	0.147127	0.125702	0.0667349	0.0414197	0.0310395	0.0324301
a56	0.151259	0.176576	0.15325	0.144556	0.123888	0.0862192	0.0620503	0.0515412	0.0506602
a61	0.148302	0.173422	0.158606	0.15601	0.137307	0.0880427	0.0545041	0.0426551	0.0411507
a75	0.151938	0.134102	0.123797	0.117922	0.12312	0.116753	0.0826556	0.074419	0.0752937
a56	0.0833282	0.0864057	0.0850437	0.0944282	0.118401	0.141757	0.139322	0.130533	0.120782
a75	0.0900635	0.0811872	0.0878177	0.0978662	0.12199	0.149848	0.121882	0.119832	0.129513
a34	0.0406645	0.0378934	0.0445614	0.0540311	0.0769927	0.1417	0.185777	0.21769	0.200689
a98	0.0302792	0.0260475	0.0327514	0.0392641	0.0572421	0.11052	0.167023	0.259383	0.27749
a47	0.0138424	0.0133746	0.0151364	0.0193583	0.0276575	0.0682023	0.166489	0.333907	0.342033
a85	0.00910541	0.00772301	0.00802493	0.00911581	0.0108287	0.0283858	0.0853319	0.316062	0.525422
a0	0.00334543	0.00306096	0.00371144	0.00468721	0.00723847	0.0248834	0.103222	0.387872	0.461978
a43	0.00326541	0.00234982	0.00264053	0.0027613	0.00477727	0.0164865	0.0747899	0.31898	0.573949
a11	0.0030284	0.00241612	0.00274837	0.00291784	0.006244	0.0191894	0.0749184	0.291571	0.596967
a62	0.00758438	0.00595547	0.00846131	0.00885703	0.0155928	0.030831	0.0722906	0.241717	0.60871
a88	0.00161939	0.00154992	0.0021154	0.00238844	0.00537945	0.0166067	0.064177	0.250858	0.655305
a71	0.00140942	0.00139825	0.00216753	0.00234921	0.00492001	0.0154748	0.0650203	0.262883	0.644377
a9	0.0169049	0.0114569	0.0132065	0.013398	0.0220961	0.0455234	0.104067	0.254317	0.519029
a10	0.097476	0.0593085	0.047992	0.045154	0.0500268	0.0706104	0.0969869	0.186129	0.346316
a82	0.0779452	0.0541762	0.0484723	0.0468601	0.0583995	0.0834088	0.116014	0.195252	0.319472
a10	0.0468921	0.034353	0.0303256	0.0298339	0.041774	0.0690331	0.127049	0.25749	0.363249
a3	0.041216	0.0313319	0.0293663	0.0287578	0.0419627	0.0743734	0.138095	0.260324	0.354572
a10	0.0728939	0.060618	0.0581599	0.0545902	0.0724055	0.0913969	0.116959	0.189888	0.283088
a97	0.0587405	0.0535272	0.0511046	0.0488712	0.066234	0.0833435	0.11264	0.199015	0.326524
</S>	0.0681476	0.0617546	0.0595333	0.0583351	0.0721482	0.0883257	0.105839	0.179639	0.306277
