 	le	récolteur	de	vin	qui	venait	dans	ce	chemin	a	bifurqué	à	droite	</S>
a66	0.229409	0.13677	0.0986975	0.0646739	0.0583096	0.0791044	0.0806573	0.0704926	0.0603608	0.0510594	0.0356829	0.0123112	0.0098895	0.0125817
a87	0.331436	0.154531	0.0755726	0.0453542	0.0402012	0.0581488	0.0647407	0.0576376	0.0281784	0.0329346	0.0325089	0.0132289	0.0194817	0.0460458
a23	0.163493	0.132608	0.131231	0.104297	0.0909578	0.0781829	0.0612216	0.0540256	0.0427003	0.0395784	0.0392717	0.0204985	0.0169062	0.0250284
a87	0.132072	0.100477	0.124092	0.132516	0.147019	0.116668	0.0812154	0.0501238	0.0343247	0.0194731	0.019224	0.0126076	0.01116	0.0190273
a97	0.100775	0.0771331	0.10224	0.126466	0.16999	0.121865	0.0730084	0.0473824	0.0343601	0.024837	0.0284995	0.0270442	0.0264542	0.0399451
a87	0.121265	0.0838742	0.106287	0.120485	0.144393	0.107407	0.0683102	0.044849	0.0331228	0.0249603	0.0317562	0.0314897	0.0314409	0.0503601
a97	0.118964	0.076383	0.0918515	0.103218	0.136416	0.102565	0.0670793	0.0457576	0.035107	0.0277883	0.0363366	0.0415413	0.0440604	0.0729323
a79	0.17605	0.0977857	0.111036	0.10174	0.102518	0.0768368	0.0508095	0.0330166	0.0277574	0.0225145	0.0375787	0.05096	0.0490959	0.0623019
a69	0.3433	0.123511	0.116202	0.0761138	0.0688805	0.0610661	0.0400584	0.0249501	0.0184991	0.0118757	0.0210768	0.0229563	0.026915	0.0445965
a53	0.193776	0.114456	0.127628	0.127644	0.117755	0.102389	0.0730512	0.0425663	0.0264457	0.0137269	0.0137734	0.0116062	0.0118734	0.0233091
a15	0.0872405	0.0721602	0.120197	0.173169	0.192927	0.149391	0.0889801	0.0434972	0.0275474	0.0129331	0.0108201	0.00800355	0.00515317	0.00798117
a92	0.0595703	0.0547287	0.0967429	0.147593	0.176157	0.164954	0.108287	0.0648981	0.0432177	0.0270345	0.0218935	0.0135078	0.00857761	0.0128377
a21	0.0468064	0.055293	0.112024	0.155812	0.17409	0.163646	0.106719	0.0685104	0.0420863	0.0279913	0.0218673	0.0106757	0.00609957	0.0083798
a47	0.0412143	0.0537721	0.110398	0.172317	0.191539	0.167789	0.11043	0.0673906	0.0363011	0.0211083	0.014028	0.00594803	0.00367486	0.00408818
a62	0.0195326	0.0253615	0.06394	0.141114	0.239259	0.198678	0.122735	0.0771056	0.0424388	0.0277014	0.0201148	0.00888996	0.0058095	0.00731985
a47	0.0123345	0.019228	0.0501289	0.12436	0.218197	0.187528	0.137895	0.0989577	0.0643006	0.0384313	0.0222387	0.00827721	0.00688093	0.011242
a21	0.00824696	0.0154518	0.0362709	0.0822755	0.165921	0.171839	0.155132	0.134443	0.0939583	0.0616515	0.0377477	0.0139619	0.00890567	0.0141942
a85	0.00474688	0.0108367	0.0281712	0.0742317	0.160175	0.187825	0.163819	0.137138	0.0962337	0.0602804	0.035667	0.0160505	0.0108089	0.0140163
a5	0.00277282	0.00732874	0.0214095	0.0566907	0.124858	0.184094	0.176585	0.158492	0.102383	0.0604562	0.034035	0.0217849	0.0195166	0.0295933
a12	0.00369046	0.00691968	0.0174481	0.0416118	0.104157	0.170646	0.178164	0.171736	0.124548	0.0719908	0.0419922	0.0197222	0.0160479	0.0313254
a93	0.00284439	0.00533272	0.0120091	0.0289905	0.0708735	0.159517	0.18754	0.177569	0.145588	0.0809488	0.0480643	0.0286388	0.0226186	0.0294653
a4	0.00339844	0.00593719	0.0130693	0.0298305	0.0695792	0.156772	0.181973	0.17552	0.142613	0.0758688	0.0446604	0.0284563	0.0262265	0.0460942
a57	0.00406445	0.0062046	0.0128891	0.0285613	0.0615228	0.12682	0.14791	0.15846	0.163199	0.0949404	0.0573087	0.0368218	0.0386572	0.0626408
a53	0.00322066	0.00442169	0.00932618	0.0212829	0.0484285	0.107438	0.125703	0.151682	0.160339	0.108935	0.0810145	0.0433892	0.049005	0.0858147
a4	0.00303401	0.00368858	0.00699279	0.0145921	0.0266027	0.0523315	0.0728497	0.111827	0.183903	0.130262	0.10459	0.0783649	0.0871602	0.123802
a53	0.00140597	0.00170001	0.00325306	0.0075398	0.017802	0.0437892	0.0656734	0.0997948	0.161028	0.116552	0.0975401	0.084179	0.116861	0.182882
a4	0.00157604	0.00187519	0.00361496	0.00812765	0.0175202	0.0352238	0.0523029	0.0858648	0.154761	0.116584	0.105765	0.0969316	0.13766	0.182193
a57	0.00093036	0.00109544	0.00226377	0.00548187	0.0141147	0.030983	0.0465621	0.0730101	0.120083	0.0980254	0.0922541	0.107654	0.163071	0.244471
a40	0.00130167	0.00152141	0.00263686	0.00573439	0.0135809	0.031046	0.0406171	0.0602132	0.0981329	0.0853117	0.0801529	0.0911114	0.148044	0.340595
a6	0.00108774	0.00151606	0.00295237	0.00760654	0.0186707	0.0304835	0.0382744	0.0522512	0.0771383	0.0763267	0.0703645	0.0770095	0.160774	0.385545
a5	0.000609931	0.000898547	0.00211373	0.00614494	0.0166788	0.0271549	0.0341128	0.0470028	0.0706796	0.0612749	0.0630348	0.0848523	0.170517	0.414925
a18	0.000714812	0.00091381	0.00179024	0.00408008	0.00937875	0.0174799	0.0260147	0.039328	0.0719918	0.0596679	0.0582829	0.102592	0.192984	0.414781
a31	0.000281582	0.000324273	0.000599169	0.00135965	0.0036688	0.0082321	0.0109141	0.0155031	0.0248286	0.0240524	0.02485	0.0622838	0.226769	0.596334
a21	0.00038109	0.000414316	0.000781683	0.0017876	0.00458696	0.0108338	0.0136833	0.0180865	0.0285168	0.0295759	0.0294321	0.0723945	0.253216	0.53631
a12	0.000446214	0.000525843	0.000914196	0.00187963	0.0042899	0.00925304	0.0129989	0.0180148	0.0258115	0.0293318	0.0278392	0.0751577	0.25395	0.539587
a96	0.000213896	0.000229896	0.000425652	0.000988045	0.00278458	0.00602601	0.00734445	0.00923651	0.0127257	0.0155581	0.0159441	0.0587817	0.269478	0.600264
a5	0.000124432	0.000123808	0.000220538	0.000523787	0.00157682	0.00345445	0.00368343	0.0048113	0.00650662	0.00868412	0.009374	0.0398509	0.250494	0.670572
a96	0.000207851	0.000206714	0.000346197	0.000721784	0.00202304	0.00448451	0.00525479	0.00680032	0.00862088	0.0113692	0.0123979	0.0503405	0.249148	0.648079
a90	0.000125146	0.000116647	0.000195453	0.000443894	0.00128192	0.00286397	0.00292154	0.00385412	0.00442286	0.00705913	0.00827325	0.0400769	0.24894	0.679425
a5	7.15369e-05	7.77701e-05	0.000142655	0.000351029	0.00109061	0.00251225	0.00270204	0.0036926	0.00454214	0.00623131	0.00721387	0.0322468	0.201587	0.737538
a44	0.000204045	0.000203561	0.000317302	0.000639165	0.00158525	0.00374491	0.00409493	0.00526254	0.00588848	0.00907244	0.0108146	0.0477672	0.24909	0.661316
a13	0.000109784	0.000104746	0.000163161	0.000341427	0.000878589	0.00193942	0.00199868	0.00252798	0.0026369	0.00449754	0.00592685	0.0276818	0.214566	0.736627
a83	0.000528071	0.00043302	0.000519215	0.000883021	0.00151728	0.00289609	0.00297282	0.00378411	0.00446646	0.0106207	0.0183913	0.0652105	0.31991	0.567868
a62	0.000972422	0.000837792	0.000972815	0.00155102	0.00246134	0.00404174	0.0041276	0.00492151	0.00590031	0.0126591	0.0201271	0.0661407	0.303701	0.571586
a88	0.000156772	0.000126922	0.00016378	0.000305581	0.000749134	0.00150931	0.0014004	0.00183296	0.00207705	0.00405004	0.00522809	0.0272449	0.249115	0.706041
a70	0.00043697	0.000361123	0.000392274	0.000588344	0.000980265	0.00171553	0.00163738	0.00208885	0.0026059	0.00462668	0.0074242	0.0359774	0.256602	0.684564
a4	0.000156459	0.000135959	0.000181524	0.000360537	0.000892444	0.00171679	0.00155772	0.00214204	0.00273642	0.00531686	0.00748043	0.0309285	0.253611	0.692783
a13	0.000195969	0.000170122	0.000213216	0.00038102	0.000798663	0.00150015	0.0014326	0.00186449	0.00215789	0.00447966	0.00664953	0.0263093	0.226631	0.727216
a9	0.000200029	0.000170442	0.000204983	0.000356933	0.000738658	0.00135858	0.00123412	0.00162041	0.00199931	0.00437775	0.00723537	0.0311448	0.242681	0.706677
