 	mon	sac	est	rempli	de	noix	de	cola	</S>
a66	0.246599	0.21267	0.194833	0.139784	0.0806614	0.0572956	0.0324954	0.0197613	0.0159005
a87	0.43903	0.1997	0.0969195	0.041188	0.0458272	0.0489077	0.0420227	0.037843	0.0485619
a23	0.520473	0.266472	0.125776	0.0296853	0.011352	0.00905057	0.00966173	0.010518	0.0170111
a79	0.440117	0.227485	0.150305	0.044911	0.0234729	0.0144498	0.0142111	0.0242863	0.0607624
a66	0.435635	0.211597	0.155549	0.0508226	0.0283414	0.0218536	0.0196754	0.0296585	0.0468676
a18	0.2117	0.172809	0.176025	0.105887	0.0561273	0.0477724	0.052701	0.0842024	0.0927751
a36	0.159552	0.152119	0.157531	0.118435	0.0806775	0.0794257	0.0666388	0.0987354	0.086885
a37	0.156989	0.134373	0.146602	0.123797	0.077393	0.0663515	0.0675878	0.112752	0.114155
a54	0.109232	0.123258	0.156527	0.108894	0.100595	0.111789	0.0840025	0.108595	0.0971078
a47	0.0847279	0.112284	0.158752	0.118754	0.120153	0.1185	0.075455	0.106996	0.104378
a36	0.0469422	0.0626692	0.0943922	0.103531	0.156574	0.183994	0.0977018	0.126748	0.127446
a5	0.0757081	0.102652	0.150644	0.141354	0.11747	0.123593	0.0783969	0.09613	0.114052
a12	0.0522219	0.0758165	0.12791	0.174172	0.195023	0.15628	0.066947	0.0716841	0.0799455
a18	0.0332944	0.0534041	0.105807	0.194881	0.222458	0.185683	0.0783833	0.0621644	0.0639251
a88	0.0232574	0.0291237	0.0617652	0.170997	0.201894	0.185375	0.105749	0.0948145	0.127024
a66	0.0185677	0.0233309	0.0470149	0.139581	0.213412	0.198493	0.127789	0.105214	0.126597
a98	0.0253197	0.0255032	0.0412695	0.129432	0.163093	0.143656	0.14022	0.133956	0.197551
a47	0.0114684	0.0153072	0.0307963	0.0872043	0.121598	0.119676	0.162127	0.168771	0.283051
a37	0.0148825	0.0186172	0.0358468	0.0822715	0.0896288	0.0868585	0.131178	0.157277	0.38344
a47	0.023111	0.0273539	0.0439184	0.0970838	0.0949102	0.0785494	0.142883	0.161705	0.330486
a7	0.0170211	0.0200916	0.0322618	0.0756288	0.0769593	0.0641414	0.143741	0.174486	0.395669
a37	0.0113722	0.0123182	0.0172963	0.0348117	0.0308603	0.0282426	0.0926535	0.199027	0.573418
a62	0.0100784	0.0121856	0.0157451	0.0285661	0.0333978	0.029376	0.0997264	0.207532	0.563393
a0	0.00401468	0.00498352	0.00692216	0.0136595	0.0275913	0.0299285	0.115854	0.249196	0.547851
a24	0.00409331	0.00435223	0.0052758	0.0113824	0.0159975	0.0153711	0.0808541	0.221712	0.640962
a9	0.00315317	0.0027854	0.00320284	0.00690328	0.0102621	0.010007	0.0606315	0.188365	0.71469
a10	0.0381215	0.0349744	0.035567	0.043893	0.0317384	0.0328919	0.0974789	0.169396	0.515939
a87	0.0618253	0.0474375	0.041979	0.0409846	0.0383226	0.0425867	0.104677	0.17172	0.450467
a23	0.268426	0.188039	0.134488	0.0842532	0.0536748	0.0424836	0.0621948	0.0676721	0.0987689
a87	0.184379	0.131493	0.0831573	0.0565657	0.0549782	0.0410178	0.0810475	0.142596	0.224766
</S>	0.016875	0.0125547	0.00982405	0.00818449	0.0201692	0.0255193	0.0977509	0.251123	0.557999
