 	la	giffle	qu'	il	m'	a	donnée	a	provoqué	de	nouveau	mes	maux	de	tête	</S>
a66	0.109098	0.0731397	0.0780791	0.109038	0.158753	0.159712	0.099875	0.0460127	0.0307041	0.0251781	0.0298616	0.027151	0.0175926	0.0141995	0.0113212	0.0102847
a87	0.350168	0.208254	0.0962288	0.0415397	0.0300699	0.0259613	0.0268855	0.0195419	0.0154199	0.0196014	0.0348648	0.0274268	0.0220117	0.0241287	0.0290222	0.0288749
a10	0.387776	0.165381	0.0652557	0.0300644	0.0263579	0.0256444	0.0275731	0.0196089	0.0149943	0.0199961	0.0335659	0.0400584	0.036537	0.0318979	0.0364366	0.0388525
a50	0.329948	0.169462	0.0517803	0.0210914	0.0224171	0.0269459	0.0209001	0.019194	0.0232481	0.0328084	0.0414038	0.0525543	0.0536735	0.0438881	0.0466955	0.0439891
a96	0.323697	0.263323	0.102273	0.052054	0.0463744	0.0384868	0.0162884	0.0168056	0.0170427	0.0148776	0.0161083	0.0175989	0.0169888	0.0161932	0.0190868	0.0228014
a21	0.342407	0.314981	0.125116	0.0586823	0.0518573	0.0395675	0.0110449	0.00907103	0.00732569	0.00524483	0.0052416	0.00660235	0.00534731	0.00495655	0.00579494	0.00675997
a5	0.161705	0.261547	0.182529	0.109617	0.107135	0.0767293	0.027457	0.0202744	0.0142093	0.00743182	0.00616236	0.00706763	0.00492758	0.00418058	0.00441302	0.00461562
a12	0.154114	0.228296	0.172266	0.110266	0.0992881	0.0688943	0.0380256	0.0324143	0.0251416	0.0133122	0.0107237	0.0106596	0.00791022	0.00755063	0.00926668	0.0118722
a31	0.128426	0.16993	0.184273	0.145958	0.118005	0.0762178	0.0467108	0.0319414	0.0237277	0.0152175	0.0123895	0.0105242	0.00873766	0.00813026	0.00893349	0.0108773
a88	0.105298	0.155656	0.177229	0.145866	0.116835	0.0869413	0.0511067	0.0284173	0.0213251	0.0187927	0.0184729	0.0167994	0.0151971	0.013645	0.0136126	0.0148058
a21	0.0393091	0.0693404	0.116422	0.148885	0.138343	0.125497	0.0964801	0.0496458	0.0374421	0.0346633	0.0329548	0.0250341	0.0203542	0.0189535	0.020741	0.0259345
a75	0.0301435	0.0524257	0.111041	0.159698	0.151169	0.132143	0.0933385	0.0464946	0.0357023	0.032668	0.0340242	0.026757	0.0241083	0.0223545	0.0221436	0.0257887
a25	0.00884769	0.0195813	0.0665045	0.137804	0.141798	0.131215	0.12847	0.0790946	0.0619276	0.0438857	0.0421984	0.0339217	0.0278046	0.024999	0.0244899	0.0274566
a79	0.00630835	0.0147205	0.0530363	0.12408	0.140604	0.146911	0.159083	0.0851179	0.0637953	0.0456323	0.0414094	0.0267943	0.0213281	0.0203663	0.022526	0.0282877
a44	0.0137382	0.0281327	0.0677619	0.125178	0.116368	0.1137	0.12026	0.0506539	0.0388495	0.0350623	0.0383685	0.0350583	0.0395787	0.0440098	0.0563045	0.0769755
a98	0.00906147	0.0129094	0.0238044	0.0699683	0.0873182	0.110365	0.107801	0.0544489	0.0533044	0.0619879	0.0675233	0.0480389	0.0527405	0.0586261	0.0736653	0.108437
a6	0.00829866	0.014718	0.0317974	0.0822408	0.0997899	0.10859	0.11615	0.0686112	0.0625894	0.0487947	0.0502133	0.0432607	0.0454487	0.0485861	0.0663682	0.104544
a36	0.00694899	0.0120237	0.0233905	0.0590233	0.0784322	0.0912516	0.101945	0.0682349	0.0667051	0.058612	0.0642091	0.057642	0.0597572	0.0606074	0.077969	0.113248
a2	0.00936002	0.010984	0.0137436	0.0290688	0.0463281	0.0772686	0.099184	0.0809366	0.0849463	0.0856544	0.0892757	0.0541549	0.0567817	0.0585752	0.0781402	0.125598
a38	0.0265471	0.0271697	0.0278178	0.0374859	0.0429544	0.068989	0.103948	0.0762251	0.0684173	0.0848459	0.0934911	0.0600998	0.0553284	0.0545138	0.0721609	0.100005
a88	0.0245871	0.0219553	0.0214952	0.0283032	0.0359043	0.0583397	0.0923017	0.0716828	0.0698809	0.0830537	0.0916266	0.0625879	0.0622509	0.0623325	0.0846648	0.129033
a71	0.00616877	0.00668519	0.00905511	0.0183991	0.0283025	0.0490342	0.0714889	0.0761223	0.078773	0.0949585	0.109006	0.0871203	0.0792063	0.0762771	0.0846725	0.124731
a9	0.00677341	0.00767682	0.0107387	0.0187285	0.0252391	0.0409541	0.0741458	0.0778169	0.0796855	0.100907	0.108466	0.086341	0.0779793	0.0757012	0.0866071	0.122239
a38	0.0091657	0.0113304	0.017204	0.0231968	0.0282066	0.0389628	0.0706742	0.065562	0.0692566	0.108045	0.101068	0.0899853	0.0979655	0.0935458	0.08973	0.0861011
a70	0.00583371	0.00642048	0.0100884	0.0153167	0.0210847	0.0322339	0.063666	0.0648004	0.0715343	0.0915575	0.0908467	0.0821321	0.0848596	0.0883294	0.112815	0.158481
a83	0.00145594	0.00177829	0.00322671	0.00652518	0.00984106	0.0133143	0.0219773	0.0332521	0.0398755	0.0505239	0.0570628	0.076385	0.098552	0.123391	0.181015	0.281824
a0	0.00133196	0.00165729	0.00345176	0.00785531	0.0125877	0.0175617	0.030538	0.0428656	0.0469205	0.0584913	0.0595862	0.07209	0.089826	0.11499	0.173428	0.266818
a11	0.00130406	0.0015459	0.00299154	0.0063717	0.0093803	0.0131726	0.0223841	0.0334298	0.0393987	0.0536805	0.0535713	0.0652396	0.0934818	0.126275	0.201239	0.276534
a66	0.00266244	0.00282467	0.00420388	0.00793019	0.0109148	0.0159446	0.0272501	0.0436475	0.0561043	0.0839599	0.0719613	0.0738857	0.103723	0.128187	0.177129	0.189672
a11	0.000865579	0.000844113	0.00126271	0.00247022	0.00354014	0.00517386	0.0122683	0.0269631	0.0400507	0.0612422	0.0517764	0.0617384	0.103963	0.142029	0.223029	0.262784
a88	0.00148476	0.00147971	0.0021595	0.00418993	0.00597116	0.00853972	0.0158899	0.0309095	0.0442056	0.0668174	0.0558701	0.0631616	0.105909	0.141169	0.213575	0.238668
a71	0.00123863	0.00120592	0.00180807	0.00391923	0.00557497	0.00794689	0.015158	0.0251836	0.0327607	0.0483999	0.041286	0.0480553	0.0891567	0.137214	0.240438	0.300654
a53	0.00248954	0.00230845	0.0029394	0.00545571	0.00691098	0.00964899	0.0172413	0.0332692	0.0481901	0.0745078	0.0596359	0.0571632	0.101147	0.139617	0.215339	0.224137
a4	0.000141441	0.00015249	0.00031535	0.000951597	0.00188787	0.00301905	0.00819133	0.0163854	0.0220111	0.0312812	0.0297085	0.0393731	0.0806285	0.140401	0.263927	0.361625
a13	0.000211635	0.000215699	0.000398726	0.00106028	0.0017121	0.00266708	0.00776306	0.0155343	0.020575	0.0327076	0.0310664	0.0402069	0.0793879	0.130115	0.260944	0.375434
a53	0.000406215	0.000366404	0.000570568	0.00130648	0.00175594	0.0025753	0.00700051	0.017585	0.0249329	0.0388894	0.0362424	0.0428651	0.0896967	0.145363	0.2676	0.322844
a69	0.000262888	0.00025498	0.000448177	0.00114202	0.00166781	0.00256907	0.00667184	0.0145741	0.0198557	0.0329431	0.0332871	0.0402525	0.0834885	0.140135	0.269674	0.352773
a58	0.000202785	0.000207138	0.000380263	0.000960095	0.00135882	0.00218175	0.00590787	0.0128681	0.0175598	0.0241266	0.0275293	0.0385001	0.0795598	0.137683	0.268635	0.38234
