 	il	m'	a	aidé	à	faire	ma	case	</S>
a23	0.141683	0.133689	0.123543	0.137435	0.148772	0.123033	0.092054	0.0553555	0.0444348
a87	0.202027	0.141319	0.132217	0.146836	0.104976	0.0788198	0.0681964	0.0641327	0.0614758
a23	0.153941	0.139011	0.127609	0.135204	0.100255	0.0883753	0.082653	0.0860938	0.0868573
a79	0.169217	0.142992	0.125788	0.154121	0.11566	0.0989068	0.0793068	0.0593457	0.0546629
a20	0.339788	0.183723	0.117324	0.111149	0.0940339	0.0658565	0.0363431	0.0277326	0.0240493
a30	0.28065	0.17797	0.137788	0.135133	0.122394	0.0718639	0.0349895	0.0223439	0.0168684
a41	0.258584	0.200297	0.163925	0.149872	0.113734	0.0565329	0.0263911	0.017181	0.0134837
a24	0.254898	0.202464	0.15867	0.143873	0.108585	0.0615895	0.0317546	0.0208217	0.0173449
a41	0.238426	0.188256	0.155297	0.13994	0.115269	0.0690202	0.0397546	0.0283497	0.0256865
a14	0.170376	0.169664	0.155433	0.154725	0.130011	0.0795376	0.0508388	0.0435003	0.0459142
a35	0.184357	0.172486	0.150514	0.146666	0.129002	0.0844315	0.0519414	0.0404687	0.0401336
a66	0.145363	0.142125	0.135871	0.153817	0.143852	0.105318	0.0683004	0.0525683	0.0527848
a26	0.0895283	0.0905655	0.0987099	0.131487	0.141788	0.119771	0.106945	0.101827	0.119379
a32	0.101002	0.100994	0.106995	0.135835	0.142095	0.128766	0.110335	0.0883203	0.0856567
a75	0.0926268	0.0963221	0.10048	0.129423	0.138064	0.128888	0.116543	0.101657	0.0959963
a35	0.0613695	0.0629185	0.0705502	0.105724	0.125348	0.140488	0.149244	0.136724	0.147633
a26	0.0342893	0.0387766	0.0492701	0.0846356	0.105652	0.146412	0.181173	0.178004	0.181787
a24	0.0157447	0.0165816	0.022265	0.046699	0.0659866	0.114105	0.194773	0.247323	0.276522
a25	0.00785677	0.00794017	0.0110229	0.0244449	0.0402267	0.0834914	0.179558	0.279193	0.366266
a38	0.00877205	0.00789847	0.0108495	0.0247413	0.039682	0.0814618	0.18169	0.279037	0.365868
a76	0.00696162	0.00622577	0.00893975	0.020818	0.0306117	0.063556	0.166124	0.28039	0.416374
a35	0.00640895	0.00675806	0.0103033	0.0207933	0.0278119	0.0530196	0.147038	0.283967	0.4439
a14	0.00427423	0.00438592	0.00678513	0.0146492	0.0193471	0.0414775	0.136002	0.291123	0.481957
a35	0.00419665	0.00438221	0.00731322	0.0154564	0.0200016	0.03933	0.119365	0.28078	0.509174
a14	0.00420921	0.00411545	0.00641195	0.0128644	0.0175709	0.0376026	0.122071	0.27821	0.516944
a35	0.00395706	0.00416509	0.00720581	0.0138456	0.019223	0.0401546	0.128832	0.291678	0.490939
a66	0.00313287	0.00341209	0.0061484	0.0130146	0.018591	0.0387505	0.128524	0.287949	0.500477
a24	0.00387792	0.00371929	0.00593713	0.012928	0.0171384	0.0352382	0.130575	0.27767	0.512916
a98	0.0064638	0.0064099	0.00975486	0.0192898	0.0226336	0.0446042	0.137924	0.26105	0.49187
a25	0.0042302	0.00441368	0.00767526	0.0163412	0.0215869	0.0441604	0.139444	0.282508	0.479641
a87	0.00429219	0.00418569	0.00632038	0.0131261	0.0177285	0.0361819	0.133497	0.278701	0.505967
</S>	0.00977618	0.0114672	0.0160456	0.0295644	0.0376601	0.0664144	0.172806	0.269123	0.387143
