 	les	jeunes	ont	refusé	d'	aller	enterrer	mademoiselle	angondo	parce	qu'	elle	prononçait	des	malédictions	à	leur	endroit	de	son	vivant	</S>
a66	0.111199	0.134963	0.116275	0.11114	0.0780354	0.0504415	0.0546866	0.0546551	0.0384771	0.0303659	0.0259322	0.030782	0.040251	0.0395129	0.0357279	0.0228237	0.0133048	0.00521169	0.00196763	0.00143026	0.00135643	0.00146092
a87	0.261969	0.106465	0.0336706	0.0434858	0.040085	0.0347289	0.0412857	0.0296716	0.0319771	0.0320625	0.0438121	0.0462335	0.0537538	0.042001	0.0284848	0.0169131	0.0115539	0.010819	0.0144205	0.0252883	0.0272769	0.0240411
a23	0.0996856	0.0564448	0.039184	0.0614552	0.0696496	0.0754359	0.0938888	0.0814357	0.0689979	0.0431095	0.0499324	0.0462433	0.0534644	0.0454897	0.0322436	0.0204674	0.0138277	0.00948472	0.00797378	0.00951971	0.0112496	0.0108167
a87	0.0943388	0.0602309	0.0478907	0.0804909	0.078663	0.0738039	0.0864243	0.0561216	0.0522276	0.0354066	0.040811	0.0460613	0.0569866	0.0403972	0.0272647	0.0203795	0.0148488	0.0154915	0.0138156	0.0172994	0.0209347	0.0201114
a40	0.0754729	0.0504689	0.0449734	0.0793159	0.0802962	0.0776433	0.0837648	0.0607194	0.0548391	0.0382614	0.0431175	0.0497208	0.0633448	0.0471936	0.0340887	0.0257522	0.0186412	0.0179211	0.0140912	0.0140228	0.0133672	0.0129835
a2	0.248642	0.152176	0.0810838	0.0418295	0.0327345	0.0310344	0.0378143	0.0313888	0.0213163	0.0156127	0.0129127	0.0143184	0.0179933	0.0166003	0.0149875	0.0196912	0.026414	0.0257732	0.0289216	0.040219	0.0483617	0.0401754
a11	0.259656	0.147951	0.107234	0.0665518	0.0409923	0.0246337	0.0289984	0.0225114	0.0131747	0.0104473	0.00848308	0.00894155	0.0107078	0.0105869	0.0120142	0.0150048	0.0207883	0.022802	0.0276547	0.0382527	0.0495526	0.0530618
a12	0.187472	0.101684	0.0881587	0.0812434	0.0606519	0.0456495	0.0441278	0.0376639	0.0246499	0.0198466	0.0174043	0.0148197	0.0158001	0.0137803	0.0141837	0.0168372	0.0230344	0.0286177	0.0364573	0.0429762	0.0404932	0.0444475
a94	0.117668	0.0881297	0.101586	0.103187	0.0755174	0.0601752	0.0417621	0.0454873	0.0339322	0.0305541	0.0271735	0.0191993	0.0172941	0.014632	0.0149098	0.0184684	0.0258265	0.0295819	0.0308701	0.0292869	0.0303008	0.0444585
a98	0.0934461	0.0843531	0.101901	0.104888	0.07934	0.0636766	0.0430639	0.0506435	0.0388838	0.0360834	0.0313749	0.0207363	0.0175203	0.0142354	0.0141187	0.0172417	0.0238683	0.0268679	0.0269664	0.0249625	0.0328756	0.0529527
a47	0.0520725	0.0641272	0.0929477	0.097402	0.0793972	0.0658615	0.0473798	0.0547056	0.0416558	0.0436149	0.0379438	0.0222596	0.0176733	0.0125376	0.0113209	0.0131485	0.0174763	0.0234087	0.028287	0.0334708	0.0560699	0.0872393
a7	0.0556894	0.0677399	0.0928383	0.100338	0.080883	0.0646802	0.0467156	0.0554127	0.0436156	0.0393417	0.0337107	0.0243885	0.0204789	0.0161403	0.0149758	0.0155169	0.0184018	0.0213761	0.023506	0.0255402	0.0485843	0.0901266
a98	0.0585061	0.0684906	0.0842233	0.0909526	0.0752317	0.0625956	0.0500116	0.0581557	0.0488549	0.0415671	0.0358604	0.0267924	0.0225685	0.0194573	0.0181496	0.0195565	0.0244549	0.0268259	0.0261011	0.0258223	0.0443545	0.0714673
a47	0.046214	0.0561068	0.0635714	0.0630928	0.0527419	0.0430031	0.0309236	0.0430934	0.03721	0.0374614	0.0316935	0.0241749	0.0214861	0.019245	0.0178888	0.0197811	0.0261544	0.0296681	0.0314193	0.0391329	0.0886031	0.177334
a36	0.0266588	0.0459766	0.0761511	0.0996042	0.0857426	0.0677795	0.0456234	0.056349	0.050651	0.0488763	0.039777	0.032398	0.0275914	0.0221584	0.0204086	0.0188589	0.0196521	0.0206799	0.0223847	0.0268929	0.05222	0.0935655
a56	0.0118355	0.0254956	0.0485428	0.0811621	0.0819734	0.0797482	0.0613917	0.0705433	0.0706533	0.0652445	0.0539449	0.0428536	0.0360315	0.0298794	0.0260478	0.0229855	0.020718	0.0189784	0.0165037	0.0194148	0.0422151	0.073837
a93	0.0117768	0.0235802	0.0327038	0.048253	0.0501608	0.0496311	0.0400961	0.0541851	0.0627038	0.0742993	0.0740694	0.0629757	0.0572668	0.0563914	0.0539345	0.0527969	0.0489501	0.0327046	0.0193442	0.0185642	0.0282837	0.0473284
a70	0.00547075	0.0132178	0.0257877	0.0453936	0.0492407	0.0520817	0.0388158	0.0507333	0.0625167	0.083526	0.0850397	0.0684225	0.059425	0.0536494	0.0500519	0.0496036	0.0473634	0.0339219	0.0210235	0.0204838	0.0308196	0.0534116
a96	0.00298816	0.0062596	0.0152982	0.0365829	0.0530072	0.0691518	0.0558533	0.0581215	0.0712635	0.0987942	0.103973	0.0878085	0.077857	0.0525875	0.0383907	0.0306734	0.022067	0.0175042	0.0111292	0.0129387	0.0302309	0.0475198
a66	0.00259719	0.00467478	0.0103709	0.0271594	0.0420862	0.0548981	0.0442054	0.0515986	0.0643612	0.0984401	0.103444	0.0881361	0.0792073	0.0583136	0.0443687	0.03743	0.0296347	0.0229664	0.0146841	0.0175542	0.041526	0.0623429
a71	0.00371929	0.00736245	0.0191936	0.0405125	0.0573499	0.0710578	0.0597783	0.0679665	0.0768979	0.125036	0.138625	0.0981716	0.0742126	0.0436649	0.0320476	0.0249389	0.0144843	0.0100265	0.00544328	0.00515441	0.01016	0.014196
a38	0.00494251	0.00792835	0.0212159	0.0436028	0.06039	0.0764801	0.0670145	0.0702443	0.0797596	0.116575	0.130045	0.0870621	0.0632555	0.037645	0.0298863	0.0254892	0.0171735	0.0137894	0.00738298	0.00618351	0.0134895	0.0204449
a70	0.00596465	0.00704307	0.0132999	0.0277436	0.0435797	0.0585962	0.0580208	0.0623039	0.081855	0.114047	0.12253	0.08603	0.0647518	0.0417286	0.031991	0.0270124	0.017912	0.0156154	0.0105717	0.0126262	0.0390375	0.0577391
a66	0.00288899	0.00459074	0.00983179	0.0195375	0.0270617	0.0337686	0.0280926	0.0306231	0.0470554	0.0799784	0.0859091	0.0652662	0.0532951	0.0396553	0.031884	0.0340535	0.0340417	0.0329041	0.0267017	0.0343916	0.100859	0.17761
a75	0.00424886	0.00705867	0.018286	0.0341429	0.0448782	0.0518789	0.0425842	0.0462053	0.0626032	0.118799	0.142818	0.101828	0.0787454	0.0474385	0.0373056	0.0346297	0.0242083	0.0199401	0.0107049	0.0101419	0.0249408	0.0366133
a12	0.00197849	0.00340269	0.00669652	0.0125764	0.015101	0.0184075	0.0170597	0.0193775	0.0276106	0.0454502	0.0453633	0.0351439	0.0297714	0.0281202	0.025203	0.0293957	0.0367463	0.039915	0.0392589	0.0532674	0.168009	0.302145
