 	il	se	mit	à	bailler	</S>
a23	0.294028	0.12376	0.0916703	0.0877807	0.174979	0.227782
a53	0.236546	0.174717	0.170279	0.117883	0.139724	0.160851
a20	0.317577	0.20542	0.178293	0.114235	0.106046	0.078429
a73	0.360104	0.221091	0.189901	0.111662	0.0810092	0.0362336
a44	0.365454	0.256067	0.20782	0.0900528	0.0539296	0.026676
a96	0.3559	0.245633	0.190522	0.0893658	0.0699146	0.0486646
a24	0.285983	0.227042	0.202309	0.125716	0.0933273	0.0656231
a98	0.245548	0.206135	0.202788	0.154499	0.105749	0.0852815
a73	0.239324	0.189778	0.203235	0.177905	0.112867	0.0768926
a84	0.210608	0.173684	0.188406	0.167643	0.140027	0.119632
a38	0.0948684	0.121437	0.146008	0.196322	0.203611	0.237754
a41	0.0707146	0.0904972	0.122085	0.210588	0.261207	0.244909
a24	0.0657202	0.0727587	0.102784	0.191676	0.277431	0.28963
a25	0.0279279	0.0288096	0.0421623	0.122443	0.283081	0.495577
a38	0.0318622	0.0360018	0.0436662	0.0938316	0.249054	0.545584
a41	0.0314738	0.0349392	0.0407675	0.0889405	0.240484	0.563395
a27	0.0228308	0.0254393	0.0307033	0.0775805	0.241356	0.60209
a54	0.0181213	0.0247028	0.0331365	0.0626317	0.178938	0.68247
a73	0.0255662	0.0297695	0.0339026	0.0606951	0.188807	0.66126
a84	0.014159	0.0173566	0.0209899	0.0475393	0.185455	0.7145
a57	0.0103123	0.0130561	0.0203389	0.0625898	0.209539	0.684164
a87	0.0252912	0.0221008	0.0364142	0.101887	0.232978	0.581329
</S>	0.00860558	0.00773679	0.0141143	0.0542508	0.232764	0.682529
