 	la	manière	dont	il	a	laissé	cette	affaire	montre	qu'	il	garde	encore	rancune	</S>
a66	0.133389	0.087818	0.0610641	0.0561692	0.071567	0.0771947	0.0640705	0.0743564	0.110418	0.120435	0.0741758	0.0426477	0.0140463	0.00768046	0.00496791
a87	0.101283	0.0717704	0.0577281	0.0448069	0.0531152	0.0633888	0.081837	0.0989201	0.100065	0.0824164	0.0781566	0.0566216	0.0421729	0.0368262	0.0308918
a23	0.221985	0.171638	0.0979933	0.0466721	0.0392541	0.03939	0.0455703	0.0501211	0.0703155	0.0548501	0.0448043	0.0386094	0.0306226	0.0255211	0.0226532
a87	0.170552	0.223173	0.139479	0.0527197	0.0383126	0.0409368	0.0395564	0.0409869	0.0546001	0.0575891	0.0483635	0.0383092	0.024643	0.0174291	0.013349
a23	0.153235	0.222677	0.158869	0.0652055	0.041157	0.0401038	0.0341171	0.0375327	0.049717	0.0524681	0.0491907	0.0442638	0.0246753	0.0148002	0.0119874
a87	0.163663	0.221014	0.13186	0.0378056	0.0243898	0.0278532	0.0273003	0.0342941	0.0436148	0.0523002	0.0610688	0.07463	0.043443	0.0309226	0.0258412
a23	0.162665	0.181221	0.121039	0.0460037	0.0346573	0.0346928	0.0294773	0.0368976	0.0454295	0.053445	0.062583	0.0806745	0.0548601	0.0347772	0.0215768
a50	0.176928	0.22467	0.127158	0.0369856	0.0245246	0.0241824	0.0213721	0.0263717	0.0303845	0.0389979	0.0513834	0.083727	0.0578746	0.043565	0.0318749
a83	0.217866	0.215476	0.122776	0.0488133	0.0307556	0.0244546	0.0152096	0.0169808	0.0202224	0.0292156	0.0322896	0.0667022	0.0677047	0.0641168	0.0274174
a38	0.24656	0.317042	0.163903	0.0575239	0.0299637	0.023759	0.0164887	0.0146194	0.0147123	0.0169485	0.0135318	0.0194864	0.0207565	0.0250815	0.0196236
a70	0.197586	0.261553	0.171447	0.0807301	0.0402519	0.0323073	0.0231247	0.0185869	0.0182598	0.0197475	0.0150985	0.0198511	0.0256327	0.0400647	0.0357584
a96	0.138651	0.193828	0.196918	0.125902	0.065193	0.050823	0.0338666	0.0240039	0.0238925	0.0244861	0.0155937	0.0189285	0.0236318	0.0340433	0.0302386
a34	0.12597	0.171617	0.184311	0.127245	0.0681281	0.0557577	0.0389636	0.0265076	0.0255683	0.0263167	0.0166073	0.0198089	0.0265346	0.0432436	0.043421
a47	0.119054	0.158455	0.179441	0.134097	0.0820127	0.0665337	0.0477966	0.0323992	0.0319426	0.0339988	0.0195155	0.0196031	0.0215352	0.0270913	0.0265235
a96	0.071404	0.103233	0.11955	0.119687	0.0973745	0.100795	0.0856214	0.0613861	0.0538058	0.055348	0.0323445	0.0257544	0.0248382	0.0249511	0.0239081
a18	0.0529144	0.0790689	0.117699	0.126076	0.109161	0.108867	0.0893615	0.0639662	0.0585703	0.0619023	0.0339581	0.024489	0.0216541	0.0234244	0.0288878
a70	0.0201003	0.0292657	0.0561936	0.0766379	0.0903157	0.118247	0.12406	0.0916259	0.0774043	0.0862368	0.0533802	0.0381674	0.0370283	0.047301	0.0540363
a93	0.0164998	0.0242531	0.0435474	0.0759209	0.100156	0.130833	0.141671	0.106872	0.0833037	0.0865711	0.0506247	0.031632	0.0274727	0.0345555	0.0460859
a12	0.0151242	0.0202151	0.0379131	0.0754359	0.105816	0.131601	0.135838	0.111187	0.0948096	0.0956185	0.0573956	0.0360028	0.0229566	0.0236737	0.0364132
a47	0.010718	0.0147173	0.0257369	0.0573145	0.0974035	0.130139	0.141618	0.119279	0.0974078	0.0976333	0.0620091	0.0436353	0.0312175	0.0286442	0.042526
a62	0.00568092	0.00847988	0.0159372	0.0462452	0.100078	0.147647	0.162501	0.139186	0.103777	0.0947455	0.056318	0.0349941	0.0242889	0.0232568	0.0368641
a70	0.00601263	0.0081093	0.0140757	0.0374252	0.0843229	0.129027	0.165239	0.147369	0.10544	0.0995569	0.0710972	0.0475983	0.0293913	0.0227987	0.0325361
a90	0.00399755	0.0057561	0.00967778	0.0233271	0.0555908	0.110138	0.173877	0.160725	0.105973	0.0982284	0.0689718	0.0520441	0.0381827	0.0379272	0.0555841
a56	0.00189068	0.0028291	0.00571936	0.0177474	0.0485456	0.0974759	0.159588	0.154682	0.105664	0.105191	0.0817549	0.0657588	0.0476615	0.0435321	0.0619591
