 	cet	homme	courtisait	ta	soeur	</S>
a66	0.341857	0.285676	0.250609	0.0710105	0.0293548	0.0214926
a87	0.523291	0.290461	0.123137	0.029511	0.0146379	0.0189619
a23	0.644536	0.245036	0.0506483	0.0144794	0.0157501	0.0295498
a83	0.566067	0.210084	0.0745722	0.0352693	0.0420518	0.0719561
a54	0.296724	0.187495	0.104963	0.107448	0.13887	0.164499
a6	0.300895	0.279109	0.191145	0.091013	0.0665919	0.0712462
a36	0.232182	0.2377	0.211234	0.133182	0.0926301	0.0930718
a5	0.217089	0.204228	0.207917	0.132501	0.11315	0.125116
a37	0.230185	0.243182	0.246108	0.100199	0.0827611	0.0975649
a85	0.214896	0.267499	0.266259	0.0844517	0.0718364	0.095058
a47	0.131135	0.185397	0.223288	0.135385	0.137988	0.186808
a36	0.144413	0.207042	0.217466	0.0942025	0.129217	0.207659
a26	0.117415	0.204565	0.257509	0.106772	0.126103	0.187635
a44	0.0750943	0.133582	0.246002	0.157737	0.165268	0.222316
a93	0.0636766	0.0961304	0.182009	0.182834	0.196195	0.279155
a75	0.0653203	0.101904	0.201963	0.236695	0.175898	0.218221
a79	0.0140965	0.0247954	0.0614642	0.207034	0.292731	0.399879
a98	0.0074596	0.0135242	0.0362799	0.202447	0.31769	0.422599
a92	0.00563353	0.00955405	0.0240981	0.182976	0.324038	0.4537
a37	0.00273183	0.00454229	0.0125853	0.156642	0.334677	0.488821
a11	0.00347023	0.00388926	0.00609914	0.0831781	0.320682	0.582682
a93	0.00219696	0.00223384	0.00327456	0.0429094	0.277665	0.67172
a96	0.00351636	0.00371463	0.0055961	0.052367	0.278854	0.655952
a70	0.00124362	0.00164918	0.0031133	0.037735	0.273343	0.682916
a13	0.00172059	0.00225914	0.00429977	0.0485986	0.271538	0.671584
a99	0.00383034	0.00485267	0.0097892	0.0839178	0.283904	0.613706
a87	0.00827581	0.00848451	0.0160194	0.102187	0.315037	0.549996
a23	0.331317	0.141207	0.0848258	0.115073	0.149384	0.178194
a87	0.139927	0.069151	0.0492035	0.101866	0.212106	0.427747
</S>	0.087645	0.0355177	0.0199374	0.0609147	0.228803	0.567182
