 	des	larmes	coulent	des	yeux	de	ce	malade	</S>
a79	0.24867	0.121176	0.134607	0.104827	0.0829651	0.0841576	0.0709214	0.0747952	0.0778815
a69	0.264147	0.128993	0.14973	0.0769501	0.0542452	0.0686906	0.0767549	0.0894287	0.0910605
a58	0.53727	0.251119	0.0458903	0.0350434	0.0249445	0.0267995	0.0210236	0.0231899	0.0347193
a90	0.513831	0.302566	0.0419804	0.0226464	0.0146467	0.0183848	0.0189275	0.0243883	0.0426289
a92	0.29986	0.262279	0.102942	0.0646701	0.0428474	0.0477681	0.0477648	0.0530237	0.0788453
a56	0.161437	0.147874	0.120106	0.13045	0.0994531	0.0875485	0.0760449	0.0749563	0.10213
a75	0.13531	0.193145	0.198914	0.111653	0.0693808	0.0641294	0.0639767	0.0680164	0.0954739
a61	0.109322	0.136765	0.166853	0.150454	0.108343	0.0863749	0.0729208	0.0702264	0.0987409
a75	0.111902	0.159229	0.252247	0.128495	0.0773931	0.0670504	0.0611413	0.0611422	0.0814
a12	0.0595867	0.0855563	0.206972	0.174487	0.131474	0.101903	0.0807942	0.0703288	0.0888978
a0	0.0700432	0.103077	0.279708	0.17747	0.11155	0.0853588	0.061333	0.0513865	0.0600737
a70	0.0589487	0.0903647	0.292134	0.199618	0.112221	0.084597	0.0581717	0.048398	0.0555464
a90	0.0347832	0.0569499	0.24629	0.224086	0.140403	0.105049	0.0698632	0.0577182	0.0648574
a25	0.0270818	0.0483579	0.183558	0.208698	0.167436	0.127078	0.0898998	0.0684258	0.0794646
a56	0.0146754	0.0272055	0.138287	0.212389	0.196441	0.145417	0.0977427	0.0751227	0.0927208
a75	0.0206231	0.0328916	0.122482	0.191979	0.195941	0.15715	0.105907	0.07778	0.0952459
a85	0.0218814	0.0347218	0.0882072	0.138434	0.170398	0.150292	0.139392	0.120015	0.136658
a5	0.0322631	0.0441393	0.0794964	0.132894	0.169832	0.129137	0.123642	0.123829	0.164767
a18	0.033186	0.0413182	0.0756703	0.126156	0.188309	0.166552	0.133795	0.102974	0.132039
a61	0.0146428	0.0216311	0.0691048	0.098923	0.142872	0.141515	0.125148	0.127772	0.25839
a21	0.0279183	0.0325596	0.060991	0.102829	0.161496	0.182309	0.164102	0.123729	0.144065
a61	0.0319614	0.0387684	0.0532587	0.0811721	0.129633	0.152614	0.159802	0.15639	0.196401
a96	0.00823374	0.0164855	0.0622277	0.0916832	0.142144	0.152765	0.16721	0.154845	0.204406
a75	0.00513497	0.0105187	0.0525398	0.0782292	0.123321	0.139429	0.165955	0.171541	0.253332
a85	0.0154555	0.019467	0.0382865	0.0817779	0.132191	0.147338	0.160688	0.165789	0.239007
a27	0.0360686	0.0380153	0.0446245	0.078211	0.122443	0.124733	0.142128	0.163027	0.25075
a75	0.00208679	0.0031447	0.0215122	0.0455862	0.0808377	0.104892	0.164312	0.227801	0.349828
a6	0.0110339	0.0131122	0.0349237	0.0790926	0.132535	0.146528	0.172166	0.177455	0.233154
a37	0.0038856	0.00530632	0.0265257	0.061777	0.110247	0.127854	0.175558	0.201372	0.287474
a70	0.00127984	0.00199095	0.0148634	0.0347147	0.0667546	0.087485	0.152142	0.231459	0.409311
a54	0.0011642	0.00182695	0.0127733	0.0262444	0.0517061	0.0655691	0.128616	0.230479	0.48162
a36	0.00173517	0.00218331	0.0161414	0.0328493	0.0539562	0.0699398	0.139862	0.240982	0.442351
a2	0.000712075	0.000690388	0.00436263	0.0113123	0.0252154	0.0387675	0.105206	0.259236	0.554498
a57	0.0107557	0.00540646	0.00858415	0.0201049	0.0415652	0.0695619	0.144878	0.276478	0.422666
a87	0.0546652	0.0299185	0.0172697	0.0400264	0.0920003	0.154568	0.195866	0.215969	0.199717
a23	0.0781321	0.0513827	0.0272537	0.0685725	0.125006	0.168872	0.174974	0.169707	0.1361
a87	0.0361435	0.0243342	0.015769	0.0548137	0.123866	0.161953	0.176341	0.195642	0.211138
</S>	0.0113432	0.00961074	0.0159766	0.0533314	0.113758	0.154229	0.19849	0.225784	0.217477
