 	il	a	arrêté	le	voleur	</S>
a23	0.321382	0.211283	0.149396	0.125485	0.0954036	0.0970511
a20	0.412755	0.195281	0.12508	0.106752	0.0871622	0.0729697
a73	0.341615	0.233863	0.176641	0.12256	0.0707237	0.0545974
a35	0.452554	0.306893	0.144522	0.0608727	0.0233257	0.0118322
a24	0.4258	0.307244	0.151452	0.0659699	0.030514	0.0190202
a32	0.274613	0.238428	0.179082	0.136108	0.0983506	0.073418
a25	0.207606	0.186467	0.16648	0.161456	0.150012	0.127979
a38	0.187111	0.165673	0.156599	0.164134	0.167005	0.159478
a73	0.131216	0.114207	0.125692	0.159965	0.210136	0.258784
a38	0.0820711	0.0710698	0.0906404	0.141437	0.240818	0.373965
a14	0.0412859	0.0381391	0.0594412	0.11562	0.256486	0.489028
a73	0.0303762	0.0342328	0.0666866	0.133098	0.269368	0.466238
a35	0.0204748	0.0205542	0.0376209	0.0808123	0.246618	0.59392
a94	0.0139547	0.0147818	0.0314891	0.0697485	0.225906	0.64412
a4	0.00789173	0.00939499	0.0245289	0.0617456	0.219081	0.677358
a13	0.00569302	0.00716163	0.0186436	0.0540056	0.208435	0.706061
a3	0.00707878	0.0122329	0.0357879	0.0812213	0.208303	0.655376
a87	0.0193074	0.0299883	0.0592331	0.0963862	0.222542	0.572543
</S>	0.0237725	0.0346167	0.0675998	0.116037	0.256158	0.501816
