 	cet	homme	nous	avait	très	bien	reçus	chez	lui	</S>
a66	0.222758	0.220755	0.152848	0.118381	0.0826266	0.0821007	0.0668276	0.0320759	0.01269	0.00893661
a87	0.288127	0.291228	0.128572	0.0548338	0.0434441	0.0641684	0.0592829	0.0415321	0.0156272	0.0131842
a23	0.328961	0.234734	0.112343	0.0718886	0.0522944	0.0691149	0.0477611	0.0294184	0.0201414	0.0333434
a87	0.371848	0.253266	0.0985896	0.0523416	0.0475404	0.0617686	0.0410359	0.021629	0.0180967	0.033884
a97	0.331907	0.24082	0.114832	0.0645043	0.0570125	0.0699697	0.044537	0.0261994	0.0207022	0.0295147
a23	0.314894	0.232504	0.109264	0.0646469	0.0574283	0.07209	0.047357	0.0328675	0.0291778	0.0397703
a53	0.386967	0.238275	0.0767222	0.0462408	0.0391601	0.0641124	0.0461813	0.0315978	0.0296984	0.0410452
a93	0.327333	0.259793	0.161817	0.0847224	0.0401389	0.0449879	0.0282124	0.0209063	0.0171805	0.0149099
a90	0.15143	0.186642	0.228947	0.152559	0.106405	0.0675385	0.0378563	0.0228303	0.0225409	0.0232505
a98	0.0841141	0.118852	0.184547	0.170601	0.1568	0.0960564	0.0654051	0.0366656	0.0409088	0.0460508
a92	0.0442558	0.0763011	0.150645	0.175909	0.169723	0.122433	0.0936895	0.0605834	0.0537932	0.0526661
a21	0.0759521	0.0945569	0.141052	0.178744	0.174926	0.117334	0.0788682	0.0416306	0.0446378	0.0522989
a5	0.0787688	0.102812	0.157178	0.187076	0.186215	0.115576	0.0780812	0.0359658	0.0281321	0.0301952
a37	0.0426001	0.0609221	0.122139	0.196743	0.21407	0.136087	0.0962069	0.0482483	0.0388493	0.044134
a98	0.0297466	0.0382024	0.0798079	0.173477	0.217121	0.148658	0.115349	0.0668516	0.0587285	0.0720588
a79	0.0105797	0.0143586	0.0348061	0.105834	0.163211	0.148483	0.137987	0.122942	0.117131	0.144667
a7	0.00988713	0.013056	0.0303643	0.0892621	0.132791	0.142314	0.156598	0.142109	0.130869	0.152749
a32	0.0111331	0.0119823	0.0214248	0.0577297	0.0986654	0.117863	0.152405	0.143677	0.152065	0.233054
a90	0.00865075	0.00831663	0.0150183	0.0458616	0.0925269	0.124238	0.172731	0.15062	0.150017	0.232019
a25	0.00546723	0.00535364	0.00945339	0.0261775	0.0520282	0.0812008	0.141908	0.195154	0.215658	0.2676
a69	0.00186584	0.00188977	0.00355723	0.0101259	0.0222939	0.0383327	0.0754576	0.154951	0.278304	0.413222
a90	0.00219348	0.00199318	0.0032306	0.00735127	0.0145828	0.02769	0.0676487	0.15074	0.279328	0.445241
a92	0.00234327	0.0021597	0.00353765	0.00787025	0.0150197	0.0315101	0.0800391	0.160645	0.276962	0.419913
a56	0.000643335	0.000541575	0.000936034	0.00281473	0.00651674	0.0150999	0.0455121	0.105209	0.265351	0.557376
a75	0.000558757	0.000424015	0.000614674	0.00192935	0.00466309	0.00936352	0.0261463	0.0727053	0.290232	0.593363
a5	0.000147189	0.000119332	0.000232733	0.00111169	0.00347026	0.00913726	0.0275924	0.0727435	0.276556	0.60889
a37	0.0004754	0.000342634	0.000472411	0.00144287	0.00338067	0.00670023	0.0186976	0.0595925	0.2853	0.623595
a61	0.000673617	0.000462135	0.000591832	0.00185843	0.00385344	0.00812628	0.0210704	0.0595976	0.269545	0.634221
a21	0.000653896	0.000462039	0.000607673	0.00176918	0.00391552	0.00684826	0.0160607	0.0489162	0.260904	0.659863
a6	0.000584521	0.000408606	0.00050461	0.00146638	0.00303395	0.00511787	0.0127987	0.0427476	0.238782	0.694556
a7	0.000108445	7.98241e-05	0.00011055	0.000392689	0.00100629	0.00263891	0.00858443	0.0364469	0.216962	0.73367
a84	0.000412695	0.000308354	0.000293229	0.000615524	0.00105751	0.00232639	0.00721888	0.031283	0.204167	0.752317
a82	0.038016	0.0302541	0.0243899	0.0330269	0.0394432	0.0455155	0.0652794	0.104328	0.217571	0.402177
a87	0.149999	0.104842	0.0566139	0.0519297	0.0462749	0.0456932	0.0580979	0.0854698	0.151771	0.249309
a97	0.128571	0.0901877	0.0442655	0.048301	0.0493933	0.064467	0.103075	0.149053	0.159905	0.162782
a87	0.0824261	0.0531689	0.0272688	0.0285825	0.0338746	0.0651266	0.104406	0.1535	0.196395	0.255252
a97	0.0625628	0.042736	0.0266776	0.0299463	0.0371084	0.0609064	0.0824443	0.127252	0.20228	0.328086
a99	0.0489603	0.0368191	0.0294214	0.0407073	0.0519855	0.0634972	0.0659375	0.105194	0.182988	0.37449
a30	0.0203002	0.0166601	0.0163165	0.0206321	0.0260486	0.0321271	0.0419116	0.1016	0.229673	0.494731
</S>	0.0175719	0.0153204	0.0153344	0.0197285	0.0210059	0.0236462	0.0285721	0.0816788	0.211646	0.565495
