 	il	a	besoin	d'	argent	pour	le	voyage	</S>
a23	0.364474	0.203702	0.0992222	0.0861586	0.072318	0.065261	0.0460558	0.0346985	0.0281095
a85	0.33042	0.207525	0.132309	0.105427	0.0688637	0.0541467	0.0395242	0.0362766	0.0255074
a87	0.29985	0.23102	0.141532	0.0799861	0.0465749	0.0421014	0.0404865	0.0548365	0.0636127
a23	0.297114	0.250907	0.185173	0.097274	0.0423949	0.029956	0.0260246	0.0323473	0.0388091
a79	0.325571	0.213124	0.127304	0.0588293	0.0307834	0.0297251	0.0360065	0.0735193	0.105137
a20	0.449917	0.274027	0.118046	0.0407562	0.0182709	0.0151544	0.0170351	0.0338133	0.0329796
a44	0.29895	0.238031	0.176803	0.103662	0.0632606	0.0436863	0.0290135	0.0252977	0.021296
a58	0.236506	0.225789	0.20135	0.137783	0.0827074	0.0477083	0.0291475	0.0209041	0.0181047
a11	0.181695	0.186582	0.190928	0.158879	0.112651	0.0667757	0.0426184	0.0303774	0.0294937
a56	0.172299	0.168633	0.1799	0.163382	0.13062	0.0788924	0.0473011	0.0303202	0.0286514
a94	0.185094	0.195125	0.189188	0.148235	0.104452	0.0637203	0.0435587	0.0333029	0.0373242
a54	0.196212	0.195622	0.181639	0.142121	0.105579	0.0698426	0.0474316	0.03091	0.0306435
a73	0.177363	0.197451	0.188702	0.145178	0.103993	0.0710127	0.0502006	0.0332328	0.0328669
a84	0.161235	0.187814	0.198748	0.172847	0.118025	0.0713654	0.04227	0.0247985	0.0228969
a53	0.0635463	0.085862	0.125595	0.179248	0.187509	0.138568	0.0950469	0.0629743	0.0616505
a76	0.0945942	0.118385	0.160578	0.184512	0.148222	0.0981377	0.0699735	0.0549346	0.0706632
a94	0.12856	0.130714	0.140961	0.148818	0.13138	0.106855	0.0834707	0.0625963	0.0666444
a32	0.0695443	0.0781612	0.0953346	0.131414	0.158259	0.160277	0.137894	0.0909476	0.0781682
a20	0.0466928	0.050664	0.0653771	0.103558	0.145406	0.17122	0.178969	0.133097	0.105017
a73	0.0475662	0.0500285	0.0654805	0.106537	0.156573	0.177773	0.174824	0.120299	0.10092
a94	0.0338604	0.0343798	0.0429832	0.0765157	0.137214	0.175604	0.186466	0.156568	0.156409
a66	0.0206478	0.0184189	0.0206616	0.0344087	0.0745095	0.140267	0.223198	0.251123	0.216765
a76	0.0117478	0.0103978	0.0117318	0.0215894	0.0520852	0.103779	0.197831	0.291855	0.298983
a94	0.0120187	0.0113181	0.0150597	0.0256395	0.0526847	0.098937	0.176508	0.282417	0.325417
a98	0.0057513	0.00541134	0.00631391	0.0104515	0.0241155	0.059768	0.152623	0.334669	0.400896
a76	0.00573571	0.00503222	0.0066983	0.0117351	0.0276089	0.0643199	0.156105	0.3581	0.364665
a90	0.00791251	0.00758557	0.0102981	0.0165682	0.0327442	0.0650084	0.140395	0.311344	0.408143
a94	0.00784941	0.0072919	0.00849162	0.0119753	0.0206386	0.0431215	0.111933	0.306599	0.4821
a24	0.00435029	0.00332493	0.00382705	0.00668815	0.0141964	0.0365762	0.105407	0.331045	0.494585
a47	0.00417398	0.00312814	0.00351916	0.00614688	0.0131747	0.0348199	0.0944948	0.313568	0.526974
a62	0.00575975	0.00438325	0.00487473	0.0081043	0.0163761	0.0407707	0.103216	0.307718	0.508797
a61	0.00486317	0.00373387	0.00475921	0.0084751	0.0181412	0.0410582	0.10695	0.301902	0.510117
a12	0.00527503	0.00410524	0.00489384	0.00868983	0.0192325	0.0453624	0.109569	0.288183	0.514689
a75	0.00365254	0.00292351	0.00368067	0.0069711	0.0164243	0.0400252	0.106058	0.298524	0.52174
a56	0.0048054	0.0041224	0.00532853	0.00901996	0.0181574	0.0428952	0.114068	0.323506	0.478097
a96	0.00770572	0.00629201	0.00723315	0.0115435	0.0231933	0.0536456	0.125538	0.297691	0.467158
a66	0.00848425	0.00663147	0.00712689	0.0111905	0.0230139	0.0526153	0.122999	0.291591	0.476348
a20	0.00904449	0.00635382	0.00742998	0.0123577	0.0241384	0.0470119	0.101607	0.249392	0.542665
a84	0.00587155	0.0046628	0.00466557	0.00748093	0.015933	0.0393427	0.0998043	0.285073	0.537166
a87	0.00954647	0.00669421	0.0064359	0.00949581	0.0181279	0.0428757	0.0982514	0.238081	0.570492
</S>	0.012038	0.00909709	0.00905553	0.0130731	0.0253871	0.0623745	0.136891	0.252171	0.479913
