 	le	ballon	est	rond	</S>
a66	0.529736	0.245774	0.12143	0.0577318	0.045329
a87	0.366817	0.281298	0.197122	0.112587	0.0421756
a23	0.464851	0.240432	0.147875	0.108812	0.0380294
a10	0.54011	0.216761	0.112237	0.0884368	0.0424551
a87	0.599832	0.190434	0.100217	0.0686105	0.0409064
a99	0.584193	0.213426	0.110468	0.0617663	0.0301462
a9	0.620477	0.182049	0.0973281	0.0625142	0.0376317
a83	0.621618	0.213553	0.104595	0.0424112	0.0178233
a99	0.411774	0.242659	0.212069	0.0997181	0.033779
a50	0.291886	0.250135	0.260341	0.148588	0.0490499
a83	0.127821	0.193439	0.273944	0.289904	0.114892
a71	0.129827	0.192509	0.24143	0.291039	0.145196
a83	0.12061	0.165006	0.225819	0.299916	0.188649
a50	0.10812	0.12033	0.171879	0.312181	0.28749
a62	0.0462013	0.0531716	0.105185	0.33771	0.457732
a12	0.0203974	0.0258779	0.0757536	0.373481	0.50449
a96	0.00950278	0.0142599	0.0508902	0.33057	0.594777
a18	0.00497548	0.00673865	0.0279124	0.25779	0.702584
a25	0.00800317	0.00830212	0.0248754	0.193836	0.764983
a82	0.00918696	0.00773928	0.0185059	0.11296	0.851608
a97	0.0840913	0.0535517	0.0805899	0.207516	0.574251
a87	0.297659	0.153006	0.116925	0.157338	0.275071
a97	0.317025	0.178828	0.138344	0.144348	0.221454
a87	0.122877	0.107565	0.124798	0.203296	0.441464
a97	0.213051	0.171893	0.147419	0.192655	0.274981
a87	0.136755	0.130416	0.142037	0.23749	0.353302
a97	0.198647	0.17334	0.158948	0.205254	0.263811
a87	0.124356	0.102563	0.113856	0.234024	0.425201
</S>	0.103755	0.0880451	0.0924116	0.241125	0.474663
