 	sa	plaie-ci	a	commencé	à	se	cicatriser	</S>
a66	0.411989	0.36553	0.125809	0.0545618	0.0216496	0.00991163	0.00554712	0.00500191
a87	0.505205	0.335918	0.0943246	0.0288052	0.0118372	0.00720414	0.00726649	0.0094393
a23	0.519677	0.325184	0.0982431	0.0266567	0.0100273	0.00502942	0.00558872	0.00959361
a87	0.497561	0.286091	0.0869487	0.0281986	0.0170037	0.0131289	0.021736	0.049332
a57	0.569533	0.234759	0.0705255	0.0309049	0.0187273	0.0150467	0.0244891	0.0360145
a87	0.52811	0.258477	0.0672437	0.0301986	0.0182969	0.0173019	0.0321867	0.0481852
a23	0.516668	0.280751	0.0733608	0.0333959	0.01934	0.0154423	0.0248305	0.0362118
a53	0.472599	0.246094	0.0856126	0.0406258	0.0281474	0.0281861	0.0409232	0.0578123
a79	0.348159	0.24236	0.191729	0.0833236	0.053983	0.0323436	0.0243778	0.0237246
a92	0.144629	0.213042	0.23596	0.139519	0.125536	0.0736668	0.0376548	0.0299915
a85	0.0702856	0.145851	0.263625	0.189177	0.174974	0.095116	0.0333921	0.0275796
a79	0.0328478	0.0779345	0.256603	0.238212	0.223421	0.111538	0.0324526	0.0269905
a98	0.0473541	0.0883336	0.309748	0.240665	0.173298	0.0744242	0.0314118	0.0347652
a47	0.0329988	0.0480341	0.214299	0.253815	0.238657	0.12736	0.0468364	0.038
a36	0.0219923	0.0187198	0.103083	0.247778	0.313532	0.159475	0.0721358	0.0632842
a56	0.021201	0.0165028	0.0698358	0.199654	0.323672	0.180218	0.0966491	0.0922667
a12	0.0432099	0.0384655	0.0976452	0.190628	0.241558	0.156899	0.108336	0.123258
a96	0.0225917	0.0174461	0.0358426	0.0988687	0.207711	0.204373	0.191331	0.221835
a62	0.0172908	0.0122305	0.0273571	0.0697903	0.182483	0.230554	0.218249	0.242046
a47	0.0099558	0.00710024	0.0174761	0.0463638	0.127466	0.250146	0.271549	0.269942
a43	0.00958181	0.00750112	0.0175637	0.0421635	0.114459	0.228695	0.291863	0.288172
a70	0.00633028	0.00507751	0.0117762	0.0272558	0.0651117	0.15737	0.356483	0.370595
a75	0.00311048	0.00261657	0.00486921	0.00987606	0.025811	0.0762651	0.352489	0.524962
a92	0.000341424	0.00027864	0.000579356	0.00163272	0.00912042	0.049219	0.355641	0.583188
a37	0.000119555	0.000105042	0.000314882	0.00113657	0.0076119	0.0455098	0.34856	0.596642
a56	0.000938665	0.000970439	0.00179771	0.00320862	0.0091539	0.032709	0.273578	0.677643
a44	0.00109717	0.000724331	0.00198599	0.00493431	0.0145815	0.0445872	0.287423	0.644667
a13	0.000559255	0.00041296	0.001486	0.00431114	0.0131287	0.0369538	0.247139	0.696009
a3	0.00145956	0.00146793	0.00468853	0.0116244	0.0317408	0.0696193	0.268733	0.610666
a87	0.0820479	0.0526863	0.0680777	0.0718611	0.0724037	0.093563	0.21729	0.34207
a23	0.353896	0.217977	0.115087	0.0975515	0.0680021	0.0483312	0.0488799	0.0502752
a87	0.15088	0.0963426	0.0795446	0.0563088	0.0529083	0.0731798	0.177621	0.313215
a97	0.0162054	0.0124158	0.0147915	0.0159926	0.0331671	0.0899684	0.30032	0.517139
</S>	0.0299694	0.0276903	0.0275221	0.0332034	0.0634168	0.122086	0.259404	0.436708
