 	le	fou	lui	a	donné	un	coup	de	bâton	sur	la	tête	</S>
a66	0.147793	0.0966863	0.11245	0.118256	0.12256	0.107418	0.0994793	0.0761086	0.0400437	0.0319244	0.0197688	0.0153809	0.0121306
a10	0.0999505	0.0743855	0.083104	0.0802975	0.078695	0.0840249	0.0993809	0.0916538	0.0626917	0.0635826	0.0607459	0.0625245	0.0589633
a87	0.215723	0.130445	0.0878712	0.0807412	0.0856531	0.0757378	0.0827537	0.0587831	0.0312024	0.0388097	0.0352186	0.0374059	0.039656
a97	0.158144	0.124307	0.0958457	0.0879445	0.09974	0.0905143	0.102758	0.0735432	0.0360687	0.0413029	0.0340805	0.0294569	0.0262941
a62	0.143589	0.122062	0.102385	0.0937925	0.108695	0.0927146	0.10091	0.0734911	0.0371064	0.0410133	0.0339701	0.0270519	0.0232182
a12	0.220285	0.108257	0.0985724	0.111332	0.142841	0.0941937	0.0600155	0.0439263	0.0269853	0.0294003	0.0236935	0.0219706	0.0185277
a93	0.208189	0.139013	0.0984485	0.0957996	0.104896	0.085614	0.0706789	0.0512497	0.0326968	0.0352442	0.029768	0.0270586	0.0213441
a56	0.15691	0.159445	0.0968833	0.0895845	0.09189	0.0837696	0.0855506	0.0605447	0.0395648	0.0406555	0.0356927	0.0320915	0.0274182
a96	0.153343	0.167546	0.0883885	0.0812674	0.0793726	0.0740112	0.0834619	0.0574498	0.0415992	0.0434853	0.0420216	0.043952	0.0441021
a61	0.12894	0.168338	0.0977799	0.0856437	0.084916	0.080186	0.0876883	0.0559056	0.0385784	0.0375296	0.0377139	0.044641	0.0521397
a12	0.115931	0.161471	0.107348	0.0903336	0.0864854	0.0854263	0.0963774	0.0579698	0.0371535	0.0346579	0.0348455	0.0419091	0.0500918
a96	0.0973471	0.140435	0.115429	0.0995466	0.0984097	0.0970283	0.103395	0.0626818	0.038345	0.0341519	0.0325478	0.0376721	0.0430108
a93	0.0787387	0.121018	0.115273	0.101012	0.100878	0.102941	0.109204	0.0699038	0.0439272	0.0378642	0.035629	0.0395176	0.0440942
a75	0.0769383	0.112688	0.113209	0.103619	0.10439	0.104828	0.106511	0.0756421	0.0477815	0.0397146	0.0342363	0.0379406	0.0425022
a47	0.0340031	0.0571505	0.0884141	0.0937969	0.0956561	0.105011	0.0989726	0.0878423	0.0701369	0.0595179	0.0582209	0.0677691	0.0835083
a96	0.0237146	0.0410437	0.083716	0.0891513	0.0942396	0.103661	0.0865939	0.0877822	0.0782578	0.0614612	0.0614119	0.0746008	0.114366
a88	0.0212067	0.0306523	0.0610386	0.0649539	0.0725811	0.0894402	0.0808579	0.0936905	0.0915845	0.0774635	0.0766916	0.0984487	0.14139
a90	0.011465	0.0154971	0.0312305	0.036909	0.0467313	0.0649624	0.0632502	0.0799225	0.0945877	0.0864454	0.10153	0.147258	0.220211
a25	0.00678742	0.0105236	0.0261017	0.0343637	0.0408456	0.0540294	0.0480426	0.0716261	0.109459	0.106871	0.122543	0.1575	0.211307
a98	0.00428282	0.0069511	0.0194498	0.0266937	0.034216	0.0420136	0.0319749	0.0482722	0.0828964	0.0769226	0.110229	0.178922	0.337175
a6	0.00477543	0.0075573	0.0193118	0.0251589	0.030504	0.0360033	0.0282412	0.0420819	0.0749418	0.0709074	0.109404	0.18687	0.364243
a56	0.00322414	0.00365342	0.0085726	0.0116236	0.014829	0.0180923	0.013209	0.0234176	0.0530369	0.0550306	0.100099	0.210906	0.484306
a88	0.00280404	0.00226691	0.00515416	0.00711419	0.00863546	0.0106672	0.00784086	0.017109	0.0535103	0.061188	0.120023	0.232647	0.471039
a38	0.00201334	0.00142966	0.00323636	0.00469534	0.00548376	0.00643387	0.00456531	0.0098689	0.0372911	0.0469422	0.107555	0.231365	0.539121
a4	0.00529812	0.00317489	0.00693583	0.0101125	0.0108232	0.0116335	0.00831113	0.014624	0.0473907	0.0554203	0.110702	0.214406	0.501167
a13	0.00184994	0.00146339	0.00319522	0.00457611	0.00496233	0.00579221	0.00428271	0.00903161	0.0333659	0.0444921	0.101651	0.21949	0.565848
a57	0.00806533	0.00523033	0.0112858	0.0150817	0.0154176	0.016432	0.0116697	0.0198735	0.0581919	0.0648123	0.117901	0.206538	0.4495
a3	0.0511145	0.0298476	0.0393406	0.0412886	0.0420772	0.041105	0.0308489	0.0388173	0.0686578	0.0674279	0.099396	0.152539	0.29754
a99	0.0765693	0.0389229	0.0444835	0.0461305	0.0460221	0.043853	0.037229	0.0455122	0.0691013	0.0767989	0.0999907	0.139095	0.236292
a97	0.0693703	0.0378655	0.0404592	0.0428667	0.045757	0.0450144	0.0443045	0.0515874	0.0677577	0.08442	0.105709	0.143144	0.221744
a9	0.058856	0.0348488	0.0433705	0.05148	0.0593134	0.059677	0.0551777	0.061179	0.0707942	0.0911471	0.104036	0.132355	0.177765
a82	0.0527312	0.0318649	0.0414183	0.0507233	0.0584739	0.0580797	0.0536125	0.0544941	0.0590225	0.0769106	0.0976134	0.1473	0.217755
</S>	0.0442225	0.0319388	0.0467796	0.0572513	0.0636989	0.0597985	0.054354	0.0492156	0.0493361	0.0640983	0.0910071	0.15019	0.238109
