 	les	termites	sortent	de	cette	termitière	</S>
a87	0.470018	0.240622	0.0959336	0.0832937	0.061335	0.0264901	0.022307
a23	0.419213	0.132573	0.0869045	0.0907652	0.109324	0.0813429	0.0798776
a87	0.221499	0.137269	0.182592	0.166319	0.133412	0.074736	0.084173
a23	0.23669	0.171312	0.163754	0.118318	0.105019	0.0891889	0.115718
a99	0.171629	0.137775	0.160496	0.139947	0.150384	0.110062	0.129707
a34	0.204976	0.184247	0.152231	0.106717	0.107328	0.0901153	0.154386
a75	0.352432	0.351735	0.181173	0.0514316	0.0255648	0.0165369	0.0211263
a34	0.215116	0.272314	0.232567	0.11613	0.0807137	0.0416234	0.0415369
a96	0.186826	0.26252	0.254767	0.114546	0.0772004	0.0506051	0.0535355
a75	0.154803	0.246425	0.239498	0.128317	0.0871304	0.0670935	0.0767343
a37	0.130532	0.199172	0.190666	0.127195	0.126967	0.108883	0.116585
a90	0.120115	0.193516	0.258698	0.165455	0.108857	0.0749702	0.0783878
a56	0.0999063	0.132438	0.203802	0.174918	0.157661	0.115783	0.115492
a21	0.0600475	0.0851691	0.169744	0.180894	0.182186	0.162706	0.159253
a12	0.0916709	0.0902454	0.138593	0.16716	0.166101	0.169012	0.177218
a56	0.0314268	0.0412199	0.0947607	0.161988	0.21489	0.235679	0.220036
a93	0.0372422	0.0436815	0.0830253	0.145621	0.202006	0.237976	0.250448
a56	0.00908899	0.0118957	0.0400807	0.105113	0.22042	0.325695	0.287707
a75	0.0126841	0.0154836	0.0453136	0.109972	0.227385	0.300819	0.288343
a5	0.00843488	0.0126655	0.0372817	0.0815609	0.179597	0.291614	0.388846
a56	0.0103256	0.0137652	0.0333255	0.0649092	0.147828	0.304803	0.425044
a93	0.00334807	0.00461748	0.0136338	0.0315018	0.0932449	0.329152	0.524502
a70	0.001363	0.00169104	0.00596312	0.0161517	0.0618103	0.31488	0.598141
a0	0.000998643	0.00106963	0.00425765	0.0113838	0.0468845	0.289591	0.645814
a21	0.00124119	0.000819569	0.00236545	0.00754897	0.0352154	0.260813	0.691996
a61	0.000850346	0.000703454	0.00231793	0.00641739	0.0296954	0.244664	0.715351
a75	0.000832448	0.000730462	0.00203818	0.00528841	0.0232242	0.226286	0.7416
a25	0.000668077	0.000774915	0.00250668	0.00758211	0.0318369	0.223362	0.733269
a56	0.000803648	0.00103773	0.0032986	0.00897349	0.0345353	0.257661	0.69369
a34	0.00048565	0.000509831	0.00162343	0.00486017	0.0226607	0.228912	0.740948
a83	0.000378617	0.000369735	0.00119609	0.00382651	0.0204011	0.225853	0.747975
a9	0.000677985	0.000526089	0.00135064	0.00379584	0.0183805	0.202876	0.772393
a99	0.0044541	0.00259365	0.00428113	0.0147731	0.0509604	0.281838	0.6411
a87	0.0400959	0.0190929	0.0199044	0.0403572	0.0929186	0.30141	0.486221
a23	0.100694	0.0458558	0.0398505	0.0704897	0.153944	0.298455	0.290711
a87	0.052282	0.0237614	0.0281334	0.0567894	0.140988	0.313201	0.384845
a23	0.0100299	0.00696745	0.0129973	0.0411028	0.120768	0.304056	0.504079
a87	0.0161374	0.0103866	0.014537	0.0404582	0.107501	0.307545	0.503435
</S>	0.0145919	0.0090835	0.0142064	0.0354184	0.0841948	0.271815	0.57069
