 	il	y	a	une	petite	brouille	entre	eux	</S>
a23	0.36603	0.19471	0.0857047	0.0655815	0.0727915	0.0969249	0.0544142	0.0336169	0.0302269
a99	0.341793	0.175583	0.114473	0.0965383	0.0961057	0.0700719	0.0374595	0.0324876	0.0354881
a54	0.285304	0.210203	0.130562	0.0827591	0.0674009	0.0616254	0.0429588	0.0497389	0.0694489
a47	0.387242	0.271634	0.134789	0.0736838	0.0406355	0.0354614	0.0214683	0.0167927	0.0182934
a85	0.240195	0.303312	0.223116	0.12023	0.052874	0.0259667	0.0123181	0.0103319	0.011656
a37	0.211983	0.26833	0.22595	0.145383	0.0756553	0.0392543	0.0131275	0.00995606	0.0103617
a61	0.180156	0.254993	0.248044	0.167959	0.083344	0.0328035	0.0121515	0.0101596	0.0103899
a66	0.170782	0.207921	0.232	0.187852	0.110643	0.0440071	0.0171814	0.0145006	0.0151119
a9	0.140586	0.159243	0.205935	0.198844	0.148506	0.0737666	0.0294604	0.0220605	0.0215978
a38	0.0904465	0.0883346	0.12658	0.153609	0.165538	0.133312	0.0894521	0.0758722	0.0768564
a75	0.131872	0.0980112	0.12639	0.152864	0.168812	0.134106	0.0686998	0.0587803	0.0604645
a25	0.101362	0.072082	0.0711954	0.0939949	0.146225	0.154907	0.121174	0.118942	0.120118
a56	0.0424215	0.0338756	0.0346415	0.0519277	0.105434	0.172683	0.18383	0.190324	0.184864
a96	0.0431878	0.0322442	0.0385596	0.0587206	0.124954	0.22116	0.199933	0.157085	0.124155
a93	0.0346859	0.0258458	0.0300736	0.0446103	0.0946139	0.200597	0.22075	0.193416	0.155407
a56	0.0227496	0.0166098	0.0202884	0.0319218	0.0664056	0.154567	0.224893	0.241955	0.22061
a96	0.0122816	0.00869377	0.0113072	0.0191305	0.0423986	0.109751	0.20807	0.285503	0.302864
a83	0.00690866	0.00440685	0.00543602	0.00969244	0.0215263	0.0549275	0.142858	0.305018	0.449226
a62	0.00197791	0.00110288	0.00139368	0.00270017	0.00732679	0.0229834	0.0913391	0.297144	0.574032
a83	0.0025506	0.00191832	0.00260418	0.00462408	0.011641	0.0285029	0.104075	0.307063	0.537021
a9	0.00195322	0.000963371	0.00119366	0.00210959	0.00573598	0.0162553	0.0790755	0.301269	0.591445
a10	0.0163995	0.00664244	0.00605563	0.00736427	0.0116985	0.0271996	0.125989	0.315227	0.483424
a87	0.0866351	0.0377557	0.0271451	0.0244223	0.0342364	0.0607299	0.160559	0.242418	0.326097
a23	0.100308	0.0533031	0.0396636	0.0311508	0.0405099	0.0823597	0.185488	0.218042	0.249175
a87	0.0470704	0.025082	0.0217268	0.020934	0.0276655	0.0584103	0.17859	0.275094	0.345428
</S>	0.00892354	0.00686206	0.0081299	0.010967	0.0213708	0.0491074	0.129937	0.290592	0.47411
