 	la	rivière	a	de	grosses	vagues	aujourd'	hui	</S>
a15	0.345495	0.164357	0.138244	0.104472	0.0989191	0.0786922	0.0315312	0.0201966	0.0180928
a66	0.360619	0.173979	0.147986	0.122204	0.0849692	0.0488108	0.0221114	0.0191877	0.0201334
a87	0.339111	0.182681	0.122134	0.084148	0.0645586	0.0432202	0.0347933	0.0492337	0.08012
a23	0.372304	0.270183	0.162805	0.0854871	0.042093	0.0225829	0.0107726	0.0128698	0.0209024
a87	0.360816	0.31876	0.160592	0.08153	0.033762	0.0122681	0.0066471	0.00919255	0.0164317
a23	0.369794	0.261513	0.148193	0.0963657	0.0563689	0.0245418	0.0114496	0.0132849	0.0184894
a5	0.383583	0.25917	0.124583	0.0798813	0.0423224	0.0235874	0.0183493	0.0259033	0.0426207
a18	0.24626	0.246668	0.173971	0.125043	0.0632821	0.0374326	0.0311218	0.0351628	0.0410577
a98	0.0912387	0.163945	0.15553	0.18689	0.14504	0.077787	0.0544084	0.0537352	0.0714247
a47	0.068197	0.130057	0.144188	0.196596	0.158786	0.0903577	0.0614177	0.0619288	0.0884719
a5	0.0504848	0.0982079	0.116241	0.183817	0.16139	0.09794	0.07977	0.0836089	0.128541
a23	0.0445126	0.0794388	0.10655	0.169526	0.183191	0.103599	0.0790963	0.0882712	0.145816
a21	0.0355253	0.0560977	0.0747512	0.120745	0.146703	0.0902656	0.101161	0.132045	0.242706
a6	0.0865353	0.105547	0.141799	0.174231	0.150541	0.0787039	0.0682933	0.0737165	0.120632
a37	0.0211556	0.0279704	0.0434343	0.0916797	0.164114	0.114661	0.137041	0.158898	0.241046
a26	0.0172087	0.0196569	0.0313476	0.0744868	0.170695	0.151011	0.144194	0.156568	0.234832
a75	0.0110491	0.0107477	0.0190304	0.0456903	0.107055	0.184043	0.176114	0.183703	0.262567
a5	0.00785587	0.00790083	0.0096707	0.0166923	0.0399641	0.0728547	0.191101	0.255322	0.398639
a18	0.0188976	0.0167239	0.0192518	0.0287433	0.0549974	0.10827	0.201069	0.222608	0.329439
a94	0.00445497	0.00370911	0.00483364	0.00895417	0.019484	0.053796	0.199144	0.27984	0.425784
a93	0.00444638	0.0033795	0.00451732	0.00801688	0.0150635	0.039784	0.16847	0.283725	0.472598
a62	0.00240705	0.00225504	0.00281029	0.00569425	0.0121737	0.0328856	0.161772	0.312034	0.467968
a31	0.00174135	0.00184544	0.0020533	0.00369765	0.00754093	0.020524	0.114853	0.316712	0.531032
a32	0.00146942	0.0015131	0.00166887	0.00285557	0.00535529	0.0136614	0.0858238	0.297729	0.589923
a38	0.000450587	0.000363077	0.000520463	0.0010352	0.00204641	0.00791356	0.0610035	0.283046	0.643621
a54	0.00141044	0.00101618	0.00162663	0.00304126	0.00473221	0.0152791	0.0879034	0.30915	0.575841
a15	0.000173486	0.000111719	0.000156854	0.000366984	0.000872055	0.00422397	0.0512775	0.283729	0.659088
a7	0.000158917	0.000103566	0.000151595	0.000333887	0.000681746	0.00282366	0.0337428	0.242842	0.719162
a2	0.00277284	0.00197953	0.00241888	0.00324509	0.00421742	0.0118863	0.0757918	0.286619	0.611069
a57	0.0964282	0.0577791	0.055226	0.060935	0.0586275	0.088239	0.140702	0.188756	0.253307
a87	0.276763	0.144099	0.130819	0.0916005	0.053843	0.0445523	0.0627052	0.0854047	0.110213
a23	0.271791	0.137065	0.137565	0.101228	0.05973	0.0456176	0.0652823	0.0871119	0.094609
a87	0.108481	0.0678702	0.0590751	0.0511736	0.0388814	0.0428225	0.142234	0.240264	0.249198
</S>	0.0117136	0.00783949	0.00723673	0.00897724	0.0100728	0.0218844	0.128996	0.30322	0.500059
