 	n	g	á	i	d	i	í	o	d	z	á	l	e	k	o	o	y	í	b	έ	r	ε	l	á	b	á	n	a	b	á	n	d	z	é	s	i	k	a	á	</S>
je	0.151252	0.238011	0.163786	0.0662833	0.0570108	0.0463899	0.0228267	0.0072034	0.0110276	0.0109661	0.0086498	0.00823873	0.00621716	0.00908197	0.00722924	0.00895817	0.00780404	0.00680232	0.00595589	0.00657934	0.00800278	0.0116776	0.0124298	0.00622584	0.0110051	0.00794449	0.0097021	0.00757988	0.00658545	0.00666084	0.00657831	0.00575424	0.00618453	0.00591616	0.0063388	0.00604654	0.00678806	0.00654781	0.00621831	0.00553962
n'	0.0503966	0.0243052	0.0426844	0.0610523	0.0411374	0.0341971	0.0371385	0.0358342	0.0445743	0.0636268	0.0595815	0.0676033	0.0642657	0.0505874	0.0266715	0.0303762	0.019455	0.0165624	0.0285049	0.0210956	0.0155968	0.0111741	0.0131985	0.0173754	0.00889601	0.0101534	0.0083486	0.00486581	0.0041054	0.00555558	0.00441679	0.00538042	0.00296624	0.00665972	0.00672617	0.00484577	0.00597217	0.00841404	0.00950417	0.0261947
ai	0.0434252	0.0349172	0.0337421	0.0502024	0.056363	0.0575193	0.049859	0.0303549	0.0436783	0.0413505	0.0350211	0.0301089	0.0402041	0.0319695	0.0284962	0.0162629	0.0221873	0.0236912	0.0223034	0.0222466	0.0236283	0.0246387	0.0230432	0.0184883	0.0270529	0.0241647	0.0263855	0.0137777	0.0168317	0.0132588	0.00872154	0.00533564	0.00486727	0.00574998	0.00876787	0.00576907	0.00748113	0.0092277	0.00988577	0.00902142
pas	0.0389985	0.0265157	0.0246141	0.0187452	0.0215166	0.0201937	0.020955	0.0146549	0.0108191	0.0104638	0.00811782	0.00639355	0.00812526	0.0112517	0.0122655	0.00804565	0.0113516	0.0121428	0.0149488	0.0222116	0.0395259	0.0399129	0.0418786	0.0517969	0.0534173	0.108369	0.0616843	0.0449992	0.0529232	0.0304025	0.0317977	0.0175864	0.0151048	0.0211267	0.0108775	0.0105656	0.00884909	0.0139738	0.00984441	0.0130329
l'	0.0147152	0.00695432	0.00568379	0.00760337	0.00913653	0.00967087	0.0185263	0.0190489	0.0142726	0.0152038	0.0133729	0.0125963	0.0116249	0.0157943	0.0152542	0.0199995	0.0190525	0.0244719	0.0206641	0.0247865	0.028237	0.0293004	0.0286127	0.035407	0.0375627	0.0383436	0.0317018	0.0401141	0.0362612	0.0355781	0.0320611	0.025193	0.0362838	0.0455822	0.0307057	0.0232631	0.025895	0.0349162	0.0435645	0.0629841
habitude	0.0145511	0.00834442	0.00833562	0.00702225	0.00798533	0.00847876	0.0236789	0.0256758	0.0205518	0.0244931	0.0255929	0.0265615	0.0253949	0.0251845	0.0260906	0.0217545	0.0238619	0.03023	0.0243312	0.0258351	0.0281194	0.0294074	0.0238964	0.029134	0.0318915	0.0285269	0.0321598	0.0270084	0.0302141	0.0316028	0.0339592	0.0238311	0.0298572	0.0287067	0.023179	0.026424	0.0250555	0.0254445	0.0314851	0.056143
de	0.0166593	0.00832946	0.00482343	0.0038542	0.00710471	0.00465514	0.00805607	0.00717563	0.00826432	0.00603878	0.00530068	0.00403589	0.00423729	0.00383251	0.00460574	0.00454134	0.00761112	0.0146375	0.0225486	0.0274015	0.0320668	0.0366993	0.05102	0.053389	0.0673326	0.0754844	0.0700934	0.0727511	0.0452587	0.0531569	0.0455116	0.0221703	0.0260541	0.0152555	0.0181587	0.0152304	0.0178241	0.0229581	0.0295147	0.0563571
taper	0.0254006	0.0129435	0.00940769	0.00941638	0.00921345	0.00916069	0.00998122	0.00964711	0.00644929	0.00644016	0.00587882	0.0062412	0.00641097	0.00701178	0.00786198	0.0092386	0.0107432	0.0179129	0.02454	0.0272786	0.0333423	0.0362051	0.0395664	0.0434486	0.0456362	0.0498864	0.047018	0.047599	0.0479282	0.0483306	0.0500258	0.0322328	0.0321168	0.0299129	0.0272507	0.0209556	0.0249368	0.0308841	0.0329483	0.0485971
les	0.0210109	0.0147311	0.0149184	0.011803	0.0125859	0.00965054	0.0108011	0.00645441	0.00611006	0.00641852	0.00651702	0.00661086	0.00661339	0.00750164	0.0106855	0.0112775	0.0163967	0.0273252	0.0311782	0.0362809	0.0506449	0.0580869	0.0679802	0.060716	0.0629088	0.0569441	0.0466126	0.0457869	0.0294158	0.0266079	0.0264471	0.00944867	0.0182001	0.0103342	0.01018	0.00868679	0.0121868	0.0211846	0.0274942	0.0752625
petits	0.00995432	0.0119276	0.0136198	0.011028	0.0104889	0.00854063	0.00829658	0.004761	0.0047536	0.00518068	0.00619296	0.00596866	0.00702482	0.0062942	0.0104283	0.0108593	0.0168438	0.0260526	0.0312487	0.0303966	0.0331588	0.03904	0.0453795	0.0504724	0.0409153	0.0476083	0.0492908	0.0415799	0.0533427	0.0315168	0.0399191	0.016761	0.0283757	0.0173727	0.0210868	0.0255125	0.0279066	0.0367403	0.042909	0.0712506
enfants	0.00737301	0.00628318	0.00659512	0.00689433	0.00594987	0.00565516	0.00515337	0.00365085	0.00304655	0.00414716	0.00455744	0.0045695	0.0042149	0.00551727	0.00783435	0.00959127	0.0131532	0.0265982	0.0292726	0.0292277	0.0409042	0.0499625	0.0605548	0.0788496	0.0588145	0.0697419	0.0471855	0.0431732	0.0514391	0.0301252	0.0297595	0.0148318	0.0194209	0.016525	0.0176518	0.0249418	0.0275314	0.0373359	0.0358402	0.056126
</S>	0.0313929	0.0173937	0.0118069	0.0220999	0.0143902	0.0113404	0.014279	0.0140215	0.0109148	0.00815929	0.00604313	0.00454694	0.00404769	0.00471888	0.00426091	0.00562026	0.00550747	0.00756981	0.00986626	0.0111774	0.0117378	0.0136823	0.0232704	0.0290294	0.0303302	0.0431417	0.0468193	0.0446026	0.0478589	0.0374004	0.0456808	0.027208	0.0345256	0.0327555	0.0455543	0.048043	0.0504008	0.0542079	0.0549951	0.0595986
