 	n	g	á	í	s	ó	m	b	i	a	s	w	é	m	ó	m	w	á	s	í	y	a	o	k	o	n	d	z	i	</S>
j'	0.120781	0.393902	0.154443	0.124575	0.0440975	0.0148397	0.00603479	0.00250705	0.00338095	0.0029963	0.00362756	0.00574114	0.00641014	0.0132299	0.0067342	0.0151965	0.0244911	0.010282	0.00604809	0.0052887	0.00522766	0.00389144	0.0034685	0.00240669	0.00277358	0.00237843	0.00287498	0.00429951	0.00464985	0.0034229
ai	0.103013	0.036458	0.0357301	0.0273728	0.0353501	0.0228374	0.0328531	0.0344629	0.0459777	0.0564382	0.114134	0.0343763	0.0407144	0.0209016	0.0114626	0.0151811	0.0531069	0.0158118	0.0226838	0.0296513	0.0283714	0.032214	0.0347826	0.0229204	0.0200624	0.0126949	0.0242736	0.00894578	0.00917874	0.0180392
acheté	0.0182582	0.0227429	0.0191709	0.018982	0.016605	0.0114222	0.00701532	0.016954	0.0171747	0.0229346	0.0144189	0.0330994	0.038048	0.0338622	0.0371044	0.0308876	0.0129596	0.0303622	0.017147	0.0287866	0.0319202	0.0416282	0.0664832	0.135269	0.0710065	0.0797126	0.0418358	0.0391012	0.0211412	0.0239667
du	0.0310542	0.0242216	0.0170391	0.0233808	0.0147264	0.0143938	0.015329	0.019113	0.0230166	0.0317272	0.0375448	0.0271431	0.0937045	0.0344824	0.0677295	0.031043	0.0179152	0.0183286	0.0168716	0.0160217	0.0154542	0.0222721	0.0285365	0.0624386	0.0711878	0.0556241	0.0359457	0.0472772	0.0609433	0.0255345
poisson	0.0151709	0.0188778	0.0105094	0.0102511	0.0123638	0.0265291	0.0316855	0.0394299	0.0512781	0.0657656	0.0473063	0.060675	0.0449463	0.0281544	0.0287405	0.0339828	0.0392467	0.0346987	0.0287559	0.0276478	0.0246807	0.0237187	0.019423	0.028071	0.0356151	0.0349031	0.0379237	0.0443761	0.0385401	0.0567328
pour	0.0105529	0.00694387	0.0163305	0.0110401	0.0155149	0.0272239	0.0442651	0.0457004	0.0410387	0.0649657	0.033074	0.0379005	0.0306061	0.0181484	0.0248864	0.0181296	0.0199671	0.0257431	0.0311113	0.0240105	0.0218829	0.0246974	0.0256048	0.0319587	0.0323383	0.0423554	0.052977	0.0430322	0.057352	0.120648
la	0.0114417	0.00659436	0.00382156	0.00396766	0.00787024	0.0150306	0.0190987	0.0227121	0.0285366	0.0305686	0.0280328	0.0445518	0.0326415	0.0265042	0.0335884	0.0434056	0.0465412	0.0411289	0.040729	0.0392756	0.0340727	0.0362485	0.0231947	0.0329091	0.0421112	0.0529324	0.0558072	0.06693	0.062686	0.0670669
femme	0.0314437	0.0283744	0.0293479	0.0327496	0.0294363	0.0203113	0.0274439	0.0360485	0.0371789	0.0766689	0.038146	0.0484705	0.0397938	0.0412925	0.0428788	0.0456953	0.0177352	0.0481182	0.0665233	0.0561924	0.0445204	0.0235223	0.0205966	0.00631362	0.0050258	0.00795687	0.0138083	0.0224575	0.0110222	0.0509273
du	0.0267771	0.0251272	0.0214012	0.019521	0.0188359	0.0203754	0.0226617	0.0231121	0.0251722	0.0263543	0.0218405	0.0466679	0.0332007	0.0349283	0.041767	0.0590389	0.0462444	0.0492979	0.0455626	0.0414969	0.0329123	0.0310807	0.0227998	0.0269201	0.0283558	0.036398	0.0414354	0.0419223	0.0289256	0.0598671
chef	0.030888	0.0309666	0.0301615	0.0283264	0.0275081	0.0249761	0.0143618	0.0142492	0.017555	0.0227369	0.0164132	0.0408739	0.033611	0.0367849	0.0378913	0.0431266	0.0369467	0.0430045	0.0448701	0.039315	0.0348067	0.0306021	0.026764	0.0203498	0.0188952	0.028829	0.043158	0.057332	0.0378705	0.0868258
</S>	0.0354335	0.0210616	0.0167811	0.0181653	0.0186938	0.0152724	0.0158773	0.0185737	0.0192564	0.0216392	0.0146609	0.0323133	0.0207733	0.0315516	0.0304384	0.0324605	0.0273845	0.0288672	0.0267998	0.0337397	0.0340494	0.0502768	0.0492606	0.0499696	0.0479873	0.0582003	0.0637332	0.0568203	0.0410717	0.0688875
