 	o	b	e	n	g	i	a	b	h	i	l	á	a	k	y	έ	s	έ	n	y	a	m	a	</S>
le	0.0158886	0.0135215	0.0139739	0.0129248	0.0385976	0.0180208	0.0168391	0.0190153	0.0279447	0.0330091	0.0359452	0.0657782	0.0584801	0.0677575	0.0640611	0.0506954	0.0440499	0.0528253	0.0531574	0.0595419	0.0577949	0.0628583	0.057216	0.0601034
chasseur	0.034728	0.0677663	0.0703622	0.0206897	0.0448723	0.0423795	0.0420808	0.0759983	0.0802564	0.0799802	0.144377	0.104759	0.0663265	0.0354485	0.0176754	0.011984	0.00768331	0.010576	0.00945311	0.009191	0.0077736	0.010983	0.00252306	0.00213252
est	0.0507305	0.0496086	0.0419811	0.0312406	0.054096	0.0853223	0.168766	0.158971	0.0832883	0.0399361	0.0318313	0.0185397	0.016646	0.0162137	0.0186267	0.0281875	0.020203	0.0197693	0.0139859	0.0143646	0.0122923	0.0105537	0.00819138	0.00665396
en	0.0744571	0.0634998	0.0568119	0.0666279	0.058775	0.0569656	0.0381314	0.0328544	0.0310575	0.0347876	0.0254704	0.028986	0.0284761	0.0324318	0.0403691	0.0528521	0.0455883	0.0507642	0.0299648	0.0302381	0.0255501	0.0281595	0.0315342	0.0356472
train	0.0415041	0.0317349	0.0271158	0.0111564	0.022092	0.0246622	0.0321957	0.0530892	0.0528394	0.0583676	0.0701326	0.0507114	0.0571684	0.0509288	0.0496796	0.0500685	0.0455059	0.042411	0.0423982	0.0389061	0.0401333	0.0385824	0.0311051	0.0375113
de	0.0611897	0.067546	0.0563115	0.0324422	0.022762	0.0237206	0.0261071	0.0290152	0.0583426	0.0500926	0.0600429	0.0902221	0.0538485	0.030617	0.0115682	0.00482814	0.00542347	0.00810768	0.0113805	0.016827	0.0193596	0.0242096	0.0409529	0.195083
dépécer	0.0480484	0.0435352	0.0430357	0.0316469	0.0291926	0.0360797	0.0343868	0.0601505	0.0807557	0.093367	0.0725801	0.0540017	0.0623206	0.0325816	0.0344008	0.0352077	0.0320004	0.0282057	0.0257588	0.0232818	0.017904	0.0281138	0.0212239	0.0322208
l'	0.0741741	0.0735159	0.0746704	0.060853	0.0539077	0.0440116	0.0408559	0.0364124	0.027178	0.0281019	0.0260172	0.0247823	0.0181491	0.0142227	0.016465	0.0184129	0.0254539	0.0249225	0.0304795	0.0344358	0.0470369	0.0417512	0.0587797	0.10541
animal	0.0472854	0.0610043	0.0568322	0.0267798	0.0184134	0.0136729	0.00936421	0.0128344	0.0142869	0.0161427	0.0132706	0.0140857	0.0125836	0.0161161	0.0291897	0.0413154	0.0802908	0.0538345	0.0720196	0.0502836	0.0382024	0.0483824	0.071153	0.182656
</S>	0.0605448	0.0626998	0.0698172	0.0527015	0.0308124	0.0313355	0.0191243	0.0148076	0.0137696	0.0131262	0.0121534	0.0124992	0.0100467	0.011077	0.0120118	0.0132732	0.0284187	0.0212073	0.0277455	0.028453	0.0345123	0.0403944	0.0763467	0.303122
