 	b	í	s	í	l	é	w	ú	r	u	o	k	w	ε	r	έ	t	s	έ	n	g	ε	s	á	k	ώ	</S>
nous	0.044413	0.0635681	0.0225537	0.0191767	0.0331948	0.0304729	0.0414287	0.046866	0.0565489	0.0243058	0.0479318	0.0439041	0.0346476	0.0445085	0.0531275	0.0510321	0.0545758	0.0369018	0.038427	0.0222541	0.0358044	0.0169504	0.0296084	0.024471	0.0248447	0.0243764	0.0341059
venons	0.0488744	0.0416244	0.0358872	0.0383852	0.0431903	0.0596882	0.0791874	0.0718786	0.103968	0.116661	0.069584	0.0348471	0.0459779	0.0610838	0.0368958	0.0167657	0.0259124	0.0177004	0.0140441	0.00780998	0.00766829	0.0064165	0.00542641	0.00400655	0.00286243	0.00166749	0.0019865
de	0.0642147	0.164319	0.0580214	0.0406682	0.0392567	0.0342925	0.0481834	0.0464409	0.0369274	0.0274295	0.0221205	0.0168377	0.0269315	0.0204898	0.0181189	0.013832	0.0281292	0.0185563	0.0313587	0.0263997	0.0268478	0.0273217	0.0382505	0.0448017	0.0269793	0.0388452	0.0144252
couper	0.0552396	0.0366157	0.0350551	0.0290023	0.0255797	0.0229932	0.0210536	0.0215978	0.0249026	0.0236841	0.0210552	0.0206989	0.0288636	0.0342619	0.0555114	0.0578161	0.0560975	0.038764	0.056678	0.0411468	0.0343172	0.0406923	0.0434306	0.0412604	0.0395623	0.0388735	0.0552466
les	0.0482782	0.0365701	0.0414926	0.0332711	0.0279489	0.0192094	0.0182693	0.0174728	0.0208851	0.0143044	0.0125341	0.0152709	0.0182677	0.0203911	0.0236373	0.038729	0.0282971	0.0294523	0.0339761	0.0414774	0.0357906	0.0476359	0.0454849	0.0491468	0.0673519	0.0715168	0.143338
lattes	0.0255172	0.0173883	0.0151392	0.0116832	0.0145044	0.0122023	0.0117511	0.0118447	0.0160493	0.0169278	0.0159612	0.0200075	0.026051	0.0289005	0.0340189	0.03916	0.0304331	0.0382045	0.0416465	0.0470166	0.0394269	0.0461654	0.0555742	0.065137	0.0951033	0.0877675	0.136418
dans	0.033964	0.0188541	0.0145991	0.0153069	0.0159814	0.0229105	0.0222247	0.025118	0.0304823	0.0385446	0.0330198	0.0316026	0.0319862	0.0338465	0.0306207	0.0323017	0.0312078	0.0360664	0.0389012	0.04455	0.0408324	0.0556212	0.0479302	0.0574386	0.0673668	0.0665878	0.0821346
la	0.0261316	0.0219213	0.0195094	0.0195936	0.0199638	0.0213645	0.0209682	0.0209583	0.0232549	0.0208572	0.0205055	0.019017	0.0206842	0.0239018	0.0275768	0.0356415	0.0325432	0.036432	0.0384597	0.0464893	0.046569	0.0598582	0.0554826	0.0652562	0.0799646	0.0721962	0.1049
forêt	0.0264104	0.0211565	0.0209734	0.0144471	0.0183807	0.0150587	0.0148084	0.0117713	0.0158312	0.0135839	0.0102804	0.0108221	0.0141615	0.0168182	0.0325406	0.0440499	0.0472535	0.0478956	0.0496997	0.0449463	0.0564191	0.0775427	0.0692538	0.0723329	0.0833766	0.0552411	0.0949444
</S>	0.0400581	0.0259541	0.0241021	0.0200725	0.0186134	0.0175665	0.0166235	0.0141526	0.0158109	0.0135396	0.012306	0.0129302	0.016381	0.0162573	0.0267875	0.0385831	0.0392704	0.0420519	0.047391	0.0555383	0.0531504	0.0596563	0.0702747	0.0745945	0.0754478	0.0720605	0.0808258
