 	o	y	ú	r	u	b	ó	l	á	a	w	o	o	r	á	k	u	u	m	u	</S>
la	0.0359954	0.0202211	0.0174176	0.0164465	0.0135199	0.00921095	0.0157171	0.0397652	0.0642365	0.0685932	0.0587684	0.0597083	0.0786036	0.054336	0.0481062	0.0512539	0.0884569	0.0521037	0.0519488	0.0579029	0.0976876
femme	0.189487	0.18669	0.175985	0.168011	0.0668616	0.0369849	0.0319335	0.0256448	0.0179047	0.0235956	0.0120487	0.0105204	0.00615703	0.0097454	0.012065	0.0137447	0.00495375	0.00438129	0.00191596	0.00107081	0.000298829
est	0.044477	0.0477842	0.028951	0.0361351	0.051328	0.123856	0.148413	0.190243	0.0561777	0.0297344	0.0162672	0.0147955	0.0244133	0.0301812	0.0358191	0.0227147	0.0182963	0.0172301	0.0187564	0.0248072	0.0196197
en	0.0607979	0.0553052	0.0722511	0.0450993	0.038934	0.0368972	0.0403511	0.0374451	0.0316388	0.0314407	0.0327704	0.0594978	0.0560941	0.0615763	0.06684	0.0545201	0.0527444	0.0391558	0.0446428	0.0357593	0.0462387
train	0.0981706	0.0947624	0.104442	0.0512728	0.0323112	0.0224322	0.0214005	0.0146529	0.0177714	0.02138	0.0236668	0.0337066	0.0384479	0.0441553	0.0501333	0.0552575	0.0504529	0.0559931	0.0525853	0.0515286	0.0654768
de	0.189628	0.0706333	0.0526257	0.045174	0.0347997	0.0225588	0.0381869	0.0449938	0.0373414	0.0159123	0.0136146	0.00792267	0.00785389	0.00840881	0.00817908	0.0103672	0.0157909	0.0270859	0.050535	0.0469858	0.251403
cueillir	0.0277398	0.0225486	0.0188181	0.0261821	0.0418865	0.0498427	0.0605854	0.0828595	0.0593354	0.086646	0.0586172	0.0625783	0.0757957	0.0583008	0.0572337	0.0438405	0.0350507	0.0369387	0.0278148	0.0283582	0.0390272
le	0.0967465	0.0630585	0.0471666	0.0401178	0.0402473	0.0353933	0.0192114	0.0159105	0.0216116	0.0210891	0.0189967	0.0144569	0.0230132	0.0233511	0.0268083	0.0476668	0.0577426	0.0656307	0.0774225	0.0944502	0.149909
koko	0.0461578	0.0354017	0.0352605	0.0316197	0.0351254	0.0198644	0.0128603	0.0105449	0.0167885	0.0160312	0.0129889	0.0121104	0.0181088	0.0231179	0.0298755	0.071371	0.0705417	0.0856005	0.0845556	0.113264	0.218812
</S>	0.174008	0.0850866	0.0733881	0.0691219	0.0768183	0.0443955	0.025812	0.0238095	0.0251447	0.0181781	0.0227719	0.0250475	0.0317327	0.033989	0.0364833	0.029992	0.0222481	0.0196576	0.0204731	0.0280345	0.113807
