 	m	ó	b	h	ε	s	έ	a	b	v	i	á	s	á	k	ú	b	h	á	y	é	</S>
cueille	0.0233396	0.0190962	0.0160951	0.0167005	0.0226906	0.0205992	0.0377312	0.0938129	0.0962892	0.0994079	0.102857	0.0908671	0.0295257	0.0234982	0.0212439	0.0261264	0.0307399	0.0272128	0.0393303	0.0446609	0.0646681	0.0535076
de	0.12732	0.0555536	0.0255295	0.0132718	0.0193702	0.0386512	0.060032	0.0751954	0.0755571	0.0698782	0.0644875	0.142596	0.0370716	0.0458166	0.031561	0.0412858	0.0244039	0.0171359	0.0110616	0.00925793	0.0075129	0.00744962
l'	0.0695964	0.0649174	0.0643569	0.0611438	0.0803493	0.0974348	0.0618272	0.053022	0.0491402	0.0495782	0.046714	0.0357935	0.0312193	0.0253281	0.0311384	0.0405499	0.033263	0.0277524	0.0234881	0.0183487	0.0216508	0.0133874
oseille	0.065356	0.0499043	0.0450588	0.0441174	0.0547153	0.0534753	0.0548213	0.0489848	0.0408608	0.0461872	0.0453036	0.0419767	0.0337984	0.0325336	0.0451459	0.0509637	0.0444462	0.0455219	0.0398378	0.0376768	0.0359402	0.0433741
dans	0.0610171	0.0493033	0.0492647	0.0395387	0.031011	0.0311911	0.025558	0.0256121	0.0242434	0.0312247	0.0423899	0.0379153	0.0511051	0.0476852	0.0759063	0.065718	0.0498865	0.0353336	0.0410615	0.0439812	0.0561155	0.084938
ce	0.0285053	0.0275978	0.0297752	0.034025	0.0367576	0.0479093	0.0488038	0.0490761	0.032362	0.0319872	0.0340871	0.0298679	0.0388221	0.0433035	0.0750687	0.0756009	0.0613003	0.0496394	0.0387433	0.0478745	0.050527	0.088366
champ	0.0690122	0.0575656	0.0506447	0.0321455	0.0311718	0.0242359	0.0267397	0.0165716	0.01334	0.0116322	0.01547	0.0170085	0.0267964	0.0396892	0.0535346	0.0699875	0.0598756	0.0576715	0.0653774	0.0786747	0.0834287	0.0994269
s'	0.0292766	0.0280753	0.0259753	0.0231233	0.0244462	0.0251564	0.0273381	0.0335702	0.0328316	0.0477321	0.0439197	0.0427486	0.0523789	0.0356512	0.0291502	0.0417074	0.0508661	0.0574441	0.0742927	0.0839025	0.0782268	0.112186
il	0.17923	0.0691742	0.03468	0.0229037	0.0244102	0.0174942	0.00876983	0.00981899	0.0115114	0.0121131	0.0130007	0.0117968	0.0125494	0.0135988	0.0248082	0.0281417	0.048836	0.0651262	0.0887283	0.0922465	0.102368	0.108694
te	0.113402	0.048918	0.0215188	0.012357	0.0143953	0.0070139	0.00509821	0.00451797	0.0050234	0.00435746	0.00515879	0.00461094	0.00444943	0.00563167	0.0109131	0.015882	0.0415935	0.0812932	0.126275	0.149016	0.158221	0.160353
plait	0.178898	0.050178	0.0258893	0.0228416	0.0215862	0.0145975	0.00738886	0.00705497	0.00651309	0.00618103	0.00655232	0.00697715	0.00750464	0.0111205	0.0179941	0.0185575	0.0374349	0.0574647	0.102861	0.116235	0.145579	0.13059
</S>	0.314393	0.0872317	0.0458618	0.0238477	0.0120088	0.00971938	0.006963	0.00614181	0.00641223	0.00713435	0.007455	0.0074198	0.00960963	0.0142125	0.0370793	0.0360555	0.0515266	0.043751	0.0494901	0.0579482	0.0591211	0.106617
