 	o	k	y	ε	s	í	m	ú	ó	d	i	l	a	k	í	e	m	b	é	</S>
il	0.0248169	0.0390347	0.0439716	0.0278812	0.0309268	0.0409083	0.058571	0.0799255	0.0821191	0.0652272	0.0484826	0.042642	0.0490871	0.0552104	0.0412007	0.0367934	0.0471855	0.0585762	0.0738926	0.0535472
y	0.167621	0.162623	0.102479	0.0542333	0.0249945	0.0226536	0.0442972	0.0257014	0.0354449	0.0310834	0.0292133	0.0225582	0.0456216	0.0499353	0.051053	0.0487296	0.026951	0.015308	0.0155092	0.0239894
a	0.106827	0.0680424	0.0311624	0.0185385	0.0161832	0.020997	0.031654	0.0484377	0.0757708	0.0904171	0.0941175	0.0331331	0.0550982	0.0842919	0.0697331	0.0595317	0.0377842	0.0247161	0.0125514	0.021013
beaucoup	0.0372384	0.0322051	0.0258464	0.0336113	0.0187272	0.0212446	0.0256292	0.0350209	0.0424546	0.0442675	0.0442728	0.0515476	0.194794	0.213175	0.0595247	0.0284506	0.0258731	0.0215932	0.0248673	0.0196567
d'	0.0289932	0.0307853	0.0375068	0.0453949	0.0418861	0.039283	0.0709709	0.075525	0.069012	0.0553435	0.052625	0.037777	0.0384302	0.0400148	0.04245	0.0517699	0.0631664	0.0619357	0.0587402	0.0583902
escargots	0.0570886	0.0745472	0.0864527	0.124344	0.0691993	0.0388717	0.0634772	0.0504521	0.0380756	0.0330234	0.0332334	0.0462652	0.038305	0.0309216	0.0218081	0.0177557	0.0337527	0.0308444	0.0240035	0.0875783
dans	0.0450601	0.0297061	0.0272452	0.0237042	0.012527	0.0111268	0.0158391	0.0155596	0.0257572	0.0204376	0.0170814	0.0265487	0.0655408	0.0863846	0.129111	0.0863495	0.103064	0.0927034	0.0720103	0.0942433
ce	0.085525	0.0635451	0.0448541	0.0347811	0.0198482	0.0191296	0.0205139	0.0232169	0.0322714	0.0193169	0.0182089	0.0126891	0.0271013	0.0367687	0.0501809	0.067453	0.0774239	0.0810234	0.0820854	0.184063
ruisseau	0.0808776	0.0575937	0.0419076	0.0403114	0.0181905	0.0116453	0.013043	0.0135129	0.0160533	0.00868782	0.00958559	0.0192636	0.0260978	0.0200426	0.0449793	0.0867514	0.107816	0.120587	0.108473	0.154581
</S>	0.108508	0.0593933	0.0398585	0.026409	0.0129857	0.00724575	0.00951815	0.00872581	0.00853796	0.00680104	0.00695726	0.00774592	0.0122735	0.0157833	0.0312036	0.0531171	0.0914736	0.119353	0.180312	0.193797
