 	e	k	a	y	í	l	í	y	é	é	k	a	y	i	w	a	l	a	n	g	á	w	á	á	a	d	í	o	d	z	á	a	k	á	a	l	á	a	w	á	a	</S>
la	0.00967135	0.0093221	0.0104297	0.0114428	0.00960643	0.0101564	0.012474	0.0225094	0.0230883	0.013365	0.0196867	0.0176985	0.0320453	0.0401132	0.0498771	0.0240238	0.0368873	0.0158782	0.0523094	0.0327652	0.017555	0.0337325	0.0450097	0.0418443	0.0294219	0.0147449	0.0200756	0.0275517	0.0182384	0.0139706	0.0151031	0.0128797	0.0137378	0.0117702	0.01723	0.0247933	0.0343001	0.0409676	0.0198595	0.0348041	0.0347386	0.0243212
manière	0.014375	0.0216783	0.0627718	0.0298995	0.0411876	0.0230796	0.0131361	0.0252281	0.0110444	0.0196012	0.0213884	0.042081	0.0673053	0.0485654	0.0241988	0.0195652	0.0292779	0.0226163	0.0364999	0.0405146	0.0444401	0.0445986	0.0226775	0.0290731	0.0286896	0.0350877	0.0185913	0.0143683	0.00424144	0.00885235	0.0173076	0.019474	0.00910899	0.0079208	0.0184047	0.0115057	0.0166551	0.0162613	0.00999029	0.0051705	0.00215664	0.00141018
dont	0.0667206	0.0285778	0.0199207	0.00910836	0.0133612	0.0102944	0.00557214	0.00397471	0.00278949	0.00283052	0.003788	0.00841719	0.0058089	0.00626227	0.0111001	0.00744208	0.0103645	0.0183899	0.021414	0.0745082	0.0295694	0.0701137	0.0376352	0.0676783	0.0653642	0.0327891	0.0488623	0.0392928	0.0587234	0.032063	0.030545	0.0216791	0.0237325	0.0289389	0.0187034	0.00705286	0.0108348	0.0065	0.0116741	0.00713952	0.0115535	0.00890959
il	0.034719	0.0458201	0.0376511	0.0242503	0.0235827	0.0115145	0.0142623	0.0113503	0.00925431	0.00796657	0.00780848	0.0134078	0.00800645	0.00377775	0.00376462	0.00423685	0.0215415	0.0178627	0.0274347	0.0276462	0.0204543	0.00946224	0.028853	0.0418869	0.0438119	0.0434018	0.0569152	0.0596462	0.0320825	0.0176621	0.0245541	0.0143495	0.0245952	0.0305372	0.0274064	0.014834	0.0230822	0.0151965	0.0109907	0.0176917	0.0248142	0.0619138
s'	0.0468515	0.0329184	0.0353795	0.0322599	0.0674519	0.0385949	0.033714	0.0214035	0.0176101	0.0155372	0.0129935	0.0156444	0.01239	0.00471382	0.00713702	0.00873171	0.0169853	0.0365372	0.00812413	0.0273749	0.0219736	0.0117708	0.0233094	0.0275758	0.0367713	0.0155143	0.0313124	0.0195659	0.0291981	0.0221737	0.0261557	0.0214561	0.0363869	0.0322193	0.0271004	0.012445	0.018407	0.00849663	0.0219957	0.0144074	0.0203166	0.0290951
est	0.0305219	0.0457978	0.048658	0.0487209	0.0706664	0.0723199	0.047951	0.0315211	0.0139745	0.0139584	0.00820625	0.0110592	0.00925086	0.00449695	0.00352284	0.00661871	0.0145374	0.0253693	0.00995355	0.019572	0.0136813	0.0114698	0.0124201	0.0182316	0.0151477	0.0127982	0.0161426	0.0132443	0.0443118	0.0317151	0.0252846	0.0217424	0.0335727	0.031671	0.0216202	0.0124327	0.016999	0.00859311	0.0178159	0.0141405	0.0235371	0.046751
plaint	0.0960853	0.0843968	0.0583535	0.0355726	0.0412083	0.031061	0.0179547	0.0188666	0.0168969	0.0183006	0.022026	0.0271216	0.0218712	0.00886355	0.00673069	0.0122199	0.0189971	0.0252621	0.0206161	0.034632	0.0241451	0.0269112	0.0130619	0.0239949	0.0184078	0.0230075	0.0110353	0.0104934	0.00537233	0.0133037	0.00729605	0.0174726	0.0105534	0.00833578	0.0109221	0.0171356	0.0102404	0.0107478	0.0141948	0.018904	0.0284984	0.0589292
s'	0.101776	0.0920476	0.0534967	0.0604234	0.0541554	0.0592863	0.0534275	0.0517042	0.0498186	0.058226	0.0178027	0.0147018	0.0160881	0.00407599	0.00318623	0.00283798	0.00670127	0.00988322	0.00604934	0.0136775	0.0128383	0.00687249	0.0152922	0.0141442	0.0147366	0.0235494	0.0142707	0.0177378	0.01541	0.00836097	0.00567456	0.00572589	0.00606353	0.00673966	0.00435375	0.00591181	0.00491205	0.00470066	0.00503357	0.00682582	0.0125479	0.0589319
il	0.0836508	0.0933012	0.0598224	0.0618823	0.0471049	0.0239187	0.0129582	0.0143337	0.0130439	0.0163961	0.0139606	0.013229	0.0149428	0.0108042	0.00790097	0.00791309	0.0138464	0.0182562	0.0118622	0.0171148	0.010296	0.00867935	0.0109201	0.00983369	0.0120786	0.0118302	0.0054336	0.00711967	0.00408194	0.0135055	0.0085618	0.0179492	0.0121846	0.010152	0.0118725	0.0237199	0.0125167	0.0210373	0.0228417	0.0294925	0.0570259	0.122625
ne	0.135103	0.113083	0.0478432	0.0336692	0.0264979	0.0141171	0.00806862	0.00848454	0.00793649	0.00913027	0.00874988	0.0108278	0.0100201	0.00918905	0.00508154	0.00935263	0.0116392	0.0338126	0.0225964	0.051097	0.0352549	0.0249778	0.0329959	0.0292279	0.0324322	0.0284541	0.0161783	0.0145043	0.00858358	0.017433	0.00542439	0.0125565	0.007261	0.00490182	0.00790825	0.0111933	0.00766092	0.00933373	0.011347	0.0125884	0.0189261	0.0745564
