 	a	l	í	n	g	a	á	d	i	í	m	é	k	o	o	y	ó	b	i	a	o	b	í	n	a	k	a	á	</S>
on	0.118722	0.117825	0.068081	0.0526711	0.0366504	0.0621944	0.0422904	0.0350148	0.0287169	0.0288589	0.0273726	0.0261768	0.0133155	0.00872184	0.0148903	0.020959	0.0148015	0.00996185	0.0138815	0.00920794	0.0135291	0.0227573	0.0233115	0.058399	0.0342111	0.033892	0.0267998	0.0220229	0.0147633
ne	0.0473271	0.0362951	0.0801386	0.0886734	0.0827117	0.098702	0.0944019	0.0696162	0.0635106	0.0115681	0.0170958	0.0120977	0.0145414	0.0192636	0.0171391	0.0253179	0.020229	0.0247865	0.0135096	0.0210914	0.0237163	0.0224677	0.0124682	0.0145984	0.00876047	0.0157976	0.0110058	0.0162329	0.0169359
danse	0.0528227	0.0200909	0.0362745	0.0372546	0.0314113	0.0303538	0.0295809	0.0266315	0.0361584	0.0497553	0.0581541	0.0505306	0.0515527	0.0724209	0.0495633	0.0598003	0.0412018	0.0610411	0.0337558	0.0270806	0.0256725	0.0173291	0.0149825	0.0135162	0.0120726	0.012118	0.0117911	0.0132087	0.0238742
pas	0.120071	0.0688521	0.0731563	0.0729292	0.100889	0.115723	0.0727914	0.030882	0.0124073	0.0064545	0.00815544	0.00556158	0.00441859	0.00831862	0.0088501	0.0166359	0.012321	0.02312	0.0277577	0.0441893	0.0617671	0.0261949	0.0124621	0.0101067	0.00684624	0.00845379	0.00649182	0.0115563	0.022637
en	0.0300511	0.0246835	0.0168918	0.0356261	0.0195754	0.0189825	0.0212564	0.0219342	0.0334576	0.0645783	0.0362643	0.0311531	0.026434	0.0355153	0.0283602	0.031169	0.0302467	0.046066	0.0533242	0.0463233	0.0410342	0.0359265	0.0501383	0.02604	0.0212162	0.0378048	0.0255343	0.0457543	0.0646586
suivant	0.0436941	0.0356273	0.0311015	0.0240568	0.0382825	0.0281757	0.0301066	0.0245014	0.0280526	0.0536722	0.0354295	0.0449844	0.0310604	0.0340315	0.0259747	0.0179295	0.0194244	0.0311923	0.0322508	0.0262687	0.0216876	0.027095	0.0321909	0.0463841	0.0353324	0.0421667	0.0394074	0.0456453	0.0742738
les	0.0236575	0.018375	0.0272471	0.0185982	0.0168315	0.0248572	0.019807	0.0271827	0.0270831	0.0413872	0.0343414	0.0466547	0.030356	0.0283322	0.0175948	0.0292437	0.0306904	0.0330209	0.042335	0.0465164	0.0492155	0.0443703	0.043214	0.0446121	0.0419395	0.0438721	0.044051	0.0463475	0.0582662
pas	0.0567889	0.0414493	0.0560691	0.0458145	0.040761	0.0398535	0.0300365	0.0266372	0.0184374	0.0109405	0.0122483	0.0130546	0.0147976	0.0231645	0.0298163	0.0338925	0.0335591	0.0252114	0.0262906	0.026106	0.0257471	0.0163032	0.00992654	0.0461831	0.0176191	0.0440019	0.0478148	0.0679093	0.119566
des	0.0468914	0.0346101	0.0658741	0.0386573	0.0348305	0.0495725	0.0344232	0.0335066	0.0216028	0.0225422	0.0190954	0.0223431	0.0179935	0.0173541	0.0180099	0.0242031	0.0281164	0.020973	0.0236019	0.0231218	0.0228915	0.0231971	0.0188903	0.038363	0.0204556	0.0413586	0.0505678	0.0674774	0.119476
autres	0.111461	0.0824606	0.107129	0.083854	0.0785171	0.035159	0.0378983	0.0371813	0.0139997	0.00448098	0.0111834	0.00650896	0.0144639	0.0240644	0.0263282	0.029798	0.025592	0.0207562	0.0201889	0.0173122	0.0150258	0.0147015	0.0127066	0.0221006	0.0180394	0.0154192	0.0329454	0.0306966	0.050027
</S>	0.0523967	0.0296607	0.0466369	0.040784	0.0378511	0.0228622	0.0289002	0.0208697	0.0277845	0.0158012	0.015351	0.0150096	0.0148756	0.0254137	0.012779	0.0169218	0.0181139	0.0264556	0.0350369	0.0263886	0.0354915	0.0369651	0.0327151	0.054916	0.0480672	0.0412519	0.0601131	0.0575311	0.103056
