 	a	m	b	ó	s	i	á	p	a	s	i	i	b	h	á	n	g	á	</S>
les	0.0666326	0.0425638	0.0625398	0.0785927	0.10371	0.0548	0.0996577	0.0482914	0.0616429	0.0769631	0.049918	0.0357756	0.0250597	0.0300953	0.0284989	0.0329319	0.0327391	0.0403876	0.0291999
chèvres	0.0563994	0.121872	0.0833068	0.22589	0.205862	0.131984	0.075371	0.0300297	0.0160422	0.00845801	0.0103235	0.00531434	0.0035019	0.00419348	0.00406064	0.00323446	0.00388908	0.00466936	0.00559823
ont	0.0933523	0.0792554	0.045423	0.0651817	0.107556	0.0909061	0.0687949	0.0707505	0.0669539	0.0425724	0.0427879	0.0381384	0.0375175	0.0288836	0.0372601	0.0258637	0.0176458	0.0181653	0.0229913
cassé	0.0145441	0.0264737	0.024524	0.0343979	0.0306899	0.0501697	0.0489563	0.0993841	0.0650402	0.0565531	0.102699	0.139482	0.143632	0.0531539	0.0492258	0.0198474	0.0108481	0.0175649	0.0128146
l'	0.0308503	0.0330474	0.030371	0.0318012	0.0294249	0.0646307	0.0652815	0.0775749	0.0306173	0.01322	0.0165184	0.0369534	0.0405554	0.0727379	0.066138	0.0938841	0.087473	0.0809635	0.0979574
enclos	0.0469601	0.0417461	0.0383314	0.0420088	0.0474438	0.0514164	0.0432641	0.0516438	0.0701379	0.0860007	0.113436	0.0500801	0.0419279	0.035151	0.0434819	0.0509791	0.035568	0.0407067	0.0697166
de	0.0359766	0.0279584	0.0200069	0.0200875	0.0215266	0.0192874	0.0181692	0.0184131	0.0177654	0.0162608	0.0157358	0.0352838	0.0355446	0.0645872	0.0548598	0.0944636	0.115821	0.164544	0.203709
la	0.0250365	0.0237896	0.0301268	0.0425525	0.0419853	0.0254283	0.0131041	0.0105665	0.00987369	0.00921168	0.0137093	0.0394554	0.0527286	0.0721596	0.111513	0.0906504	0.119469	0.127036	0.141604
parcelle	0.0548394	0.0500233	0.0443034	0.044098	0.0440217	0.0409347	0.0333827	0.0143554	0.0117744	0.0115325	0.0252517	0.043836	0.0765017	0.0573565	0.119916	0.0532441	0.0836937	0.0705393	0.120395
</S>	0.0276138	0.0209166	0.0254815	0.0259555	0.0190833	0.01964	0.0173003	0.0213236	0.0151623	0.0120772	0.0139411	0.0549318	0.0635418	0.10349	0.0894549	0.106637	0.10644	0.101648	0.155361
