 	s	o	n	g	ó	n	d	z	a	b	a	r	e	á	d	í	o	b	h	e	r	á	o	k	o	b	h	á	n	g	á	m	b	v	a	l	a	e	n	g	w	ε	n	d	z	ε	k	a	á	t	s	í	n	a	n	g	á	l	a	t	ó	n	g	á	m	w	á	n	a	y	a	n	d	é	e	w	ó	o	</S>
a	0.0106333	0.00947401	0.0108361	0.0212505	0.02825	0.0373077	0.0319304	0.0503925	0.0398739	0.0488797	0.0439228	0.0483875	0.0514448	0.0329975	0.0235998	0.0233469	0.0348303	0.0244772	0.014448	0.00955552	0.00522	0.00274421	0.00491613	0.00249649	0.00344864	0.00299045	0.00201457	0.00169543	0.00403529	0.00338269	0.00304592	0.00445597	0.00268441	0.00232509	0.00264446	0.00238835	0.00273433	0.00272661	0.00291085	0.00177519	0.00283086	0.00232502	0.00220665	0.00225749	0.00260786	0.00169033	0.00240235	0.00152149	0.00171687	0.00403365	0.00280899	0.0042993	0.00460305	0.00502673	0.00669465	0.00457583	0.00533183	0.00781574	0.00933742	0.0137262	0.0105943	0.0123682	0.0148837	0.0196771	0.0168141	0.00585534	0.0094948	0.0107998	0.00872235	0.0117174	0.0138847	0.0148979	0.0150319	0.0173469	0.0227063	0.0127202	0.0063461	0.0164756	0.0153779
ongondza	0.08927	0.052277	0.039234	0.0400396	0.0372939	0.0274191	0.0322525	0.0223616	0.046178	0.0364255	0.0400957	0.0194757	0.0229981	0.024846	0.0275488	0.0337935	0.0318152	0.0319395	0.0217786	0.0120137	0.00831634	0.0128297	0.00948576	0.00296928	0.00274325	0.0030666	0.00413643	0.00191553	0.0059333	0.00701604	0.00885702	0.00634567	0.00647722	0.0109295	0.00840181	0.00435522	0.00360915	0.00468184	0.00800389	0.00624658	0.00788604	0.00327309	0.00416344	0.00588223	0.00735729	0.00473384	0.00375755	0.00376268	0.00328823	0.00734183	0.00587857	0.00274408	0.00622056	0.00541536	0.0069267	0.00795828	0.00808465	0.00991302	0.0059141	0.00467148	0.00515646	0.00535877	0.00359142	0.00247156	0.00338303	0.00219345	0.00222708	0.0020646	0.00159117	0.00175705	0.00395351	0.00376476	0.00443111	0.0031853	0.0063001	0.0016381	0.00350643	0.0054499	0.00742731
les	0.0440166	0.0445754	0.0332504	0.0449611	0.032502	0.0260367	0.0323799	0.0182208	0.0297882	0.0241251	0.0216093	0.0107109	0.0126347	0.0168268	0.00970311	0.0161524	0.0162908	0.0232797	0.0216516	0.0215832	0.0140785	0.0129067	0.0109887	0.0132879	0.0151291	0.0126376	0.014919	0.00723135	0.014848	0.00773274	0.00715353	0.00958474	0.00736145	0.00933855	0.0132522	0.00972715	0.00612345	0.00951545	0.0052618	0.00501982	0.00944226	0.00699897	0.0107845	0.00847536	0.0109543	0.00901909	0.00598011	0.00829822	0.00807398	0.00743847	0.0115809	0.00689332	0.00928265	0.0113529	0.00676969	0.00676176	0.00614436	0.00533501	0.00504331	0.00549201	0.006925	0.00609061	0.0102286	0.00643847	0.00691109	0.00607086	0.0064509	0.00711789	0.00714003	0.00709559	0.00803228	0.00636652	0.00546936	0.00532356	0.00799273	0.00708597	0.00576259	0.0098586	0.00712162
gens	0.0151591	0.0212344	0.0201534	0.0172184	0.021216	0.0178225	0.0126911	0.0119067	0.00829334	0.00819274	0.00740963	0.00798023	0.00758717	0.00875993	0.00938482	0.011337	0.00853916	0.00957245	0.0118015	0.0143046	0.0165734	0.0169002	0.0171258	0.0122597	0.0110557	0.00990189	0.00766087	0.00723542	0.01262	0.0135407	0.0104153	0.0074599	0.0118982	0.0125183	0.00935097	0.00757333	0.00751044	0.00593272	0.0078218	0.00825269	0.00317661	0.00402927	0.00632291	0.00728613	0.00458628	0.00514202	0.00481305	0.00434183	0.00541239	0.0136747	0.00723349	0.00968942	0.0173746	0.0175949	0.0199894	0.0276792	0.0259285	0.0277809	0.0192841	0.015969	0.0191147	0.0212419	0.0192179	0.0184114	0.0172175	0.0108164	0.00900548	0.0107129	0.00927299	0.0129943	0.0135321	0.0143405	0.0133998	0.0092579	0.0139653	0.0207005	0.015341	0.0162644	0.0237129
ne	0.00735785	0.00700488	0.00793697	0.00802148	0.0107421	0.0105493	0.0107493	0.0110445	0.0120564	0.0110711	0.0120103	0.0120294	0.0110485	0.0156094	0.0139115	0.012271	0.0113627	0.0133342	0.0176826	0.0208783	0.0285698	0.0224304	0.0237108	0.0194376	0.0247883	0.023589	0.0210193	0.0197168	0.0219152	0.0183796	0.0153341	0.0131474	0.0166006	0.0161752	0.0160947	0.0168992	0.0126354	0.0142966	0.009539	0.0132675	0.00964816	0.0110964	0.0171451	0.0112897	0.0128003	0.0168837	0.0105634	0.0141871	0.0134761	0.0142773	0.0179878	0.0150629	0.0147504	0.0161355	0.0140699	0.0179736	0.0183538	0.0154518	0.00872426	0.00548357	0.00707283	0.0118395	0.00906451	0.0061252	0.00728316	0.00290725	0.00290712	0.00315236	0.00146706	0.00234058	0.00212249	0.00259446	0.00256062	0.00213081	0.00474682	0.00556653	0.00756268	0.0133606	0.0256163
peuvent	0.0115368	0.0132689	0.0126412	0.00946093	0.0138944	0.0123402	0.010825	0.0125843	0.0128788	0.00819683	0.00900024	0.0043545	0.00525545	0.00632732	0.00290488	0.00275854	0.00397767	0.00663965	0.0154035	0.0216407	0.021709	0.0180106	0.0198107	0.0229572	0.0233344	0.0204299	0.0198307	0.0271614	0.0179951	0.00879033	0.00972592	0.0139767	0.0134342	0.0127437	0.0132723	0.0118383	0.0119528	0.0129872	0.00760998	0.00498038	0.00806799	0.0118132	0.0173532	0.0092407	0.0137054	0.0138988	0.0112453	0.0104237	0.0133284	0.0108667	0.0167373	0.0210922	0.0198596	0.0262095	0.0234548	0.0205289	0.0202088	0.014963	0.0166709	0.0115178	0.012467	0.0163066	0.0139232	0.0116591	0.0114363	0.00683815	0.00576427	0.00640865	0.00296485	0.00438265	0.0041494	0.00515799	0.00504055	0.00434304	0.0103527	0.0114151	0.0163305	0.016656	0.014777
pas	0.00656773	0.00465515	0.00440773	0.00469748	0.00451646	0.0046022	0.00486752	0.00466489	0.00384467	0.00270726	0.00312085	0.00330069	0.00258302	0.00415475	0.00405535	0.00359545	0.00403188	0.00450099	0.00703415	0.00791623	0.0193488	0.0271295	0.0195076	0.0196526	0.0259506	0.0278087	0.028515	0.0273841	0.0291231	0.0250225	0.0248652	0.0232665	0.0264481	0.0255351	0.0266999	0.0253305	0.0199235	0.0186828	0.0164787	0.0256044	0.0144113	0.0163805	0.0248547	0.0207276	0.0198444	0.0276947	0.0173748	0.025887	0.0177506	0.0155486	0.0194201	0.0133865	0.0121543	0.0142813	0.0093203	0.0105931	0.015215	0.0116662	0.00932365	0.00811012	0.00892443	0.0111545	0.0086652	0.00817412	0.00740374	0.00387489	0.00478284	0.00411892	0.00219444	0.00287673	0.00248326	0.00295794	0.00360208	0.00327403	0.00416562	0.00419721	0.00463191	0.00597485	0.0104973
me	0.00847287	0.00532482	0.00452296	0.0048531	0.00491719	0.00613173	0.00724922	0.00635041	0.00462147	0.00428783	0.00452636	0.00449926	0.00448893	0.00567102	0.00469295	0.00470659	0.00581662	0.00642712	0.0080804	0.0100344	0.0139272	0.0122506	0.0112886	0.0155798	0.0227704	0.0261193	0.0244713	0.0306888	0.0281783	0.0240474	0.0199111	0.0214428	0.0262919	0.0206534	0.0217458	0.0235633	0.0189588	0.0167936	0.0133952	0.0204327	0.0122659	0.0136901	0.0198475	0.0175647	0.0152964	0.0202671	0.0148346	0.0186517	0.0152503	0.0159271	0.0199365	0.0158017	0.0148916	0.0159025	0.0124689	0.0134312	0.0215629	0.0165303	0.0101801	0.00767211	0.0131532	0.0185547	0.0118836	0.0128524	0.0139446	0.00571353	0.00804831	0.00655471	0.00372568	0.00467307	0.00343752	0.00423066	0.0045944	0.00539203	0.00592801	0.00780067	0.0079245	0.00954785	0.0118819
prendre	0.0129287	0.00775233	0.00691006	0.00770224	0.00623474	0.00576839	0.00442298	0.00480996	0.00421617	0.00369038	0.00437187	0.00804673	0.0077098	0.0114936	0.0100729	0.00492613	0.00627164	0.00665508	0.00921448	0.0141122	0.0186506	0.0198251	0.0151807	0.0165796	0.0169054	0.0198075	0.0175953	0.0213622	0.0214241	0.0163897	0.0131407	0.0159173	0.0156703	0.0153297	0.0150695	0.0157068	0.0142723	0.01149	0.0111406	0.0136727	0.00915467	0.0137487	0.0138016	0.0149162	0.0141191	0.013738	0.0133257	0.0151294	0.0142639	0.0147727	0.0166362	0.0149351	0.0147874	0.0141905	0.0111992	0.0134519	0.0158806	0.0135989	0.01055	0.01142	0.0114921	0.0138315	0.0127933	0.0135382	0.016872	0.0125083	0.0121021	0.0118014	0.00665845	0.00829031	0.00810809	0.0103477	0.011143	0.0138658	0.0137827	0.0115009	0.0223694	0.0190535	0.0238807
pour	0.017078	0.0127948	0.0111303	0.00773136	0.00736856	0.0056252	0.00405705	0.0028935	0.00266496	0.0027358	0.00275528	0.00249048	0.00205028	0.00292349	0.00229673	0.00149616	0.00186716	0.00215958	0.00500081	0.00702799	0.0189642	0.0277293	0.0215537	0.0216407	0.0192457	0.0265051	0.0290403	0.0354135	0.0350934	0.0179337	0.0154478	0.018207	0.0190006	0.0217572	0.0186121	0.0181298	0.0168042	0.0142415	0.0108626	0.0154566	0.00772591	0.0143493	0.0178489	0.0143293	0.0158693	0.0193825	0.0145801	0.0176049	0.0196626	0.0128012	0.0168508	0.0149383	0.0131669	0.0153147	0.00850762	0.0143208	0.0153351	0.00948121	0.00864372	0.00913328	0.00886982	0.0120778	0.00849689	0.0104259	0.011899	0.00647645	0.00838452	0.0082484	0.00585834	0.00680586	0.00650484	0.00836515	0.00856116	0.00977882	0.0101723	0.0117165	0.0130855	0.0142108	0.0244285
