 	e	k	y	ε	l	í	s	í	l	í	y	á	a	t	s	á	n	g	á	y	é	y	á	a	y	ú	r	u	</S>
cette	0.0106978	0.0103514	0.0139206	0.0118352	0.0112845	0.00963841	0.0157239	0.0255349	0.0199009	0.0327011	0.0350444	0.0417118	0.0449037	0.0452532	0.0484823	0.0456297	0.0453373	0.0366303	0.0373081	0.0423491	0.0452261	0.0552393	0.06078	0.0442077	0.055661	0.0452542	0.0328074	0.0454087	0.0311772
manière	0.047657	0.062043	0.126009	0.0248219	0.0149383	0.0166398	0.016486	0.0119503	0.0128926	0.0313356	0.0573425	0.0890463	0.125272	0.0795209	0.056331	0.0276528	0.0429373	0.0152287	0.0108803	0.0128461	0.0138123	0.026311	0.0366408	0.00915677	0.0101073	0.00884322	0.00572638	0.00539365	0.00217714
de	0.180287	0.0795188	0.0643174	0.0468381	0.0376762	0.023862	0.0242116	0.0134186	0.0185598	0.0162529	0.00948408	0.0145694	0.0239844	0.0196769	0.0286527	0.0363753	0.0272073	0.0347367	0.0474232	0.0462057	0.0513857	0.0307335	0.0318727	0.017695	0.0209974	0.0129139	0.0116666	0.0140379	0.0154388
faire	0.0728284	0.0762223	0.0467578	0.0377825	0.0273474	0.0499604	0.0300752	0.0408423	0.023972	0.0246614	0.0489603	0.0467932	0.0283829	0.0501032	0.0328704	0.0281909	0.0421125	0.0162204	0.0155802	0.0270725	0.0225401	0.0211589	0.0256211	0.0164555	0.0233058	0.0195721	0.0182592	0.0204494	0.0659018
couler	0.0555362	0.0613669	0.0791932	0.0672625	0.0606809	0.0749584	0.0601634	0.0359347	0.0209029	0.0241235	0.0180266	0.0133585	0.0108059	0.0205258	0.0240102	0.0258088	0.0310913	0.0453303	0.032802	0.043819	0.0284182	0.0282035	0.0239061	0.0136724	0.0153423	0.0132684	0.0169214	0.016804	0.0377626
les	0.0312049	0.0551786	0.0536517	0.0593986	0.054203	0.0899267	0.0766505	0.0461379	0.0320116	0.0386845	0.0250832	0.0193574	0.0178064	0.0260311	0.0218479	0.0329947	0.0265997	0.0267117	0.0271797	0.024341	0.0202544	0.0176291	0.019414	0.0137515	0.0144677	0.0175937	0.0239929	0.0260587	0.0618371
larmes	0.0454674	0.0623787	0.047061	0.0622012	0.0693502	0.09724	0.0821329	0.0597171	0.048943	0.0295364	0.0205388	0.0142709	0.00815594	0.00592356	0.00812333	0.0095824	0.0117963	0.0134601	0.00963402	0.0159867	0.0108219	0.0214244	0.015145	0.0238708	0.0237803	0.0282927	0.0334616	0.0503868	0.0713165
est	0.0366995	0.0826554	0.0599279	0.0775131	0.0744531	0.145935	0.117501	0.0415098	0.034048	0.0209308	0.01449	0.00905733	0.00439823	0.00365379	0.00398036	0.00389106	0.00638903	0.00903236	0.00933492	0.0137131	0.00795368	0.0161744	0.00767615	0.0120186	0.0111668	0.0140594	0.0247077	0.0382707	0.0988587
celle	0.045747	0.0400266	0.0314098	0.0218639	0.0110611	0.0102568	0.00653226	0.00749252	0.00801394	0.00751847	0.0116513	0.014809	0.0136842	0.00991182	0.00878634	0.00435516	0.0116898	0.00645501	0.011165	0.0421687	0.0335968	0.0742329	0.064453	0.0624179	0.0554211	0.0605308	0.0745659	0.0672851	0.182898
des	0.0505579	0.0526276	0.0426528	0.0469233	0.0360307	0.0605762	0.0467973	0.0432281	0.0442379	0.0380193	0.0305499	0.0120773	0.00881394	0.00914914	0.00728112	0.00960094	0.00949175	0.0135258	0.00935855	0.0165265	0.00867403	0.0231269	0.01137	0.0206248	0.0215268	0.02791	0.0558909	0.0509096	0.191941
filles	0.0597479	0.047049	0.0391658	0.0283766	0.0161386	0.00865327	0.0051642	0.00470422	0.00593419	0.00459927	0.00684543	0.00549819	0.00416218	0.00414261	0.00192293	0.000753741	0.00251915	0.00172288	0.00267645	0.00786353	0.00648511	0.031249	0.0161128	0.0610444	0.0980386	0.105385	0.140846	0.103514	0.179685
</S>	0.068631	0.049356	0.0357648	0.0286902	0.020714	0.0151413	0.00926066	0.00584428	0.00573882	0.00295146	0.0047314	0.00395393	0.00314885	0.0042561	0.00368578	0.000886921	0.005662	0.00282557	0.00388057	0.0128303	0.00842585	0.0559956	0.01731	0.0537595	0.0979716	0.104599	0.13948	0.0884931	0.146012
