 	o	t	á	á	n	y	a	m	a	y	é	é	d	i	m	ó	m	í	á	</S>
tu	0.0176936	0.029009	0.0394322	0.0384392	0.0426114	0.0269172	0.0475156	0.0418178	0.0518985	0.0549898	0.0495615	0.0571356	0.0623395	0.0626812	0.0671774	0.0728795	0.0897954	0.0655609	0.0499295	0.0326152
feras	0.0794914	0.0493973	0.0951525	0.103059	0.107909	0.0947107	0.114716	0.116411	0.111342	0.0392131	0.0118501	0.0159399	0.00815197	0.0156263	0.00835512	0.00615622	0.00405343	0.00310359	0.00479877	0.0105629
attention	0.0508636	0.0518483	0.0662604	0.0637524	0.066318	0.069575	0.04678	0.0357605	0.0237814	0.0186943	0.00858736	0.020602	0.0213051	0.0499692	0.0961259	0.0963285	0.0864849	0.0440566	0.052059	0.0308475
à	0.0880714	0.0611822	0.0762953	0.0722379	0.0704637	0.0660773	0.0315364	0.0377742	0.0314564	0.0254075	0.00942966	0.015122	0.017249	0.0338189	0.0474395	0.0491507	0.0562454	0.03754	0.0673995	0.106103
la	0.0492296	0.0472214	0.0459193	0.0518556	0.0561647	0.0511582	0.023792	0.0158173	0.017717	0.0167208	0.0210095	0.0143013	0.0142984	0.0247407	0.0549951	0.0588076	0.0891583	0.0921607	0.0905114	0.164421
viande	0.0417451	0.0667629	0.0809639	0.0821515	0.0897082	0.0859907	0.0715871	0.041331	0.0703973	0.0436185	0.0509589	0.0311582	0.0216721	0.0391627	0.0364619	0.0217435	0.0199489	0.0166246	0.0381108	0.0499022
qui	0.0839004	0.0658054	0.0366922	0.0268229	0.0205836	0.018243	0.00674474	0.005327	0.0067208	0.00855168	0.0188311	0.0302741	0.0454435	0.0676893	0.086948	0.0907596	0.0852542	0.0608071	0.0739666	0.160635
est	0.101769	0.0903913	0.0667143	0.0528362	0.044469	0.0452622	0.0241701	0.0123143	0.0152505	0.013299	0.013005	0.0107461	0.0125665	0.026398	0.0430365	0.0394007	0.0355418	0.0312321	0.0810362	0.240561
sur	0.232501	0.0762006	0.0538749	0.0384762	0.0289737	0.0194111	0.00899814	0.00691755	0.00773327	0.00918617	0.0119513	0.0149142	0.0175624	0.0333994	0.0463541	0.0508876	0.0481014	0.0246473	0.0674036	0.202506
le	0.150582	0.065931	0.0425006	0.037913	0.0282045	0.0211512	0.0123135	0.0128052	0.0143941	0.0179524	0.0200951	0.0261409	0.0300184	0.035605	0.0440247	0.0644673	0.0755082	0.0456124	0.0800319	0.174749
feu	0.104332	0.0603435	0.0587912	0.0474699	0.0411769	0.0308556	0.0169487	0.0112026	0.0127261	0.0133682	0.0148162	0.0147722	0.0215837	0.0320163	0.0479849	0.0610457	0.0756439	0.0628825	0.107436	0.164603
</S>	0.136675	0.119414	0.0957029	0.0872782	0.0503008	0.0276638	0.0176184	0.015826	0.0137719	0.00838703	0.00690575	0.0104253	0.0102697	0.0144875	0.0206942	0.0287145	0.0478434	0.0236888	0.0617482	0.202585
