 	m	w	á	n	a	y	a	l	ε	k	ώ	ώ	l	i	á	m	i	p	é	s	í	n	á	s	í	b	a	a	l	á	m	b	ώ	n	g	ω	</S>
l'	0.00636056	0.0164238	0.0205383	0.00777277	0.00624405	0.00506307	0.00623261	0.0140792	0.0203509	0.0231338	0.0343408	0.0390045	0.0490003	0.0527812	0.0615881	0.0538519	0.0614373	0.0382116	0.0353276	0.0325894	0.0308747	0.0181414	0.019325	0.0137723	0.0248236	0.029548	0.0360168	0.0334874	0.0278906	0.0263144	0.0230275	0.0202221	0.0160094	0.0197031	0.0257101	0.0217126	0.029089
écolier	0.0883414	0.0446043	0.0578676	0.16302	0.135212	0.228983	0.093331	0.0764667	0.0205956	0.0137945	0.00781183	0.00629783	0.00422289	0.00333969	0.00164303	0.00323578	0.00164046	0.00103562	0.00162377	0.0032971	0.00568364	0.0092587	0.00205569	0.00217227	0.000446525	0.00165337	0.00102837	0.00261556	0.00197247	0.00161511	0.00337041	0.00301876	0.00255455	0.00158308	0.00232511	0.00166089	0.000621146
s'	0.0145995	0.0179567	0.0142419	0.013893	0.0176078	0.0187296	0.0185925	0.0163642	0.0112419	0.0157011	0.0207817	0.0213335	0.0183808	0.0175323	0.0109023	0.0149747	0.0109527	0.0122269	0.0134818	0.0177044	0.0301663	0.0418189	0.0669701	0.0637419	0.0794865	0.0486455	0.0816921	0.0475344	0.0421709	0.0482309	0.0308676	0.0189764	0.02334	0.0101567	0.0151303	0.0191405	0.0147321
est	0.0617968	0.0336099	0.0085067	0.0121819	0.00890128	0.0226305	0.00946776	0.0172779	0.0177619	0.0230115	0.0290285	0.0254009	0.0567282	0.0335855	0.0415815	0.0241133	0.0328939	0.0167375	0.0194414	0.0389134	0.0908851	0.0972847	0.053535	0.0359993	0.0194858	0.0311336	0.0156688	0.0131529	0.0132154	0.00754948	0.00677742	0.00881386	0.00881697	0.0123222	0.0126785	0.0149488	0.0241618
trompé	0.0459713	0.0177848	0.033981	0.0390035	0.0332789	0.0280978	0.0311502	0.030916	0.0294798	0.0234274	0.0276717	0.0196768	0.0219232	0.0274683	0.0189232	0.0269275	0.0204743	0.034297	0.0421226	0.0608613	0.0504013	0.0476782	0.0203745	0.0238697	0.0178818	0.0195301	0.0131037	0.0132583	0.0108322	0.0115184	0.0121795	0.0183049	0.0233632	0.0213514	0.0294431	0.0253685	0.0281046
dans	0.0537039	0.0226205	0.0173649	0.0179413	0.0189994	0.0149302	0.01692	0.0169939	0.0185252	0.0222322	0.0233241	0.0180501	0.0159961	0.0182689	0.0144693	0.014755	0.0161976	0.0204988	0.0218951	0.0339164	0.0239745	0.035822	0.0666252	0.0430921	0.0512286	0.0245408	0.0223906	0.0185596	0.0150743	0.0173091	0.0173379	0.0247827	0.0281159	0.0273686	0.0338538	0.0328347	0.0994866
le	0.0357735	0.0344927	0.0332222	0.032727	0.0356135	0.0144686	0.0171841	0.0166359	0.0163433	0.017834	0.0179614	0.0164784	0.0227052	0.0173842	0.0132377	0.0159815	0.0194806	0.0309253	0.0301343	0.0445714	0.0447609	0.0481253	0.0657406	0.035451	0.0344148	0.019667	0.0182786	0.0182772	0.0138529	0.0126918	0.0174394	0.0225992	0.0196514	0.0218249	0.0249237	0.028176	0.0709706
calcul	0.0110129	0.0178249	0.0103008	0.00896362	0.0106319	0.0110709	0.00914293	0.0099817	0.0101303	0.00975436	0.00923341	0.00981777	0.0119437	0.0108601	0.0117475	0.0135475	0.0140457	0.02101	0.0217048	0.024352	0.0261045	0.0349538	0.0250577	0.0241947	0.00942892	0.0165452	0.0188219	0.037262	0.0358164	0.0401784	0.0431624	0.0592766	0.0528304	0.0693485	0.0728405	0.0665184	0.110583
de	0.230239	0.0226404	0.0251511	0.0213777	0.023043	0.0136815	0.00752605	0.0092041	0.00899407	0.00967041	0.0082967	0.00891438	0.0132001	0.00942083	0.0085261	0.0123392	0.0148089	0.0342655	0.062736	0.0679317	0.0533749	0.0638121	0.0324844	0.0195215	0.0162829	0.0112814	0.0105678	0.00945294	0.00805918	0.00916954	0.00814446	0.012247	0.016504	0.0131718	0.0180098	0.0225236	0.0634255
l'	0.199502	0.0425169	0.0201587	0.01689	0.0117451	0.012858	0.00911525	0.0114798	0.00951252	0.0105258	0.0121965	0.0155606	0.0189662	0.017881	0.0151644	0.0231944	0.0195703	0.0235317	0.0260541	0.0240019	0.0255872	0.0286122	0.0174508	0.0164749	0.0101384	0.0193253	0.0114021	0.0185997	0.0162748	0.018049	0.0157138	0.0301423	0.026558	0.0360327	0.0437263	0.0422316	0.0832554
argent	0.032763	0.0247811	0.0205612	0.021141	0.0177248	0.0228841	0.0135603	0.016132	0.016257	0.0164447	0.0154255	0.015029	0.0180934	0.021116	0.0188196	0.02467	0.020253	0.0343638	0.0379923	0.0336564	0.039072	0.0440664	0.0106102	0.0143041	0.00306279	0.0152927	0.0124794	0.0293227	0.0346161	0.0304085	0.0364587	0.0604963	0.0491421	0.0502364	0.0495353	0.0363258	0.0429027
</S>	0.141459	0.059118	0.0337734	0.0684215	0.0561522	0.043244	0.0214361	0.0310128	0.0129637	0.0116442	0.0089332	0.0110389	0.0115137	0.0113252	0.00731614	0.00668374	0.00647564	0.00611753	0.00555167	0.00543377	0.00634435	0.0111583	0.0167919	0.0182018	0.0127477	0.0245024	0.0164907	0.0238777	0.0221577	0.0230184	0.019285	0.0310201	0.0268605	0.038527	0.038072	0.0413693	0.069961
