 	o	k	w	á	m	ó	ó	k	a	n	í	n	g	á	s	á	b	e	a	ó	b	h	ó	l	i	</S>
le	0.0099911	0.0148673	0.0207702	0.0261411	0.0351894	0.0415501	0.0329925	0.0391555	0.0407791	0.0377443	0.0472983	0.0484844	0.050314	0.0422182	0.0636812	0.0484185	0.0429883	0.0405716	0.0380076	0.0454193	0.0429185	0.0363111	0.0451618	0.0424068	0.0380305	0.0285894
sel	0.0157027	0.0305157	0.0316787	0.0240344	0.101243	0.161653	0.136843	0.0610557	0.0650188	0.051437	0.0211857	0.0251787	0.0258337	0.0471909	0.0313553	0.027694	0.0323203	0.0207593	0.00889487	0.0104511	0.0256417	0.0203747	0.0141283	0.00362104	0.00352104	0.00266669
que	0.167136	0.0922879	0.05933	0.0280157	0.0399328	0.0167776	0.03071	0.0158127	0.0119884	0.0134324	0.0169087	0.0329459	0.035873	0.0833163	0.0458051	0.0715542	0.0354122	0.0427828	0.0401269	0.0209338	0.0242938	0.0205698	0.0112036	0.0146891	0.0153961	0.0127651
j'	0.02482	0.027602	0.0363593	0.018885	0.0255563	0.0206689	0.0157052	0.0133423	0.0222108	0.0299749	0.0447627	0.0612193	0.0917668	0.0728477	0.0474801	0.0399855	0.0175689	0.012881	0.0107796	0.0132081	0.0139251	0.0196135	0.0238072	0.0457056	0.102588	0.146736
ai	0.0226832	0.0208117	0.0531173	0.0477005	0.063635	0.0512989	0.060805	0.0431856	0.0409833	0.0321619	0.0256199	0.0398072	0.055694	0.0306414	0.0286726	0.0353016	0.0475188	0.0442902	0.0243714	0.031644	0.0298357	0.0247138	0.0243365	0.0183775	0.0446084	0.0581844
mis	0.0185933	0.0236602	0.0378425	0.029391	0.0319833	0.0333292	0.0476586	0.0398989	0.0380229	0.0375806	0.0312621	0.0339813	0.0263494	0.0228828	0.0331868	0.0426694	0.0530542	0.051319	0.0480588	0.0423054	0.0480957	0.0427012	0.0288795	0.0315563	0.0423057	0.083432
dans	0.0376198	0.0343712	0.0758442	0.0449133	0.0189386	0.0223633	0.0301127	0.0312984	0.0309886	0.0245789	0.0162383	0.0141093	0.014612	0.0134091	0.0217662	0.0277792	0.0405349	0.0544642	0.0389726	0.0460127	0.0432468	0.0557321	0.0524285	0.0441234	0.0735308	0.0920111
la	0.0529688	0.0464726	0.0389452	0.0208794	0.0210721	0.0247236	0.0354746	0.03259	0.0346502	0.0377516	0.0437976	0.0463536	0.0671767	0.0270361	0.0182776	0.0221921	0.0306694	0.0235556	0.0288976	0.0282065	0.0385201	0.0362005	0.0286757	0.0369177	0.0537763	0.124219
nourriture	0.0294567	0.0512209	0.0586001	0.038282	0.022179	0.0245711	0.0272779	0.0274938	0.0290126	0.0273918	0.0210505	0.0146031	0.0177486	0.010731	0.0139493	0.0152613	0.0338108	0.0246236	0.0171582	0.0220392	0.0407911	0.0417836	0.0498077	0.0479067	0.0934544	0.199795
a	0.136806	0.087635	0.0580336	0.0324057	0.0181785	0.0173259	0.0189792	0.0209084	0.0206262	0.0228026	0.0294004	0.043562	0.0857924	0.030343	0.0103141	0.0102552	0.013558	0.0121655	0.010197	0.013427	0.0191758	0.0191886	0.0142772	0.0134921	0.0499276	0.191223
suffi	0.0930301	0.0535887	0.0554703	0.020115	0.0140309	0.010913	0.00936659	0.00760709	0.0105116	0.0109978	0.00971926	0.00471068	0.00668314	0.00744726	0.0121982	0.0203501	0.0455127	0.0499604	0.0236584	0.0484947	0.0459983	0.0569899	0.0536415	0.0407429	0.131036	0.157225
</S>	0.0527135	0.0486438	0.0463839	0.0273322	0.0245059	0.0258202	0.0268819	0.025562	0.0248178	0.0243772	0.0260199	0.0200009	0.0267286	0.0213592	0.0350994	0.0455996	0.0756781	0.036335	0.0311525	0.0350636	0.0345606	0.0392299	0.0307056	0.027354	0.0583081	0.129766
