 	s	á	b	a	r	e	b	á	á	d	z	e	b	á	a	b	a	a	n	a	o	k	w	ω	i	o	b	o	s	ó	á	d	z	e	n	d	a	</S>
parmi	0.0109446	0.0285072	0.0511124	0.015984	0.0196115	0.0185955	0.0212909	0.0211926	0.0257655	0.0185722	0.0157256	0.0322866	0.0783084	0.0690958	0.0497123	0.0811791	0.0896123	0.0424626	0.0258264	0.0159571	0.0148666	0.0152692	0.0118247	0.0158329	0.0110848	0.0197646	0.0115329	0.0136371	0.010646	0.0111958	0.0100081	0.0102177	0.0120852	0.0179186	0.0177936	0.0276503	0.022445	0.0144843
ceux	0.0767525	0.0524913	0.0545596	0.0504419	0.0457443	0.0500145	0.0390826	0.0443585	0.0256752	0.0427675	0.0251789	0.0360575	0.0381233	0.0234896	0.0372821	0.03093	0.0359859	0.0247961	0.0159925	0.0136877	0.0100742	0.0158813	0.0174299	0.0244345	0.0253357	0.0340746	0.038531	0.0208776	0.0173307	0.00346124	0.0025064	0.00270661	0.00376274	0.00330759	0.00277716	0.00418575	0.00527732	0.00463419
qui	0.0856195	0.0573222	0.0679849	0.0262601	0.0163365	0.0159527	0.0137009	0.0184891	0.0194355	0.0389484	0.0421296	0.0372329	0.0244337	0.0217877	0.0257383	0.0177964	0.0174054	0.0157504	0.0202491	0.026374	0.0209636	0.0234739	0.0264004	0.0327222	0.0149284	0.024028	0.0183923	0.0272007	0.028637	0.0182961	0.0247718	0.0192438	0.0204178	0.0188203	0.0161179	0.0180639	0.0241458	0.0144287
se	0.0402324	0.0324997	0.022944	0.0222744	0.0182985	0.017293	0.0230815	0.0188946	0.0203566	0.0210582	0.0194671	0.0227537	0.0220749	0.0181713	0.0324164	0.022224	0.033012	0.0409502	0.0579609	0.0558349	0.0359687	0.0393019	0.0540345	0.0415965	0.0299697	0.0262298	0.0213219	0.0196342	0.0173788	0.0148053	0.0116993	0.00929294	0.0141308	0.0144918	0.0138278	0.0133348	0.0201816	0.0410014
querellaient	0.0193206	0.0231308	0.0194063	0.0164948	0.0184956	0.0239996	0.0327491	0.0385322	0.0401448	0.0486597	0.0426951	0.0352729	0.0208923	0.0134874	0.0238456	0.016371	0.0149976	0.017305	0.0124439	0.0163005	0.0166302	0.0164265	0.0287283	0.0364647	0.034842	0.0253638	0.025125	0.0265331	0.0266301	0.0346763	0.0210562	0.0160538	0.0324839	0.027638	0.0228707	0.0223412	0.041659	0.0499325
lequel	0.0358479	0.0343179	0.0248829	0.0270208	0.0273645	0.0354682	0.040667	0.0449801	0.0452806	0.0456134	0.0407372	0.0356079	0.0224121	0.0201854	0.0282526	0.0221268	0.021313	0.0213888	0.0163977	0.0127366	0.0192008	0.0145606	0.0234203	0.0274616	0.0310883	0.022336	0.0253518	0.0214952	0.0145003	0.0198565	0.0105979	0.00902747	0.0247023	0.0156398	0.0140177	0.00968797	0.0329476	0.0615061
s'	0.0460042	0.0272774	0.0209108	0.0163925	0.0140653	0.017037	0.0217205	0.0162112	0.0120601	0.0103842	0.00875035	0.0102359	0.00985484	0.0108181	0.016043	0.0148867	0.0167955	0.0134097	0.0300815	0.0377537	0.0386844	0.034034	0.0400098	0.0414537	0.0577999	0.0602962	0.0398047	0.036159	0.0293329	0.0372899	0.0249353	0.0119047	0.0195413	0.0206003	0.0280018	0.0199458	0.0366169	0.0528969
est	0.0975065	0.0531884	0.0414215	0.028199	0.0252651	0.0271962	0.0235975	0.0116257	0.00788578	0.0052742	0.00475673	0.00518565	0.00565478	0.00629141	0.0157413	0.0157192	0.0221014	0.0100567	0.0253882	0.0248837	0.025736	0.022936	0.0234397	0.0261342	0.0389087	0.0410234	0.0292953	0.0263466	0.0225898	0.035377	0.0263992	0.0197721	0.0286709	0.025039	0.030492	0.0252673	0.0371748	0.058459
calmé	0.0544768	0.0384634	0.0365309	0.0361564	0.0307244	0.0279692	0.0238651	0.017745	0.012881	0.00933216	0.00625836	0.010733	0.0114208	0.012094	0.0188664	0.018555	0.0226852	0.017103	0.0172209	0.0171137	0.0244002	0.0194485	0.0196857	0.0210848	0.0381982	0.0293215	0.04274	0.0342016	0.0393474	0.0383812	0.0291577	0.0265506	0.028906	0.0329852	0.026515	0.0297245	0.034369	0.0447883
avant	0.0238639	0.0180725	0.0173394	0.0175567	0.017078	0.0169902	0.0122149	0.00908371	0.00757674	0.00737388	0.00687097	0.00928351	0.00922696	0.00867127	0.00852697	0.0107215	0.0106423	0.0156963	0.0309464	0.0390241	0.0344168	0.0239474	0.0231765	0.0339737	0.0281042	0.0253633	0.0290619	0.0216486	0.0166409	0.0268743	0.0218279	0.0299082	0.0371705	0.0551292	0.0599538	0.0546611	0.0829476	0.0984339
</S>	0.074344	0.0370174	0.028071	0.0269472	0.0226313	0.0173707	0.0147435	0.0121311	0.0119122	0.00996571	0.00826495	0.00668072	0.00609943	0.00849135	0.00588273	0.00660092	0.0115383	0.0132791	0.0169838	0.0494555	0.0155866	0.0183999	0.0399941	0.024726	0.0208094	0.0369804	0.0412142	0.0400804	0.0506059	0.0410639	0.0393832	0.0307115	0.0228073	0.0248627	0.0229587	0.026793	0.0363788	0.0782333
