 	i	k	a	k	a	m	b	a	l	í	i	p	έ	έ	w	á	o	m	o	r	a	m	w	ε	</S>
ses	0.0580014	0.046395	0.0272493	0.0124152	0.0123441	0.0110068	0.0145179	0.0165306	0.0183152	0.0395874	0.0748797	0.0678437	0.148778	0.0835177	0.0466188	0.0389117	0.0388164	0.0376968	0.034799	0.0331019	0.0359635	0.0392844	0.0153881	0.0250612	0.0229771
favoris	0.0336898	0.0631428	0.0452165	0.0338583	0.0578638	0.0600529	0.0376199	0.0620322	0.110848	0.0643147	0.0918347	0.0644717	0.113738	0.0453131	0.0198123	0.00627845	0.0130008	0.0199497	0.0154365	0.0152866	0.00904427	0.00682643	0.00400239	0.00266777	0.00369853
lui	0.0241783	0.0310403	0.0373863	0.0279322	0.0365441	0.0429464	0.0539151	0.0574358	0.089333	0.107344	0.0940096	0.0463697	0.0537832	0.0245898	0.0186129	0.0359454	0.02264	0.0234331	0.0400065	0.0182618	0.023984	0.019851	0.0312624	0.0168847	0.0223102
donnent	0.0346913	0.0370131	0.041307	0.04048	0.0380986	0.0513715	0.0384652	0.0530896	0.0701137	0.105066	0.079746	0.0533899	0.064614	0.029379	0.0192562	0.0225836	0.0275889	0.0263812	0.0120149	0.0119303	0.0100323	0.0175359	0.0217697	0.0384486	0.0556332
l'	0.0078183	0.0123622	0.0183108	0.0219853	0.0185287	0.0249279	0.0643752	0.0868817	0.0957332	0.089047	0.0969963	0.0510615	0.0416165	0.0304843	0.0269837	0.0478295	0.0259565	0.0345687	0.0217473	0.0141109	0.0143745	0.0217727	0.0391433	0.0318449	0.061539
aspect	0.0154675	0.0221993	0.0249386	0.0213247	0.0201562	0.0251145	0.0286193	0.0486745	0.062901	0.0860457	0.10221	0.0799473	0.0781959	0.0457576	0.0238129	0.0212865	0.026135	0.029237	0.0272687	0.0273928	0.0333562	0.0334824	0.0306351	0.0431118	0.0427293
d'	0.0148266	0.0185502	0.0212889	0.019281	0.0153245	0.0226169	0.0342151	0.0441452	0.044629	0.0423363	0.054284	0.0363848	0.0330341	0.026689	0.0252729	0.0315649	0.03491	0.0559104	0.0492013	0.0408395	0.040539	0.0576408	0.0674682	0.0674271	0.10162
une	0.0544956	0.019991	0.0175135	0.0240304	0.031825	0.0319358	0.0414458	0.0399545	0.042308	0.0612778	0.0366271	0.0451933	0.039507	0.0531567	0.0356646	0.0454014	0.0393187	0.0401847	0.0354313	0.0376232	0.0370634	0.039614	0.0535242	0.041685	0.0552279
personne	0.0299864	0.0173121	0.0158486	0.0205291	0.0275035	0.0279768	0.0185161	0.0169874	0.0137761	0.0123749	0.00961016	0.00921627	0.0169589	0.0179542	0.0155912	0.0100065	0.0285299	0.0302761	0.030292	0.0475799	0.0603067	0.10703	0.101816	0.151342	0.162679
âgée	0.0476661	0.0344562	0.0269163	0.0284652	0.0235013	0.0246989	0.0168445	0.0201672	0.0204592	0.0284625	0.0243063	0.0203507	0.0229899	0.0209104	0.0186105	0.0131794	0.0164841	0.0265267	0.035198	0.0484603	0.0510315	0.0819316	0.0808611	0.122094	0.145429
</S>	0.0390835	0.0248152	0.0178057	0.0169052	0.0151221	0.0156923	0.00989444	0.00987025	0.0099891	0.00902038	0.00716449	0.00896875	0.00961847	0.0103291	0.0238472	0.0168619	0.0364331	0.033312	0.0381948	0.0440974	0.0425986	0.083941	0.0938268	0.176202	0.206406
