 	b	á	n	a	á	m	a	a	n	i	o	y	í	í	r	á	o	t	s	i	i	n	a	m	í	k	y	a	l	á	t	s	a	a	n	i	</S>
les	0.0475743	0.0758124	0.0477601	0.0150092	0.03475	0.0257902	0.0341582	0.0319263	0.0339644	0.0404244	0.0358606	0.070769	0.0763933	0.0173282	0.0211273	0.0188539	0.0179587	0.0119495	0.0114373	0.0108803	0.0104289	0.010749	0.0108535	0.0216266	0.0174294	0.0229716	0.0250856	0.0189049	0.0252326	0.0161488	0.0196304	0.0243945	0.0232954	0.0219341	0.0169919	0.0182961	0.0162991
enfants	0.0705135	0.0439001	0.0566517	0.0807298	0.068802	0.138884	0.0802316	0.0657348	0.0231883	0.0302518	0.0204222	0.0325873	0.0353918	0.0144851	0.0114566	0.00745587	0.0164044	0.0115441	0.0132862	0.00823116	0.0128926	0.00723048	0.00923005	0.00669686	0.00948275	0.0109077	0.0139746	0.0133115	0.00911178	0.0138357	0.0122204	0.0142144	0.0149124	0.00908914	0.0041755	0.00373758	0.00482391
ont	0.0357215	0.0301035	0.0337647	0.0482103	0.0354722	0.0315082	0.0365146	0.0360954	0.0409935	0.0472335	0.0649408	0.0647551	0.0332853	0.0243876	0.0226915	0.0164256	0.0171417	0.00739503	0.0101357	0.0106785	0.0169003	0.00979011	0.0177244	0.0173495	0.0176465	0.0154683	0.023979	0.0265869	0.0224989	0.0337737	0.0270182	0.0352313	0.0291134	0.021213	0.0123062	0.0149805	0.0109655
passé	0.0104299	0.0101608	0.0112457	0.0132011	0.0110204	0.0186206	0.0122099	0.0184735	0.0254874	0.0309566	0.0364898	0.0333637	0.0328087	0.0272061	0.0251739	0.0203748	0.0166333	0.017629	0.0228359	0.0235575	0.0266592	0.0294065	0.0274942	0.0252818	0.0236078	0.0231599	0.0259373	0.0321476	0.0340494	0.0525682	0.0542027	0.0661773	0.073741	0.029843	0.0231684	0.0195944	0.0150825
toute	0.0243503	0.0201568	0.0198315	0.0277571	0.024763	0.0260247	0.0283792	0.0295484	0.0213696	0.0185038	0.0291391	0.0256175	0.0270536	0.0276752	0.0298817	0.0324242	0.0293889	0.0295366	0.0292564	0.027994	0.02738	0.0262831	0.0255519	0.0222086	0.0229381	0.0257542	0.0273477	0.0297171	0.0314993	0.0330535	0.0335962	0.0273151	0.033176	0.0242004	0.0216075	0.0236381	0.0360814
la	0.0120477	0.0134551	0.01095	0.0136752	0.0122956	0.0107904	0.0135191	0.016604	0.0127645	0.0113972	0.0172895	0.0143575	0.015311	0.0195883	0.0214587	0.0233768	0.0237063	0.0242936	0.0226644	0.028936	0.0269585	0.0317384	0.0338475	0.0367392	0.0421636	0.0384878	0.0437571	0.0514254	0.0413941	0.0609731	0.0502441	0.0340971	0.0322107	0.0312033	0.025628	0.0319214	0.0487297
journée	0.0242519	0.0250514	0.0187309	0.0238832	0.0218228	0.020439	0.0262225	0.032227	0.0316574	0.0261902	0.0395548	0.0317712	0.0247231	0.0277648	0.0356915	0.0313651	0.0341528	0.0369584	0.0337721	0.0402771	0.0475422	0.0403055	0.04564	0.0243595	0.0271659	0.016128	0.0154632	0.0210883	0.0139432	0.0231094	0.017022	0.0151844	0.0135847	0.0149667	0.0208218	0.0167568	0.0404111
à	0.010958	0.00974828	0.0085296	0.0100215	0.00931676	0.00882114	0.0100177	0.0115028	0.0111469	0.0112208	0.0135478	0.011089	0.00849124	0.013947	0.0162847	0.0158091	0.0178759	0.0215322	0.021809	0.0325033	0.0380091	0.0378692	0.0422536	0.0465813	0.0518495	0.0469693	0.0520586	0.0537266	0.0320297	0.0574502	0.0416111	0.0380006	0.0230096	0.0345548	0.0368515	0.0419652	0.0510376
jouer	0.0241805	0.0166408	0.0159847	0.0162918	0.0162154	0.0171198	0.013965	0.0102775	0.00800862	0.00732191	0.00984304	0.00872043	0.0102455	0.0133202	0.0161401	0.0142877	0.0157999	0.0174508	0.0199271	0.0194155	0.0226397	0.0228931	0.0181577	0.0205958	0.028737	0.0331364	0.0424139	0.0421528	0.040612	0.0481634	0.0517807	0.0454228	0.0603196	0.0540678	0.0574656	0.0588281	0.0614572
</S>	0.0174613	0.0127533	0.0117058	0.0126218	0.0112463	0.0110515	0.00993484	0.00751083	0.00729452	0.00615553	0.00805284	0.00526835	0.00504001	0.00750757	0.0083599	0.00879012	0.00964003	0.017317	0.0181715	0.025453	0.0325986	0.0201647	0.0264198	0.027192	0.040228	0.0307252	0.0531548	0.0521027	0.0393326	0.0627274	0.0587288	0.0495373	0.0372358	0.0497599	0.0527991	0.0647137	0.0812435
