 	b	í	s	í	l	é	b	ó	n	d	i	e	k	í	n	d	i	y	o	t	á	</S>
on	0.240733	0.158534	0.0765277	0.0860057	0.0671121	0.0183712	0.0236316	0.0192726	0.0193314	0.0218999	0.0195215	0.0381546	0.0374763	0.032834	0.0298221	0.0204477	0.0180538	0.0147796	0.0154303	0.013503	0.0140653	0.0144924
a	0.110456	0.121231	0.0919219	0.111091	0.101523	0.101759	0.0732835	0.0663144	0.037395	0.0438045	0.0377562	0.0318583	0.00692587	0.00329228	0.00395812	0.0075443	0.00832088	0.00817028	0.00592048	0.00958143	0.00832411	0.00956946
entendu	0.0554457	0.0575111	0.0833594	0.0510563	0.0248833	0.0335484	0.0452859	0.0510526	0.0602775	0.0647701	0.11809	0.0787404	0.0404373	0.0243936	0.0202352	0.021555	0.0251206	0.0281804	0.0350326	0.030089	0.0281359	0.0227997
le	0.0814415	0.0531292	0.0663701	0.0654402	0.0298529	0.0228215	0.0353685	0.0290811	0.0391449	0.0383976	0.0534114	0.0345902	0.0261576	0.0256749	0.0316833	0.0386641	0.0327688	0.0477126	0.0491386	0.0513322	0.0531946	0.094624
bruit	0.0242961	0.0170288	0.015142	0.0317211	0.0383535	0.0684513	0.0616522	0.0497469	0.0493626	0.0582101	0.0614499	0.0536096	0.0454843	0.0340559	0.0325084	0.0440848	0.0420789	0.0416839	0.0455997	0.0478276	0.0592433	0.078409
d'	0.0479601	0.032272	0.0195892	0.0203124	0.0211401	0.0396797	0.0471179	0.0338368	0.0236165	0.0249124	0.0284611	0.0296953	0.0325571	0.0366589	0.0425173	0.0623322	0.0517152	0.0665089	0.0727173	0.073205	0.0931738	0.100021
un	0.13401	0.0479398	0.0463674	0.0244225	0.022159	0.0343814	0.0331847	0.029454	0.0238476	0.0273794	0.0420338	0.0324177	0.0195702	0.0165038	0.0110428	0.0124976	0.0175836	0.0290379	0.0442675	0.0706464	0.113697	0.167556
coup	0.0256991	0.0134719	0.0135656	0.0143654	0.0157777	0.0179907	0.0111357	0.0154677	0.0154105	0.0209385	0.0251012	0.0332136	0.0267313	0.0363779	0.0381897	0.0548526	0.0391333	0.0491928	0.0555213	0.122849	0.147936	0.207078
de	0.0780711	0.0443254	0.0375416	0.0219961	0.0102679	0.00888253	0.00772709	0.00742629	0.0089633	0.0093809	0.0123576	0.0212166	0.0279483	0.020129	0.0105729	0.012349	0.0200952	0.0353308	0.0473272	0.101254	0.172227	0.284611
fusil	0.113229	0.043346	0.0288206	0.020057	0.0108443	0.00979569	0.00937067	0.00991243	0.0118962	0.0123079	0.0116316	0.0181739	0.0237135	0.0224072	0.0194521	0.0203914	0.0364992	0.0443675	0.0647251	0.0845388	0.117914	0.266606
</S>	0.0918252	0.0422814	0.0253992	0.0193683	0.0135907	0.0116367	0.0104241	0.010793	0.0118252	0.0111958	0.00903468	0.0107375	0.0129931	0.0140393	0.0135162	0.0192962	0.0283464	0.0403209	0.050423	0.0834222	0.121146	0.348384
