 	b	á	a	t	ó	n	g	á	m	ú	a	m	ó	l	e	k	a	a	</S>
on	0.191501	0.306788	0.17755	0.11007	0.0300424	0.0214747	0.0243673	0.0167628	0.012998	0.00894598	0.012837	0.0112401	0.0101774	0.0174186	0.0128258	0.0128568	0.0113065	0.00589848	0.00493938
tisse	0.0403118	0.0312959	0.0230576	0.0443772	0.0555468	0.0555635	0.0865737	0.0905637	0.139498	0.185426	0.098412	0.0427815	0.0435052	0.0184347	0.0113607	0.0102763	0.00541112	0.00813151	0.0094733
la	0.048737	0.0469584	0.0411579	0.070166	0.0354966	0.0421886	0.0534791	0.0596644	0.0491765	0.0535777	0.0695488	0.0746684	0.0733762	0.0482504	0.0396645	0.0502437	0.038573	0.054572	0.0505009
hotte	0.0174304	0.0188408	0.0251537	0.0424046	0.0870423	0.0499338	0.0585277	0.0657007	0.0784682	0.11159	0.0787895	0.0848849	0.0681403	0.0427083	0.0288597	0.0271193	0.0272338	0.0320762	0.0550959
à	0.030966	0.0244243	0.0226151	0.0322455	0.0433523	0.0478402	0.0351195	0.0409045	0.033249	0.0297902	0.0197046	0.0359932	0.0320611	0.0387515	0.0445947	0.0570608	0.0594162	0.0796397	0.292272
l'	0.0367658	0.0245898	0.0254227	0.0405647	0.0411904	0.0612129	0.0477443	0.0468839	0.054626	0.0540494	0.0411865	0.054254	0.0612657	0.0670224	0.0638457	0.0841363	0.0862532	0.0334891	0.0754971
aide	0.0173899	0.0168312	0.016196	0.0187337	0.0239414	0.0402094	0.0386752	0.0396799	0.0553745	0.0663169	0.0720941	0.0726844	0.0789168	0.0655647	0.0535832	0.045206	0.0495608	0.0584101	0.170632
de	0.035951	0.0312056	0.0333243	0.0427895	0.0335281	0.0391972	0.0364648	0.0407496	0.0471873	0.0389922	0.0268729	0.0335132	0.0309259	0.0294861	0.0300962	0.0513957	0.0767783	0.0970497	0.244492
la	0.0536975	0.0416576	0.0389002	0.0412398	0.0359938	0.026854	0.0197689	0.0193742	0.0216597	0.0196595	0.0248521	0.0268239	0.0362246	0.0429173	0.0502923	0.089715	0.101502	0.116753	0.192114
liane	0.0625535	0.0417072	0.0369675	0.0300646	0.0288126	0.0206127	0.0231543	0.0215578	0.0293509	0.0380892	0.0403638	0.0382176	0.0370281	0.042279	0.0502795	0.0621776	0.0802795	0.111952	0.204552
lekaa	0.078256	0.0456473	0.0448221	0.0385752	0.0365859	0.0310252	0.0203667	0.0247297	0.0214759	0.0203661	0.0307407	0.0263222	0.0425453	0.0438782	0.037091	0.0598287	0.0502148	0.0943581	0.253171
</S>	0.0913826	0.0619147	0.04932	0.0604852	0.032001	0.0205794	0.0187596	0.0251596	0.026497	0.0250849	0.0249632	0.0210985	0.0314564	0.0335221	0.0419716	0.0530915	0.062653	0.0867875	0.233272
