 	m	b	ó	s	i	á	p	f	ú	u	s	ó	k	o	n	d	a	l	a	b	ó	n	g	i	m	ó	k	ω	r	ω	</S>
la	0.0128297	0.0181031	0.00898507	0.0120601	0.00864946	0.0139777	0.0195723	0.0185447	0.0281385	0.0385411	0.0400989	0.0641788	0.0564301	0.0495145	0.0378581	0.0315891	0.0409929	0.047432	0.0521196	0.0560414	0.044699	0.0387574	0.0547252	0.0348998	0.0221126	0.0227816	0.0207533	0.0220665	0.0209747	0.0282504	0.0343223
chèvre	0.0234491	0.0631235	0.0784478	0.121864	0.118091	0.0585572	0.0788259	0.108272	0.0746331	0.0554171	0.0429673	0.0309431	0.0230373	0.00866426	0.00701024	0.00818017	0.00691999	0.0050197	0.00385657	0.00312386	0.00432593	0.00391287	0.00634594	0.0212676	0.00870527	0.00853879	0.0116852	0.00750209	0.00374533	0.00234049	0.00122646
est	0.0309267	0.0368586	0.0330524	0.0362728	0.033596	0.0493292	0.0460672	0.0439969	0.0176104	0.0171669	0.0190661	0.0125674	0.0208675	0.0271704	0.048258	0.043069	0.0383542	0.0306158	0.0624467	0.0671302	0.041349	0.0545252	0.046998	0.0427106	0.0283945	0.0191361	0.0169053	0.0131363	0.00838614	0.00832961	0.00570701
sortie	0.0384341	0.0768379	0.0699332	0.0697308	0.0754383	0.0603374	0.0389208	0.0340828	0.0205722	0.0172361	0.0132475	0.011601	0.0245337	0.0219503	0.0292608	0.0400191	0.0280783	0.0255486	0.025678	0.0224546	0.0256683	0.0292326	0.0270854	0.021443	0.0242978	0.0221151	0.0358327	0.017945	0.0163198	0.0177171	0.0184477
de	0.0359628	0.0402982	0.0397922	0.0408111	0.0414746	0.0452327	0.0434775	0.0510086	0.0599075	0.0637796	0.0557172	0.045983	0.0329968	0.0172488	0.016266	0.015059	0.012595	0.0134196	0.0181524	0.0159276	0.0211381	0.016694	0.0127334	0.0185715	0.0200127	0.0204716	0.0225133	0.0206512	0.0264149	0.0344467	0.0812419
la	0.0368718	0.0350034	0.0297269	0.0286123	0.0285612	0.0265094	0.0302069	0.0403347	0.0362341	0.0371228	0.0382907	0.0394083	0.0410433	0.0246144	0.0290077	0.0255779	0.0205305	0.0204166	0.0274525	0.0173743	0.0302065	0.0226807	0.022863	0.0318497	0.0301501	0.0332842	0.0338473	0.0300118	0.0401318	0.0471388	0.0649362
forêt	0.0404015	0.0454196	0.0290969	0.0303136	0.0265927	0.0252042	0.0150808	0.00802241	0.00567959	0.0054105	0.00576695	0.00727831	0.0104302	0.0135126	0.0113436	0.0123298	0.0103179	0.0116806	0.0193085	0.0241856	0.0390048	0.041836	0.0405894	0.0464565	0.053449	0.0579175	0.0457571	0.0603952	0.0715853	0.0831747	0.102458
avec	0.070164	0.0661028	0.0470608	0.0405228	0.0232601	0.0236938	0.0163895	0.00904786	0.0102229	0.0120697	0.0120496	0.0119598	0.0123189	0.0183181	0.0124749	0.0199919	0.00944956	0.0142818	0.0172347	0.0220184	0.0294282	0.0291634	0.0278994	0.0182026	0.0238967	0.0259702	0.0194433	0.0430049	0.0733355	0.116893	0.12413
les	0.0791488	0.0422541	0.0272288	0.0140143	0.00998038	0.00908124	0.0109048	0.0142426	0.0142362	0.0186886	0.0203702	0.0154759	0.0127307	0.0123698	0.018638	0.0260052	0.0183628	0.0211094	0.0192323	0.0183171	0.0249051	0.0202836	0.0199393	0.0220484	0.0244331	0.0260551	0.0247313	0.0539881	0.088298	0.101431	0.171495
épis	0.0851914	0.0400597	0.0215078	0.0119047	0.00460433	0.00324865	0.00276448	0.00307518	0.00421562	0.00571509	0.00572934	0.00510758	0.00467025	0.00551303	0.00626193	0.0119287	0.00979898	0.0134374	0.012248	0.0203446	0.0286672	0.0267347	0.032895	0.0295933	0.0370782	0.0455127	0.045198	0.0911881	0.11951	0.116293	0.150003
de	0.0515721	0.0387612	0.0249422	0.015151	0.0098347	0.0105848	0.0115302	0.0121535	0.01078	0.016112	0.0196403	0.0155423	0.0120229	0.0110138	0.0132204	0.0173582	0.016009	0.019992	0.0221556	0.021554	0.035097	0.0377304	0.0371866	0.0320565	0.0460501	0.0489097	0.0699931	0.0559668	0.0844801	0.0795061	0.103093
l'	0.0627348	0.032156	0.0174212	0.00841965	0.00617131	0.00670841	0.00593306	0.00585441	0.0077219	0.0128889	0.0124225	0.0102686	0.00738643	0.00816321	0.0106736	0.0175956	0.0194433	0.030668	0.0391282	0.0485462	0.0699934	0.054935	0.0512608	0.0500995	0.0566548	0.0528588	0.0519069	0.0530721	0.0624115	0.0625474	0.0639545
herbe	0.0438863	0.0207081	0.0107112	0.00725416	0.00416746	0.00397394	0.00204025	0.0022055	0.0031002	0.00451178	0.00456778	0.00404986	0.00402006	0.00698031	0.00604617	0.0122467	0.0132669	0.021892	0.0298925	0.0609578	0.0718097	0.0811782	0.0831694	0.0557291	0.0537416	0.0589459	0.0410843	0.0697401	0.0708648	0.0672715	0.0799866
bongi	0.0322616	0.0197734	0.0103378	0.00779224	0.00543896	0.00504458	0.00262214	0.00242386	0.00363418	0.0061245	0.00649743	0.00522437	0.00494468	0.00888284	0.00650736	0.012229	0.0132642	0.0210172	0.0244908	0.0394498	0.0495688	0.04307	0.0558806	0.0412419	0.0533912	0.0745734	0.0587259	0.0862303	0.0982397	0.091905	0.109212
sur	0.0198371	0.0106503	0.00649704	0.00514144	0.00504135	0.0041837	0.00449721	0.00553281	0.00541188	0.00999539	0.0106304	0.00675651	0.00522002	0.00708458	0.00637134	0.00973558	0.0137813	0.0211797	0.0437818	0.0774567	0.0784304	0.114484	0.0790926	0.0630172	0.068237	0.0714833	0.043175	0.0499977	0.0426613	0.0374177	0.0732173
l'	0.0338121	0.0295937	0.0399086	0.0331707	0.0267305	0.0267858	0.0301791	0.0256757	0.0173024	0.016651	0.0102008	0.00750001	0.00641739	0.00972012	0.0129652	0.0183865	0.0169999	0.0242989	0.0257236	0.0496391	0.0420836	0.046699	0.0437135	0.0309601	0.0366546	0.0414195	0.039427	0.0562763	0.0744069	0.0722853	0.054413
échine	0.0780559	0.0230362	0.013268	0.0101508	0.00904897	0.00717205	0.00594167	0.00461532	0.004715	0.00783866	0.0102329	0.00659108	0.00460974	0.00430182	0.00709625	0.00984547	0.012161	0.0207344	0.0273035	0.0359606	0.0423181	0.0487057	0.041081	0.0430717	0.0350069	0.0384322	0.038053	0.05883	0.0862677	0.06758	0.197974
</S>	0.0230742	0.0167333	0.0175551	0.00916298	0.00638299	0.00671025	0.00769687	0.0142859	0.018443	0.0229307	0.0203628	0.0131373	0.012712	0.0150505	0.0148489	0.0194395	0.0240792	0.0305718	0.0381043	0.0352491	0.0285953	0.0346168	0.0346738	0.0339069	0.0362325	0.0401768	0.0296763	0.0614123	0.0867578	0.0869989	0.160422
