 	l	o	b	h	ó	l	í	y	i	έ	í	k	á	m	b	i	s	i	b	í	s	í	f	u	l	ú	</S>
les	0.0186939	0.0160747	0.0143304	0.0131893	0.01034	0.021499	0.0262751	0.0269397	0.0421985	0.0746342	0.0580941	0.0591206	0.052214	0.0558082	0.0658236	0.0427997	0.0410341	0.029235	0.0447086	0.0396568	0.0348849	0.053812	0.0364126	0.0237992	0.0288541	0.0313628	0.0382047
cris	0.0691758	0.0322435	0.0459764	0.0436672	0.0713514	0.0453129	0.0448914	0.0169481	0.0287646	0.0550516	0.0523989	0.109714	0.106592	0.0999223	0.0493362	0.0344651	0.0193757	0.00983303	0.0086449	0.0134335	0.00873282	0.00835438	0.00805516	0.00745096	0.00501904	0.00278473	0.00250418
stridents	0.0415353	0.0429401	0.0427531	0.039314	0.0351382	0.0352114	0.040229	0.0387253	0.0335	0.0334242	0.0382943	0.0204808	0.0278741	0.0627853	0.0413744	0.0557558	0.0490835	0.0447368	0.0352292	0.045788	0.0393256	0.047698	0.0478473	0.024597	0.0124392	0.0150244	0.00889586
des	0.0365769	0.0730106	0.0842408	0.090224	0.0738632	0.033724	0.0386494	0.0288579	0.0416725	0.0299597	0.0275948	0.0251528	0.043058	0.039169	0.0449052	0.0362018	0.0244474	0.0218138	0.0150349	0.0315652	0.0215592	0.0256369	0.0290996	0.0238316	0.0188667	0.017383	0.0239011
cigales	0.0277889	0.0225026	0.0260907	0.0341146	0.0378425	0.0478945	0.0540643	0.0486038	0.0565929	0.0654856	0.0507549	0.0321014	0.0150606	0.0142017	0.0178802	0.0207844	0.0396234	0.0580312	0.055033	0.0669759	0.0415401	0.0332929	0.0281547	0.0266206	0.0221557	0.023955	0.032854
nous	0.034135	0.0306906	0.0347639	0.0371131	0.0346427	0.031984	0.032174	0.0313406	0.0332581	0.0398369	0.0395388	0.0234929	0.0289832	0.0297658	0.0247853	0.026343	0.0336886	0.0434769	0.0377729	0.0618844	0.0289534	0.0673126	0.049866	0.0297121	0.0348743	0.0370622	0.0625486
ont	0.0201405	0.0236722	0.0306273	0.0365154	0.0386946	0.0331924	0.0315594	0.0270117	0.0317167	0.0435939	0.0456398	0.0343697	0.0284258	0.0295109	0.0257825	0.0267418	0.0340696	0.0560296	0.0510932	0.0492277	0.0422845	0.0472142	0.0423544	0.0347682	0.0344271	0.0529149	0.0484222
empêché	0.0295608	0.024389	0.0225531	0.0225687	0.0225573	0.0186144	0.0160905	0.0134	0.0125031	0.0179698	0.0175194	0.0139608	0.0134639	0.0134563	0.0214456	0.0250856	0.0469425	0.057058	0.0628009	0.0698095	0.0692546	0.059321	0.0532159	0.0564071	0.0666725	0.0744943	0.0788852
de	0.0426093	0.0600529	0.0595539	0.0593023	0.062026	0.0495281	0.0535754	0.0373403	0.0220881	0.0228488	0.0217462	0.0152531	0.0152503	0.0175593	0.0188852	0.015506	0.0279471	0.0178739	0.0194479	0.0211908	0.0318435	0.0250756	0.0288314	0.0380601	0.0564465	0.0785808	0.0815772
dormir	0.0855299	0.0459043	0.0269948	0.0182631	0.0140758	0.0136569	0.0140931	0.014106	0.00655872	0.00594493	0.00717328	0.00642795	0.00798461	0.00980732	0.0190267	0.022428	0.0297642	0.0166169	0.0322311	0.0432304	0.0623168	0.0359476	0.0387948	0.0678584	0.099218	0.105639	0.150407
</S>	0.0580466	0.0426555	0.0379391	0.0325756	0.0178303	0.0127532	0.0145217	0.0129617	0.0112506	0.00989875	0.00979646	0.00764358	0.0101918	0.0136281	0.0166388	0.013673	0.0282074	0.0211543	0.0438705	0.0565472	0.0636115	0.0470739	0.0405053	0.0566018	0.0861323	0.100114	0.134178
