 	n	g	á	í	m	i	s	á	á	o	k	i	á	b	e	a	b	á	w	a	</S>
j'	0.105986	0.164273	0.237647	0.208825	0.0265446	0.00838751	0.00775427	0.00697803	0.0107278	0.0085802	0.0105558	0.0112274	0.015869	0.0248161	0.0351579	0.0205983	0.0262703	0.027267	0.0214132	0.0138218	0.00729933
ai	0.181607	0.0853751	0.0487318	0.00874632	0.0153934	0.0272652	0.0231054	0.0223748	0.122932	0.0700764	0.0692174	0.0863673	0.0511498	0.0147013	0.0125775	0.0178068	0.0256974	0.0227387	0.0149835	0.0156398	0.0635135
juré	0.0402086	0.0161085	0.0111949	0.0121305	0.0249973	0.0429467	0.042636	0.0799583	0.0937055	0.104748	0.114787	0.0865545	0.0533639	0.0497743	0.0392771	0.0320332	0.0338819	0.0362155	0.0427548	0.0299268	0.0127968
de	0.0959694	0.065538	0.0573703	0.0215112	0.0379498	0.041924	0.0544565	0.12501	0.0909126	0.0781154	0.0565964	0.0182606	0.0165586	0.0154249	0.0307573	0.0345835	0.0261736	0.0317755	0.028269	0.0283928	0.0444505
ne	0.0486125	0.0453082	0.0230212	0.0138114	0.0602472	0.0804705	0.0925811	0.121489	0.101367	0.142097	0.101012	0.0320736	0.0121872	0.00691365	0.00900321	0.00928916	0.0128682	0.00967522	0.0117495	0.013234	0.0529885
plus	0.0566476	0.0264937	0.0181879	0.0131025	0.0514428	0.0732551	0.0742922	0.0845914	0.0819398	0.0806307	0.0689869	0.0194414	0.0194752	0.0182131	0.0238159	0.0218251	0.0249132	0.0277216	0.0492049	0.0419929	0.123826
manger	0.16341	0.0446155	0.0315372	0.0360963	0.0350308	0.0485026	0.0516926	0.0575743	0.0512626	0.0596499	0.049989	0.0259265	0.0252115	0.0222742	0.0254558	0.0151632	0.0155786	0.0178022	0.0651588	0.0518261	0.106242
de	0.0647774	0.0248706	0.0254334	0.0453115	0.0500656	0.0461823	0.0482979	0.0455952	0.0326784	0.0276337	0.033347	0.0213776	0.0309814	0.0374835	0.0541163	0.0405312	0.0353149	0.0368348	0.0817237	0.0738242	0.14362
sa	0.0613912	0.0366936	0.0320132	0.0281628	0.0202599	0.023147	0.0266321	0.019356	0.0162429	0.0114837	0.0208064	0.0257335	0.0426601	0.0518517	0.070949	0.0454096	0.0396892	0.0458834	0.115797	0.115212	0.150626
nourriture	0.0631924	0.0376427	0.0361625	0.0548292	0.0202187	0.0195344	0.0259863	0.0315988	0.0209105	0.023359	0.0301349	0.0326226	0.0387765	0.0403972	0.0474852	0.0479076	0.04521	0.0491933	0.0605625	0.0770823	0.197194
</S>	0.139366	0.0706755	0.052308	0.0372351	0.0507799	0.0754282	0.0402201	0.0413982	0.0340519	0.045395	0.0360041	0.0226137	0.0213696	0.0190734	0.0384683	0.0460884	0.0328355	0.0318663	0.0527963	0.0359025	0.0761235
