 	s	í	b	h	á	n	g	á	l	á	b	á	a	é	d	í	l	a	m	w	á	n	a	y	á	m	b	v	á	n	d	é	b	v	u	n	d	z	έ	ε	b	v	u	n	d	z	έ	ε	</S>
dans	0.00650671	0.0101151	0.0168891	0.0158657	0.0104783	0.0128074	0.00983468	0.0162243	0.0293126	0.021058	0.0253239	0.0351599	0.0488639	0.0663273	0.0763846	0.0664832	0.0553851	0.063267	0.0790831	0.0315162	0.0211499	0.0133727	0.0113609	0.0120701	0.011352	0.0073324	0.00478987	0.00567006	0.00935346	0.00853696	0.0117669	0.0136005	0.014336	0.0133881	0.0114449	0.0133151	0.0112853	0.0122281	0.0107924	0.00840811	0.00837231	0.00843415	0.00785556	0.0085601	0.00914336	0.00791293	0.0076914	0.00911543	0.0104748
leur	0.0880989	0.0483813	0.0426938	0.0348877	0.0156954	0.0379834	0.0231964	0.0145562	0.0142647	0.0228233	0.049198	0.0412875	0.0513429	0.059408	0.0423085	0.0300999	0.0459052	0.0457533	0.0351115	0.023654	0.0072673	0.00674687	0.00408763	0.00704218	0.00373753	0.0024732	0.00240658	0.0091766	0.0124245	0.00562188	0.00470223	0.00483714	0.00525621	0.0046883	0.00732206	0.015602	0.0105971	0.0064663	0.010583	0.00965403	0.00692802	0.0051995	0.00873092	0.00569025	0.00979013	0.0122332	0.0106948	0.0095275	0.0238631
parcelle	0.0139895	0.0137911	0.0165194	0.0179833	0.0155726	0.0162191	0.0102538	0.0123745	0.0175747	0.011734	0.0118187	0.0124829	0.015446	0.0156117	0.0164346	0.0249874	0.0248258	0.0336411	0.0202206	0.0161421	0.013607	0.0186756	0.0208322	0.0148801	0.0201902	0.0156516	0.0161537	0.0278038	0.0183965	0.0138688	0.0168058	0.0190241	0.0203941	0.0223447	0.027905	0.0294328	0.0255155	0.022021	0.0249806	0.0249864	0.0280543	0.0273294	0.0359569	0.0372078	0.0381496	0.0310128	0.0224429	0.0176014	0.0111525
il	0.0149454	0.0246766	0.0372987	0.0415321	0.0308857	0.0230306	0.00887909	0.0110232	0.0131612	0.0156999	0.0122501	0.00995	0.0077374	0.0157528	0.0140816	0.0138465	0.014027	0.0126982	0.0102478	0.01484	0.0171568	0.027676	0.0300216	0.0313127	0.0261386	0.0461051	0.0835267	0.0415069	0.0235137	0.0255975	0.0249391	0.0258136	0.018552	0.0154491	0.0192146	0.0209273	0.0184726	0.0157622	0.0129828	0.010752	0.0115888	0.0152339	0.011272	0.00955143	0.0145678	0.00993516	0.00882274	0.0117817	0.0252616
y	0.0211096	0.0229026	0.0251895	0.0381205	0.0269174	0.0258621	0.0181891	0.0194947	0.0181569	0.022056	0.0181386	0.0112971	0.0158727	0.00991447	0.0084346	0.0079549	0.0133925	0.0157238	0.0242099	0.0178581	0.0129764	0.0227796	0.0105474	0.0141883	0.0192499	0.0158547	0.0127943	0.0137529	0.0202157	0.025281	0.0197987	0.0166191	0.0223758	0.0286207	0.0348574	0.0196579	0.0214236	0.0215517	0.0139561	0.0149521	0.00893174	0.0193063	0.0108422	0.012104	0.01898	0.0166884	0.0252665	0.0540081	0.0716241
a	0.0333689	0.0192758	0.0172259	0.0189271	0.0141767	0.0151017	0.0123458	0.00855646	0.00801148	0.0161899	0.0172732	0.0152032	0.0165328	0.0153522	0.0149157	0.0135153	0.0162589	0.016553	0.0163178	0.0161339	0.0125454	0.00958246	0.00913118	0.00909811	0.0134204	0.012023	0.0229372	0.0204557	0.0309743	0.0371769	0.0348394	0.0290655	0.0307213	0.0257031	0.0279988	0.0214825	0.0351744	0.0247094	0.02249	0.0227746	0.019546	0.0209144	0.0203772	0.0156365	0.0194546	0.0224452	0.0284084	0.0335584	0.0461199
un	0.0344836	0.0202001	0.0170892	0.0151087	0.015276	0.015817	0.0142755	0.00879556	0.00796366	0.0122416	0.0129687	0.0137428	0.0174145	0.0178616	0.0181449	0.0173166	0.0199664	0.0194241	0.02034	0.0201261	0.0198834	0.0173816	0.014739	0.0131821	0.0215534	0.0184538	0.0237222	0.0251059	0.0312562	0.0332539	0.0327558	0.0272227	0.024312	0.0199117	0.0223151	0.0178293	0.0247087	0.0193602	0.0179913	0.0198631	0.0180249	0.0184593	0.0188471	0.0167506	0.0184519	0.0236189	0.0261825	0.0304468	0.0458603
chiot	0.027071	0.0155244	0.0123456	0.0106688	0.00787082	0.00680589	0.00674116	0.011619	0.0101018	0.0241585	0.0328884	0.0298541	0.0299479	0.0346834	0.0325251	0.0328935	0.0348214	0.0274611	0.0250413	0.0243864	0.0159747	0.0111984	0.0106382	0.00962221	0.0123445	0.0105336	0.0203944	0.0122336	0.0172753	0.0217072	0.0153157	0.0138589	0.0147064	0.0140194	0.0166526	0.0150885	0.0194116	0.0152295	0.0123183	0.018286	0.00999878	0.0205513	0.0193746	0.0115565	0.0252991	0.0346484	0.0400288	0.0462232	0.0581009
dodu	0.0294768	0.0170683	0.0140219	0.0114497	0.0137029	0.0107519	0.00671667	0.00618804	0.00404136	0.0260928	0.00971735	0.00587537	0.00567736	0.00593018	0.00471186	0.00613782	0.00845557	0.00844551	0.00831692	0.00740186	0.00604725	0.00859042	0.00679844	0.00729707	0.0112677	0.0107548	0.0192702	0.01653	0.0182216	0.0220813	0.0216205	0.0237954	0.0263416	0.0284383	0.0374469	0.0522371	0.0518749	0.0407512	0.0568764	0.0375172	0.0462841	0.0467553	0.0453157	0.0336734	0.0323466	0.0215645	0.0197504	0.0194476	0.020924
</S>	0.0309361	0.0191089	0.0140266	0.0119245	0.00996012	0.00723344	0.0059608	0.00531642	0.00335362	0.0110699	0.00794368	0.00613543	0.00469271	0.00508092	0.00400955	0.00451855	0.00454728	0.00544547	0.00845265	0.0140709	0.0151298	0.0197366	0.014518	0.014163	0.0213095	0.0202948	0.0210929	0.0307473	0.0289972	0.0304627	0.0297861	0.0339329	0.0241683	0.0167934	0.0177079	0.0183118	0.0213424	0.0220809	0.0369786	0.0395622	0.0337586	0.0275975	0.0330438	0.0357136	0.0389223	0.0455549	0.0388009	0.0422098	0.0434946
