 	e	k	u	n	d	ú	l	ú	y	á	á	k	ú	n	d	á	w	a	k	ó	ó	w	ú	u	b	í	s	í	l	e	s	á	a	o	y	é	b	h	a	έ	</S>
nous	0.0125402	0.0163173	0.021305	0.0280863	0.0346783	0.0331714	0.0340299	0.0327602	0.0346708	0.0296705	0.027392	0.0293306	0.0440623	0.035139	0.0382038	0.0420104	0.0407313	0.0387069	0.014915	0.0207001	0.0182585	0.0191253	0.00997876	0.0119214	0.00971711	0.00868552	0.0128874	0.00943473	0.0104546	0.00925884	0.00885951	0.00951899	0.0228427	0.0276559	0.0281828	0.0332345	0.0403881	0.0365852	0.0251836	0.0191822	0.0202229
ne	0.101997	0.0952016	0.0636647	0.052918	0.0325696	0.0110988	0.00728868	0.0135807	0.010582	0.0182145	0.0376079	0.0331078	0.0655657	0.0318115	0.0256193	0.0305938	0.0277126	0.0286031	0.0407009	0.0189064	0.0250909	0.00831236	0.0224026	0.0085636	0.014607	0.00934584	0.0117125	0.00803987	0.0125669	0.0127507	0.016014	0.0113023	0.0130448	0.0100692	0.00936327	0.0140287	0.0171794	0.0137036	0.00796998	0.00271805	0.00386936
savons	0.0958393	0.0509487	0.0536056	0.0417395	0.0539157	0.0385605	0.0312808	0.0325111	0.0342092	0.0276128	0.0237633	0.0294632	0.0398682	0.0235118	0.0580348	0.017	0.0175431	0.0176571	0.0269344	0.0188636	0.0126653	0.00825919	0.0132327	0.0226566	0.0230966	0.0188575	0.0176299	0.0140875	0.0135672	0.00888299	0.0110265	0.0101265	0.0120927	0.0124933	0.00894898	0.00994823	0.00938391	0.00943527	0.00907432	0.00923244	0.0124399
pas	0.0677492	0.0664978	0.0508066	0.0405473	0.0293081	0.0157826	0.00795572	0.0128634	0.0107031	0.0104465	0.0133247	0.0187777	0.0318184	0.0398959	0.0717193	0.0426136	0.0350069	0.0336811	0.0283757	0.0283948	0.0275225	0.0285212	0.0331481	0.0299913	0.0273438	0.0334726	0.0179345	0.0206369	0.0211426	0.0173427	0.012846	0.00908776	0.00620615	0.00351003	0.00685572	0.00570902	0.00639203	0.00461416	0.00688385	0.00947932	0.0150915
encore	0.0262925	0.0374792	0.0297132	0.0310174	0.0290061	0.0149932	0.00752358	0.00994015	0.00881668	0.0106334	0.0103807	0.0157783	0.0240225	0.0248875	0.0421205	0.0203553	0.0113654	0.0183489	0.0560776	0.0344597	0.0702762	0.0159644	0.0410131	0.0159593	0.0290183	0.0223467	0.0136667	0.0139361	0.0194047	0.0226959	0.0218633	0.0247601	0.0291932	0.0357756	0.0194973	0.023091	0.0183607	0.0297509	0.0244349	0.0187096	0.0270701
de	0.0275639	0.0336567	0.0311266	0.0282951	0.0394191	0.0507033	0.0438486	0.0643123	0.0446575	0.0256229	0.0299267	0.0459585	0.0342496	0.0478437	0.0435292	0.0123603	0.009792	0.00979514	0.0220862	0.0111601	0.0248487	0.00476496	0.00998799	0.00558806	0.01097	0.00578891	0.00746717	0.00516379	0.0103464	0.0108512	0.014052	0.0118721	0.0159476	0.0212587	0.0195748	0.0205424	0.01758	0.0202328	0.0234493	0.0238383	0.0599671
quelle	0.0314023	0.0366489	0.0304688	0.0245825	0.0264702	0.0284716	0.022322	0.0296561	0.0227666	0.0183977	0.0188344	0.0283549	0.0196593	0.031288	0.0341805	0.0153555	0.0130188	0.0140073	0.0288092	0.0205545	0.0385478	0.011445	0.0154574	0.00934826	0.0189532	0.00966343	0.0101599	0.0122844	0.0167529	0.0202858	0.0231165	0.0265077	0.0210679	0.0199054	0.0255532	0.0293153	0.0265865	0.0267484	0.0345349	0.037282	0.0712349
manière	0.0336403	0.0283486	0.0298865	0.0286018	0.0352812	0.0413465	0.0321926	0.0361506	0.0305565	0.0307609	0.0258169	0.0266086	0.027207	0.0296568	0.0379559	0.0181051	0.013767	0.0113288	0.0162975	0.0159836	0.0173958	0.0134669	0.0133549	0.014001	0.0180026	0.0127506	0.0109034	0.0115843	0.0115727	0.00979817	0.0129909	0.0171658	0.0171082	0.0171693	0.0214156	0.0314547	0.0258102	0.0276293	0.0342569	0.0345933	0.0780826
il	0.039179	0.023433	0.0261396	0.0358756	0.0711996	0.11833	0.0656526	0.0951103	0.0409159	0.026791	0.0165249	0.0203211	0.0133166	0.0178816	0.0166539	0.00678073	0.00541392	0.00383612	0.00717354	0.0038398	0.00986132	0.00316006	0.00904842	0.00627402	0.00813856	0.00873928	0.0112494	0.0120538	0.0115869	0.0119505	0.0117526	0.012568	0.0142901	0.017627	0.016416	0.0186603	0.0183551	0.0181693	0.0260711	0.0284076	0.0712523
a	0.0661882	0.0302387	0.0235294	0.0169554	0.0128303	0.0163678	0.0142322	0.0171533	0.0135886	0.00904459	0.00784057	0.00966624	0.00824875	0.0100736	0.0126006	0.0152634	0.013116	0.0156111	0.0217809	0.0133337	0.0224784	0.00922871	0.0156507	0.0129693	0.0144209	0.0161923	0.0147146	0.0162587	0.0186894	0.0189193	0.0190909	0.0195924	0.0242871	0.0357456	0.0464038	0.0479279	0.0544242	0.0498768	0.060253	0.0637307	0.0714819
