 	n	z	ú	n	g	u	y	é	é	m	i	w	á	á	n	g	a	t	s	í	n	a	n	g	á	í	s	o	s	i	y	í	a	o	b	v	έ	</S>
cette	0.0113867	0.0155612	0.0188354	0.0254304	0.021295	0.0189429	0.0237456	0.0328075	0.0300329	0.0472821	0.0599085	0.0530544	0.037743	0.0396726	0.0308286	0.0280338	0.0230196	0.0238552	0.0244446	0.021178	0.0187059	0.012724	0.0191425	0.0230651	0.0203338	0.0342369	0.0214667	0.0296919	0.0158502	0.0238017	0.0205974	0.0326922	0.0280149	0.0227751	0.032926	0.0237289	0.0157645	0.0174243
marmite	0.0534424	0.0667182	0.107195	0.0880128	0.0323328	0.0410998	0.0227685	0.0251415	0.0333362	0.0970683	0.0285747	0.0572384	0.0268337	0.0167243	0.0135896	0.0167496	0.0230983	0.0190345	0.0291935	0.0124114	0.00610645	0.00433102	0.00649661	0.00424182	0.00690574	0.0131922	0.00627528	0.00902056	0.00254353	0.0354846	0.00639858	0.0212714	0.0229072	0.0217927	0.00870206	0.0104249	0.00168602	0.00165568
est	0.048585	0.0380564	0.0237047	0.0126362	0.0164918	0.0184159	0.0264494	0.025331	0.0226225	0.045415	0.0377139	0.0340605	0.0294557	0.0343029	0.0234511	0.049244	0.0472498	0.0398072	0.0185457	0.0254712	0.0245766	0.03242	0.0256518	0.0321019	0.0207822	0.0149834	0.0165729	0.0131905	0.0237136	0.0182783	0.0420874	0.0183429	0.0153853	0.0190923	0.0174067	0.0257062	0.0143418	0.00835603
devenue	0.0231651	0.042858	0.0511783	0.0459495	0.0561579	0.0706809	0.0680166	0.0449742	0.0274705	0.0257782	0.0184163	0.0159124	0.0165474	0.0238766	0.019341	0.0156247	0.0216652	0.0165876	0.0185576	0.0214221	0.0391868	0.0300397	0.0238592	0.0252925	0.0140085	0.0113204	0.0143338	0.0136701	0.00940672	0.0110177	0.020435	0.0122611	0.0151112	0.0123218	0.017693	0.0262461	0.0257934	0.033823
propre	0.0498661	0.0391019	0.0365161	0.0380868	0.0446303	0.0906276	0.0443276	0.0286452	0.022155	0.0235503	0.0146123	0.0134741	0.0244443	0.030625	0.0209209	0.0151497	0.0275075	0.019132	0.019095	0.0229501	0.0262273	0.0235721	0.02832	0.0233042	0.016327	0.0110057	0.0113982	0.0133346	0.0101805	0.0122113	0.0144952	0.0124741	0.00947533	0.00995571	0.0166566	0.035837	0.0417252	0.0580823
depuis	0.0248076	0.0214189	0.0234557	0.0264825	0.0295761	0.0324236	0.0345969	0.0373126	0.0372393	0.036026	0.0326527	0.0154334	0.0284449	0.0323518	0.0349213	0.0129791	0.0121087	0.0132842	0.0246417	0.0274627	0.0203403	0.0166753	0.0248193	0.0190566	0.0207024	0.0107428	0.0198861	0.017572	0.0240922	0.013617	0.017444	0.0150354	0.0163198	0.0185482	0.0300774	0.0350605	0.0594189	0.0829719
que	0.0249399	0.01011	0.00909987	0.00930985	0.00924071	0.0134172	0.0119534	0.0148275	0.0179265	0.0196932	0.0286774	0.0276038	0.0432467	0.0229928	0.0311371	0.0300813	0.0302128	0.0234734	0.02149	0.031421	0.0379211	0.0251351	0.04433	0.0360247	0.0449085	0.0273302	0.0457642	0.0373338	0.0388916	0.0325603	0.0339659	0.0226575	0.0206533	0.0250857	0.019268	0.0221899	0.0221359	0.0329901
je	0.0216617	0.0130976	0.0152449	0.0154215	0.0169102	0.0270425	0.0283687	0.0375754	0.0415997	0.0476071	0.0378382	0.0423654	0.0523851	0.0286235	0.033874	0.0291308	0.0300659	0.0274574	0.0205254	0.0248256	0.0292347	0.024777	0.02657	0.01601	0.0194502	0.0123293	0.0229923	0.0212014	0.0221363	0.0128444	0.0111724	0.011602	0.0108783	0.0133085	0.0155059	0.0312088	0.0393316	0.0678262
l'	0.0803009	0.0512634	0.0419499	0.0306038	0.0229509	0.0151459	0.010574	0.00926597	0.00741261	0.00896907	0.0101818	0.00898415	0.0134565	0.0155212	0.0159216	0.0200489	0.0171553	0.0186714	0.0160841	0.0207461	0.0348358	0.0303644	0.043987	0.0340629	0.0332746	0.0325495	0.026578	0.0443085	0.0281077	0.0279988	0.0195027	0.0169384	0.0188075	0.0246237	0.0240058	0.0338143	0.0278076	0.0632251
ai	0.0420745	0.0211208	0.0129563	0.0093183	0.00793288	0.00804112	0.00637384	0.00626475	0.00528482	0.00584277	0.00601908	0.0109206	0.0248052	0.0201762	0.0271431	0.0389241	0.0505596	0.0518959	0.0364548	0.0611171	0.0620417	0.0627845	0.0585013	0.0318129	0.0403958	0.0438206	0.0318449	0.0416146	0.023914	0.021352	0.012557	0.0115277	0.0100516	0.0123794	0.0124477	0.0170448	0.0162638	0.0364199
bien	0.0513476	0.0231759	0.0131686	0.0093524	0.00961543	0.0148166	0.00843755	0.00653887	0.00535424	0.00430974	0.00559298	0.0061305	0.0115294	0.0100522	0.0237346	0.0360578	0.0482848	0.0472469	0.0501132	0.0663532	0.0447531	0.0407188	0.0339071	0.0252874	0.0397881	0.0296578	0.034108	0.0317102	0.0158383	0.0168905	0.00804123	0.0137352	0.010491	0.0112464	0.0270128	0.0318133	0.0446933	0.0890948
lavée	0.0393301	0.0180433	0.0119913	0.0113145	0.0127396	0.0174125	0.0140478	0.012946	0.0109803	0.0108971	0.0112552	0.00843456	0.0105102	0.0125943	0.024017	0.027737	0.0287024	0.034554	0.070683	0.0578304	0.034934	0.0265683	0.0320431	0.0253728	0.0458109	0.0228212	0.0332203	0.0277155	0.022033	0.0234169	0.0207846	0.0243861	0.0219369	0.0270859	0.0384687	0.0324693	0.0394876	0.0554244
</S>	0.0534725	0.0364413	0.0338014	0.0295778	0.016937	0.0174573	0.0134905	0.0114781	0.0101969	0.00885988	0.00662649	0.00313525	0.0058569	0.00631622	0.00952207	0.00593426	0.0102809	0.00903841	0.0151042	0.0165433	0.0150178	0.0111737	0.0141875	0.0160503	0.0130427	0.0109383	0.0216672	0.0141424	0.0165671	0.0146606	0.020624	0.0171939	0.0215529	0.0252525	0.0656094	0.0707262	0.140439	0.171083
