 	d	z	ω	ω	l	á	w	o	m	á	í	d	í	l	i	n	g	í	n	d	í	</S>
il	0.0241519	0.0170214	0.0139399	0.0156303	0.0262336	0.0427296	0.0836682	0.0261166	0.0998482	0.141736	0.0915611	0.107464	0.0544672	0.0511871	0.0377258	0.0341926	0.0333062	0.016235	0.0229608	0.0226909	0.0200145	0.0171194
y	0.131222	0.0939992	0.0536321	0.0473339	0.0946387	0.114112	0.0896957	0.0512848	0.0111226	0.00771399	0.0138029	0.0235111	0.0220897	0.0188578	0.0182798	0.0361648	0.0450093	0.0317049	0.0292036	0.018324	0.0220386	0.0262587
a	0.0604598	0.0843268	0.0867954	0.0450783	0.0378076	0.0300734	0.0442943	0.0533174	0.031427	0.0456158	0.0931754	0.0431532	0.0459049	0.0637495	0.0490773	0.0369097	0.0361123	0.0268337	0.0231898	0.0224758	0.0229724	0.0172501
des	0.0464273	0.0452866	0.0376348	0.0349945	0.0343004	0.0357254	0.0321624	0.0422301	0.046429	0.0452411	0.0537674	0.0584622	0.0885716	0.0867065	0.0823459	0.0389637	0.0328406	0.0358818	0.0269054	0.0292076	0.0344961	0.0314197
étangs	0.0576356	0.0544446	0.0537394	0.0705169	0.075323	0.0659384	0.0928856	0.109336	0.0446934	0.0250827	0.0224186	0.0139962	0.0270107	0.0235335	0.0555344	0.030896	0.0375409	0.0302576	0.0249174	0.0261847	0.0240525	0.0340616
stagnants	0.0309414	0.0229931	0.0197571	0.0205403	0.0258756	0.0232455	0.0294788	0.0640937	0.0611738	0.0301444	0.0394774	0.0374327	0.0416202	0.0278862	0.0369093	0.057976	0.037823	0.0629468	0.0707751	0.0682552	0.0918659	0.0987882
dans	0.0272036	0.026092	0.033392	0.0373272	0.0388692	0.0360185	0.0369863	0.0291809	0.0173483	0.0113873	0.0111957	0.0146427	0.022848	0.0338819	0.028224	0.0452058	0.0606866	0.101367	0.0778831	0.106464	0.0804819	0.123314
la	0.0411677	0.0364673	0.0354564	0.038973	0.0363072	0.0350906	0.038563	0.0340187	0.0173848	0.0107404	0.0123598	0.0106655	0.0123792	0.0131112	0.032867	0.0397834	0.0603437	0.0840806	0.0973687	0.0996027	0.100787	0.112483
vallée	0.0841898	0.058419	0.0398951	0.032131	0.0206135	0.0117846	0.0174443	0.0123195	0.0108017	0.00391853	0.00621207	0.00929845	0.0131752	0.00908287	0.0165076	0.0370375	0.0561517	0.0589433	0.092149	0.123036	0.114018	0.172871
de	0.0495808	0.0380263	0.0367162	0.0338268	0.0310082	0.0265166	0.026234	0.0436181	0.0335727	0.0201379	0.0208354	0.0183964	0.0169611	0.0174384	0.0139878	0.0255514	0.0337968	0.0649088	0.0647962	0.0877604	0.103105	0.193225
la	0.0839943	0.0651169	0.0515798	0.037419	0.0328156	0.0226478	0.0135482	0.0191969	0.016899	0.00497935	0.00592729	0.00610183	0.00880751	0.00653989	0.0126335	0.0209555	0.0262813	0.0675246	0.0889412	0.0951821	0.140039	0.17287
vouma	0.0758597	0.051473	0.0417632	0.0428758	0.0359922	0.0256398	0.0160554	0.0139038	0.0109215	0.00523489	0.00398939	0.00442001	0.00501458	0.00428794	0.00765413	0.0263304	0.0323235	0.0634107	0.080743	0.117162	0.135795	0.199151
</S>	0.0946505	0.0754342	0.0642297	0.0456239	0.0321513	0.0227986	0.015011	0.017732	0.00657688	0.00280471	0.00381284	0.00171412	0.00349497	0.0049443	0.00816514	0.025974	0.0321219	0.0702185	0.0658949	0.0756221	0.118569	0.212455
