 	n	g	w	o	o	n	y	i	y	é	e	s	ε	r	έ	l	e	k	á	a	</S>
les	0.0625411	0.0894009	0.046965	0.0164491	0.0131691	0.0095232	0.0122106	0.0341939	0.0385553	0.0473389	0.0508597	0.054495	0.0539923	0.0536754	0.0595475	0.0514274	0.0521154	0.0815666	0.0690049	0.0535735	0.0493951
fleurs	0.148831	0.114303	0.153855	0.153276	0.123563	0.0894617	0.0559415	0.0444732	0.0306457	0.0226819	0.0230616	0.012693	0.00584714	0.00670953	0.00408403	0.00282936	0.00162427	0.00230059	0.0011948	0.00138571	0.00123726
de	0.0279869	0.0373281	0.0310616	0.03228	0.0355899	0.038148	0.0355388	0.0522744	0.070603	0.0439958	0.0437685	0.0514444	0.0719858	0.118174	0.0740595	0.0405019	0.0425427	0.041781	0.0411043	0.0370691	0.0327622
l'	0.015189	0.0148742	0.0196845	0.0225936	0.02412	0.0447995	0.0498807	0.0609558	0.071351	0.0675482	0.0635867	0.0357243	0.0425315	0.0462348	0.0374323	0.0372432	0.0536417	0.0546277	0.0868916	0.0661784	0.0849113
arbre	0.0249267	0.0240404	0.0363759	0.0354915	0.0338966	0.036567	0.0450286	0.0353451	0.0406592	0.0357987	0.0756267	0.0859362	0.0942217	0.0485214	0.0462183	0.0346244	0.0473505	0.0434716	0.0385418	0.0584417	0.0789158
okaa	0.0194305	0.0146852	0.0141487	0.013776	0.0138211	0.014655	0.0164371	0.0193209	0.0259285	0.0297905	0.0474768	0.0640612	0.0920771	0.113703	0.0665964	0.0659647	0.0655948	0.0561343	0.0285741	0.109868	0.107956
annoncent	0.0891271	0.0467762	0.037113	0.0372718	0.0400894	0.0503817	0.0695063	0.0552454	0.0527856	0.069859	0.114768	0.0742904	0.0292959	0.0660628	0.032148	0.0271853	0.0175274	0.0217033	0.0146461	0.0185769	0.0356405
la	0.0441941	0.0300176	0.0283696	0.0280724	0.0282053	0.0280849	0.0258661	0.030499	0.0273529	0.0439861	0.0564085	0.0346393	0.0383824	0.0920053	0.0513497	0.0618688	0.0533007	0.0475891	0.0412613	0.0868532	0.121694
grande	0.0354972	0.0303147	0.0292591	0.0273621	0.026606	0.0294725	0.0274571	0.0263818	0.0231047	0.027382	0.0373654	0.0500818	0.0666633	0.0889255	0.0511429	0.0526433	0.0543345	0.0429255	0.0409991	0.0819534	0.150128
saison	0.0624174	0.0324731	0.0279923	0.0294708	0.0301458	0.0314797	0.0258789	0.0276335	0.0212066	0.0301531	0.0369647	0.0364739	0.0476126	0.0971643	0.0480602	0.0615138	0.0563338	0.0438194	0.0342329	0.0917658	0.127207
des	0.0711076	0.0560794	0.0540763	0.0676416	0.0681752	0.0648343	0.0386171	0.0246918	0.0124201	0.0122222	0.0108465	0.00599455	0.00662813	0.0133928	0.0112425	0.0223117	0.0427123	0.0325901	0.0384051	0.108579	0.237432
pluies	0.0651513	0.0687598	0.0748848	0.0839385	0.0863518	0.0786064	0.0634322	0.0426081	0.0234034	0.0341956	0.0359332	0.0120526	0.0141247	0.027417	0.020618	0.0366344	0.032463	0.0227148	0.0119044	0.0520769	0.112729
</S>	0.0364838	0.0345386	0.0455118	0.0581602	0.0622618	0.0802887	0.0747357	0.0398523	0.0285385	0.0422825	0.0343078	0.01606	0.0213578	0.0253774	0.0269992	0.037258	0.0463939	0.0347229	0.0337629	0.0672547	0.153852
